Date,Adj Close
2022-06-01,16.739281
2022-06-02,16.558710
2022-06-03,16.586519
2022-06-06,16.638960
2022-06-07,16.487820
2022-06-08,16.432100
2022-06-09,16.351460
2022-06-10,16.414610
2022-06-13,16.633699
2022-06-14,16.774940
2022-06-15,16.718700
2022-06-16,16.439970
2022-06-17,16.851139
2022-06-20,16.760620
2022-06-21,16.835390
2022-06-22,16.734819
2022-06-23,16.792049
2022-06-24,16.763100
2022-06-27,16.657061
2022-06-28,16.745600
2022-06-29,16.881491
2022-06-30,16.906269
2022-07-01,17.031139
2022-07-04,17.018480
2022-07-05,17.018850
2022-07-06,16.954500
2022-07-07,17.067711
2022-07-08,16.965599
2022-07-11,17.090910
2022-07-12,17.133711
2022-07-13,17.065500
2022-07-14,17.000780
2022-07-15,17.147060
2022-07-18,17.207781
2022-07-19,17.337830
2022-07-20,17.448099
2022-07-21,17.421570
2022-07-22,17.395800
2022-07-25,17.123020
2022-07-26,17.133101
2022-07-27,17.075600
2022-07-28,16.984640
2022-07-29,16.798040
2022-08-01,16.935129
2022-08-02,16.908051
2022-08-03,17.066540
2022-08-04,17.002350
2022-08-05,16.985130
2022-08-08,17.037630
2022-08-09,16.936880
2022-08-10,16.914000
2022-08-11,16.655300
2022-08-12,16.736561
2022-08-15,16.591909
2022-08-16,16.660891
2022-08-17,16.624140
2022-08-18,16.916821
2022-08-19,16.986259
2022-08-22,17.066090
2022-08-23,16.864941
2022-08-24,16.902800
2022-08-25,16.855579
2022-08-26,16.659451
2022-08-29,16.806400
2022-08-30,16.826790
2022-08-31,16.981331
2022-09-01,17.170891
2022-09-02,17.148600
2022-09-05,17.119640
2022-09-06,17.056620
2022-09-07,17.099070
2022-09-08,17.229410
2022-09-09,17.506800
2022-09-12,17.345051
2022-09-13,17.310600
2022-09-14,17.374310
2022-09-15,17.418859
2022-09-16,17.542219
2022-09-19,17.647739
2022-09-20,17.689650
2022-09-21,17.621010
2022-09-22,17.400330
2022-09-23,17.276430
2022-09-26,17.356819
2022-09-27,17.350389
2022-09-28,17.257509
2022-09-29,17.303980
2022-09-30,17.658381
2022-10-03,17.657330
2022-10-04,17.506041
2022-10-05,17.567390
2022-10-06,17.607929
2022-10-07,17.560459
2022-10-10,17.589491
2022-10-11,17.542820
2022-10-12,17.594891
2022-10-13,17.720680
2022-10-14,17.780670
2022-10-17,17.757860
2022-10-18,17.753441
2022-10-19,17.818399
2022-10-20,17.852390
2022-10-21,17.868410
2022-10-24,17.780411
2022-10-25,18.165159
2022-10-26,18.108459
2022-10-27,18.057949
2022-10-28,17.892370
2022-10-31,18.032209
2022-11-01,18.101770
2022-11-02,17.948681
2022-11-03,17.895281
2022-11-04,17.913010
2022-11-07,17.841141
2022-11-08,17.724470
2022-11-09,17.822781
2022-11-10,17.763630
2022-11-11,17.672800
2022-11-14,17.810190
2022-11-15,17.817440
2022-11-16,17.887011
2022-11-17,17.895790
2022-11-18,17.965969
2022-11-21,17.762930
2022-11-22,17.729090
2022-11-23,17.761259
2022-11-24,17.650990
2022-11-25,17.642830
2022-11-28,17.755581
2022-11-29,17.697121
2022-11-30,17.517000
2022-12-01,17.855989
2022-12-02,18.444740
2022-12-05,18.205601
2022-12-06,18.275299
2022-12-07,18.102850
2022-12-08,18.017099
2022-12-09,18.083691
2022-12-12,18.223841
2022-12-13,18.482550
2022-12-14,18.291389
2022-12-15,18.294319
2022-12-16,18.540060
2022-12-19,18.624540
2022-12-20,18.360279
2022-12-21,18.367121
2022-12-22,18.194510
2022-12-23,18.148911
2022-12-26,18.018101
2022-12-27,18.087469
2022-12-28,18.244261
2022-12-29,18.174290
2022-12-30,18.013929
2023-01-02,18.114250
2023-01-03,18.056101
2023-01-04,17.922110
2023-01-05,17.870501
2023-01-06,18.025419
2023-01-09,18.210421
2023-01-10,18.156340
2023-01-11,18.232960
2023-01-12,18.174200
2023-01-13,18.145969
2023-01-16,18.162500
2023-01-17,18.432039
2023-01-18,18.376699
2023-01-19,18.453760
2023-01-20,18.708941
2023-01-23,18.564199
2023-01-24,18.638380
