Date,Adj Close
2022-06-01,8.422670
2022-06-02,8.357970
2022-06-03,8.433430
2022-06-06,8.414550
2022-06-07,8.387590
2022-06-08,8.391770
2022-06-09,8.410500
2022-06-10,8.334300
2022-06-13,8.233140
2022-06-14,8.175120
2022-06-15,8.193460
2022-06-16,8.206260
2022-06-17,8.277930
2022-06-20,8.234860
2022-06-21,8.257610
2022-06-22,8.267440
2022-06-23,8.291220
2022-06-24,8.256200
2022-06-27,8.293190
2022-06-28,8.301000
2022-06-29,8.256070
2022-06-30,8.195790
2022-07-01,8.221500
2022-07-04,8.185100
2022-07-05,8.185200
2022-07-06,8.048280
2022-07-07,7.990950
2022-07-08,7.978940
2022-07-11,7.978500
2022-07-12,7.884400
2022-07-13,7.873640
2022-07-14,7.874360
2022-07-15,7.869270
2022-07-18,7.924660
2022-07-19,7.962400
2022-07-20,8.030930
2022-07-21,7.992590
2022-07-22,8.020800
2022-07-25,8.005100
2022-07-26,8.023930
2022-07-27,7.950450
2022-07-28,8.009500
2022-07-29,7.999950
2022-08-01,8.011060
2022-08-02,8.054420
2022-08-03,7.971370
2022-08-04,7.971100
2022-08-05,8.043570
2022-08-08,7.983310
2022-08-09,8.003980
2022-08-10,8.011600
2022-08-11,8.079100
2022-08-12,8.094350
2022-08-15,8.037930
2022-08-16,7.963600
2022-08-17,7.972900
2022-08-18,7.980000
2022-08-19,7.919000
2022-08-22,7.873100
2022-08-23,7.797000
2022-08-24,7.820020
2022-08-25,7.818900
2022-08-26,7.823280
2022-08-29,7.799060
2022-08-30,7.855290
2022-08-31,7.868100
2022-09-01,7.878200
2022-09-02,7.810030
2022-09-05,7.777070
2022-09-06,7.807300
2022-09-07,7.768950
2022-09-08,7.845330
2022-09-09,7.856400
2022-09-12,7.904150
2022-09-13,7.949840
2022-09-14,7.833370
2022-09-15,7.835900
2022-09-16,7.839000
2022-09-19,7.866190
2022-09-20,7.871440
2022-09-21,7.825800
2022-09-22,7.716220
2022-09-23,7.720400
2022-09-26,7.602870
2022-09-27,7.549700
2022-09-28,7.532190
2022-09-29,7.619380
2022-09-30,7.715320
2022-10-03,7.686470
2022-10-04,7.717480
2022-10-05,7.836850
2022-10-06,7.779030
2022-10-07,7.683560
2022-10-10,7.641070
2022-10-11,7.621770
2022-10-12,7.613850
2022-10-13,7.618800
2022-10-14,7.668500
2022-10-17,7.644400
2022-10-18,7.724400
2022-10-19,7.741790
2022-10-20,7.665510
2022-10-21,7.674490
2022-10-24,7.738740
2022-10-25,7.759990
2022-10-26,7.819900
2022-10-27,7.919200
2022-10-28,7.823700
2022-10-31,7.813110
2022-11-01,7.759830
2022-11-02,7.753080
2022-11-03,7.703100
2022-11-04,7.651600
2022-11-07,7.793070
2022-11-08,7.863780
2022-11-09,7.912000
2022-11-10,7.864130
