Date,Close,Period
2021-02-15,89.073,Weekly
2021-02-16,88.868,Weekly
2021-02-17,88.663,Weekly
2021-02-18,88.458,Weekly
2021-02-19,88.253,Weekly
2021-02-20,88.048,Weekly
2021-02-21,87.843,Weekly
2021-02-22,87.638,Weekly
2021-02-23,87.4677142857143,Weekly
2021-02-24,87.29742857142857,Weekly
2021-02-25,87.12714285714286,Weekly
2021-02-26,86.95685714285715,Weekly
2021-02-27,86.78657142857143,Weekly
2021-02-28,86.61628571428571,Weekly
2021-03-01,86.446,Weekly
2021-03-02,86.48528571428571,Weekly
2021-03-03,86.52457142857143,Weekly
2021-03-04,86.56385714285715,Weekly
2021-03-05,86.60314285714286,Weekly
2021-03-06,86.64242857142857,Weekly
2021-03-07,86.68171428571429,Weekly
2021-03-08,86.721,Weekly
2021-03-09,86.32285714285715,Weekly
2021-03-10,85.92471428571429,Weekly
2021-03-11,85.52657142857143,Weekly
2021-03-12,85.12842857142857,Weekly
2021-03-13,84.73028571428571,Weekly
2021-03-14,84.33214285714286,Weekly
2021-03-15,83.934,Weekly
2021-03-16,83.31685714285715,Weekly
2021-03-17,82.69971428571428,Weekly
2021-03-18,82.08257142857143,Weekly
2021-03-19,81.46542857142857,Weekly
2021-03-20,80.84828571428572,Weekly
2021-03-21,80.23114285714286,Weekly
2021-03-22,79.614,Weekly
2021-03-23,79.27242857142858,Weekly
2021-03-24,78.93085714285715,Weekly
2021-03-25,78.58928571428572,Weekly
2021-03-26,78.24771428571428,Weekly
2021-03-27,77.90614285714285,Weekly
2021-03-28,77.56457142857143,Weekly
2021-03-29,77.223,Weekly
2021-03-30,77.87085714285715,Weekly
2021-03-31,78.51871428571428,Weekly
2021-04-01,79.16657142857143,Weekly
2021-04-02,79.81442857142856,Weekly
2021-04-03,80.46228571428571,Weekly
2021-04-04,81.11014285714285,Weekly
2021-04-05,81.758,Weekly
2021-04-06,81.95714285714286,Weekly
2021-04-07,82.15628571428572,Weekly
2021-04-08,82.35542857142858,Weekly
2021-04-09,82.55457142857142,Weekly
2021-04-10,82.75371428571428,Weekly
2021-04-11,82.95285714285714,Weekly
2021-04-12,83.152,Weekly
2021-04-13,83.716,Weekly
2021-04-14,84.28,Weekly
2021-04-15,84.844,Weekly
2021-04-16,85.408,Weekly
2021-04-17,85.972,Weekly
2021-04-18,86.536,Weekly
2021-04-19,87.1,Weekly
2021-04-20,87.05685714285714,Weekly
2021-04-21,87.01371428571429,Weekly
2021-04-22,86.97057142857143,Weekly
2021-04-23,86.92742857142856,Weekly
2021-04-24,86.88428571428571,Weekly
2021-04-25,86.84114285714286,Weekly
2021-04-26,86.798,Weekly
2021-04-27,86.99085714285714,Weekly
2021-04-28,87.18371428571429,Weekly
2021-04-29,87.37657142857142,Weekly
2021-04-30,87.56942857142857,Weekly
2021-05-01,87.76228571428571,Weekly
2021-05-02,87.95514285714286,Weekly
2021-05-03,88.148,Weekly
2021-05-04,87.18442857142857,Weekly
2021-05-05,86.22085714285714,Weekly
2021-05-06,85.25728571428571,Weekly
2021-05-07,84.29371428571429,Weekly
2021-05-08,83.33014285714286,Weekly
2021-05-09,82.36657142857143,Weekly
2021-05-10,81.403,Weekly
2021-05-11,81.44271428571429,Weekly
2021-05-12,81.48242857142857,Weekly
2021-05-13,81.52214285714285,Weekly
2021-05-14,81.56185714285715,Weekly
2021-05-15,81.60157142857143,Weekly
2021-05-16,81.64128571428571,Weekly
2021-05-17,81.681,Weekly
2021-05-18,81.61542857142857,Weekly
2021-05-19,81.54985714285714,Weekly
2021-05-20,81.4842857142857,Weekly
2021-05-21,81.41871428571429,Weekly
2021-05-22,81.35314285714286,Weekly
2021-05-23,81.28757142857143,Weekly
2021-05-24,81.222,Weekly
2021-05-25,81.67657142857142,Weekly
2021-05-26,82.13114285714285,Weekly
2021-05-27,82.58571428571427,Weekly
2021-05-28,83.04028571428572,Weekly
2021-05-29,83.49485714285714,Weekly
2021-05-30,83.94942857142857,Weekly
2021-05-31,84.404,Weekly
2021-06-01,84.68528571428571,Weekly
2021-06-02,84.96657142857143,Weekly
2021-06-03,85.24785714285714,Weekly
2021-06-04,85.52914285714286,Weekly
2021-06-05,85.81042857142857,Weekly
2021-06-06,86.09171428571429,Weekly
2021-06-07,86.373,Weekly
2021-06-08,85.99242857142858,Weekly
2021-06-09,85.61185714285715,Weekly
2021-06-10,85.23128571428572,Weekly
2021-06-11,84.85071428571429,Weekly
2021-06-12,84.47014285714286,Weekly
2021-06-13,84.08957142857143,Weekly
2021-06-14,83.709,Weekly
2021-06-15,84.01585714285714,Weekly
2021-06-16,84.32271428571428,Weekly
2021-06-17,84.62957142857142,Weekly
2021-06-18,84.93642857142858,Weekly
2021-06-19,85.24328571428572,Weekly
2021-06-20,85.55014285714286,Weekly
2021-06-21,85.857,Weekly
2021-06-22,85.82814285714285,Weekly
2021-06-23,85.79928571428572,Weekly
2021-06-24,85.77042857142857,Weekly
2021-06-25,85.74157142857143,Weekly
2021-06-26,85.71271428571428,Weekly
2021-06-27,85.68385714285715,Weekly
2021-06-28,85.655,Weekly
2021-06-29,85.74442857142857,Weekly
2021-06-30,85.83385714285714,Weekly
2021-07-01,85.92328571428571,Weekly
2021-07-02,86.0127142857143,Weekly
2021-07-03,86.10214285714287,Weekly
2021-07-04,86.19157142857144,Weekly
2021-07-05,86.281,Weekly
2021-07-06,86.62171428571429,Weekly
2021-07-07,86.96242857142857,Weekly
2021-07-08,87.30314285714286,Weekly
2021-07-09,87.64385714285714,Weekly
2021-07-10,87.98457142857143,Weekly
2021-07-11,88.32528571428571,Weekly
2021-07-12,88.666,Weekly
