"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
HEATING OIL ,971209 ,1997-12-09,022651 ,NYME ,01 ,022 ,   144699,   5579,  13249,   6262,  80657,  81810,  92498, 101321,  52201,  43378,   142276,   5579,  13249,   6262,  79916,  81140,  91757, 100651,  50519,  41625,     2423,      0,      0,      0,    741,    670,    741,    670,   1682,   1753,    12777,    360,   1984,   2825,   5725,   5439,   8910,  10248,   3867,   2529,  100.0,    3.9,    9.2,    4.3,   55.7,   56.5,   63.9,   70.0,   36.1,   30.0,  100.0,    3.9,    9.3,    4.4,   56.2,   57.0,   64.5,   70.7,   35.5,   29.3,  100.0,    0.0,    0.0,    0.0,   30.6,   27.7,   30.6,   27.7,   69.4,   72.3,    102,     10,     26,     10,     49,     41,     66,     70,    102,     10,     26,     10,     49,     41,     66,     70,      3,      0,      0,      0,      2,      2,      2,      2,    20.3,    23.3,    30.6,    33.9,    18.2,    20.6,    23.2,    27.0,    20.6,    23.7,    30.9,    34.2,    18.2,    20.9,    23.3,    27.5,    30.6,    27.7,    30.6,    27.7,    17.4,    14.4,    17.4,    14.4,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971202 ,1997-12-02,022651 ,NYME ,01 ,022 ,   131922,   5219,  11265,   3437,  74932,  76371,  83588,  91073,  48334,  40849,   129672,   5219,  11265,   3437,  74191,  75417,  82847,  90119,  46825,  39553,     2250,      0,      0,      0,    741,    954,    741,    954,   1509,   1296,    10858,    434,   6752,   -167,  10324,   -617,  10591,   5968,    267,   4890,  100.0,    4.0,    8.5,    2.6,   56.8,   57.9,   63.4,   69.0,   36.6,   31.0,  100.0,    4.0,    8.7,    2.7,   57.2,   58.2,   63.9,   69.5,   36.1,   30.5,  100.0,    0.0,    0.0,    0.0,   32.9,   42.4,   32.9,   42.4,   67.1,   57.6,     95,     10,     20,      5,     44,     39,     56,     62,     95,     10,     20,      5,     44,     39,     56,     62,      4,      0,      0,      0,      2,      3,      2,      3,    21.7,    26.1,    32.1,    35.9,    21.0,    23.4,    27.1,    29.8,    21.8,    26.4,    32.3,    36.1,    21.1,    23.6,    27.3,    30.1,    32.9,    42.4,    32.9,    42.4,    18.7,    28.2,    18.7,    28.2,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971125 ,1997-11-25,022651 ,NYME ,01 ,022 ,   121064,   4785,   4513,   3604,  64608,  76988,  72997,  85105,  48067,  35959,    11885,      0,      0,      0,   6858,   7610,   6858,   7610,   5027,   4275,   109179,   4785,   4513,   3604,  57750,  69378,  66139,  77495,  43040,  31684,    -6723,  -5614,   1915,    131,   6465,  -9928,    982,  -7882,  -7705,   1159,  100.0,    4.0,    3.7,    3.0,   53.4,   63.6,   60.3,   70.3,   39.7,   29.7,  100.0,    0.0,    0.0,    0.0,   57.7,   64.0,   57.7,   64.0,   42.3,   36.0,  100.0,    4.4,    4.1,    3.3,   52.9,   63.5,   60.6,   71.0,   39.4,   29.0,     86,      9,     11,      8,     46,     41,     59,     56,     20,      0,      0,      0,     11,     12,     11,     12,     86,      9,     11,      8,     43,     40,     56,     55,    18.6,    28.1,    27.3,    39.3,    18.3,    25.9,    24.6,    34.7,    37.2,    36.4,    54.4,    55.5,    37.2,    36.4,    54.3,    55.0,    20.7,    29.2,    29.5,    40.1,    20.3,    27.6,    26.9,    35.7,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971118 ,1997-11-18,022651 ,NYME ,01 ,022 ,   127787,  10399,   2598,   3473,  58143,  86916,  72015,  92987,  55772,  34800,    41577,   7646,    585,    377,  19084,  31498,  27107,  32460,  14470,   9117,    86210,   2753,   2013,   3096,  39059,  55418,  44908,  60527,  41302,  25683,       83,    804,  -1735,    737,   1152,   -707,   2693,  -1705,  -2610,   1788,  100.0,    8.1,    2.0,    2.7,   45.5,   68.0,   56.4,   72.8,   43.6,   27.2,  100.0,   18.4,    1.4,    0.9,   45.9,   75.8,   65.2,   78.1,   34.8,   21.9,  100.0,    3.2,    2.3,    3.6,   45.3,   64.3,   52.1,   70.2,   47.9,   29.8,     87,     14,      6,      6,     42,     49,     60,     58,     64,     11,      2,      2,     22,     32,     34,     35,     62,      5,      4,      5,     32,     35,     40,     42,    16.1,    28.8,    23.2,    39.9,    14.9,    28.1,    20.8,    37.4,    20.1,    26.7,    34.7,    41.6,    20.1,    26.7,    34.7,    41.6,    20.8,    30.1,    28.8,    41.1,    18.2,    29.1,    25.0,    38.3,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971111 ,1997-11-11,022651 ,NYME ,01 ,022 ,   127704,   9595,   4333,   2736,  56991,  87623,  69322,  94692,  58382,  33012,    51078,   8561,   3260,     72,  24770,  36357,  33403,  39689,  17675,  11389,    76626,   1034,   1073,   2664,  32221,  51266,  35919,  55003,  40707,  21623,     4634,  -1114,   -987,    288,   4264,   3949,   3438,   3250,   1196,   1384,  100.0,    7.5,    3.4,    2.1,   44.6,   68.6,   54.3,   74.1,   45.7,   25.9,  100.0,   16.8,    6.4,    0.1,   48.5,   71.2,   65.4,   77.7,   34.6,   22.3,  100.0,    1.3,    1.4,    3.5,   42.0,   66.9,   46.9,   71.8,   53.1,   28.2,     82,     11,      7,      5,     40,     46,     55,     54,     61,     11,      2,      1,     22,     28,     33,     31,     54,      1,      5,      5,     27,     35,     32,     41,    16.2,    30.6,    23.9,    41.7,    15.3,    30.3,    21.7,    39.3,    20.4,    34.7,    33.9,    49.7,    20.4,    34.7,    33.9,    49.7,    21.1,    32.4,    29.8,    44.6,    17.8,    30.8,    24.1,    40.9,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971104 ,1997-11-04,022651 ,NYME ,01 ,022 ,   123070,  10709,   5320,   2448,  52727,  83674,  65884,  91442,  57186,  31628,    55835,   9799,   4256,     67,  27700,  40225,  37566,  44548,  18269,  11287,    67235,   1292,   1446,   1999,  25027,  43449,  28318,  46894,  38917,  20341,   -11528,   -148,   -517,     14,  -7281,  -5160,  -7415,  -5663,  -4113,  -5865,  100.0,    8.7,    4.3,    2.0,   42.8,   68.0,   53.5,   74.3,   46.5,   25.7,  100.0,   17.5,    7.6,    0.1,   49.6,   72.0,   67.3,   79.8,   32.7,   20.2,  100.0,    1.9,    2.2,    3.0,   37.2,   64.6,   42.1,   69.7,   57.9,   30.3,     81,     13,      6,      3,     35,     45,     50,     52,     64,     13,      2,      1,     22,     30,     35,     33,     49,      2,      4,      3,     21,     31,     25,     36,    17.1,    30.0,    25.2,    42.0,    16.3,    30.0,    22.3,    39.6,    23.9,    34.4,    35.9,    52.7,    23.9,    34.4,    35.9,    52.1,    19.3,    33.3,    29.0,    45.2,    16.8,    32.3,    24.7,    41.3,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971028 ,1997-10-28,022651 ,NYME ,01 ,022 ,   134598,  10857,   5837,   2434,  60008,  88834,  73299,  97105,  61299,  37493,    70494,   9857,   4585,    107,  36245,  48276,  46209,  52968,  24285,  17526,    64104,   1285,   1537,   2042,  23763,  40558,  27090,  44137,  37014,  19967,    -6827,  -2793,   1682,   -404,  -1126,  -9775,  -4323,  -8497,  -2504,   1670,  100.0,    8.1,    4.3,    1.8,   44.6,   66.0,   54.5,   72.1,   45.5,   27.9,  100.0,   14.0,    6.5,    0.2,   51.4,   68.5,   65.6,   75.1,   34.4,   24.9,  100.0,    2.0,    2.4,    3.2,   37.1,   63.3,   42.3,   68.9,   57.7,   31.1,     87,     17,      5,      5,     41,     47,     60,     55,     73,     15,      3,      1,     26,     35,     41,     39,     50,      3,      3,      4,     25,     30,     30,     35,    16.6,    26.7,    25.3,    37.6,    15.8,    26.5,    22.5,    35.6,    25.2,    27.8,    36.2,    44.0,    25.2,    27.8,    36.2,    43.5,    18.7,    33.8,    27.4,    45.5,    16.0,    32.7,    22.4,    40.9,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971021 ,1997-10-21,022651 ,NYME ,01 ,022 ,   141425,  13650,   4155,   2838,  61134,  98609,  77622, 105602,  63803,  35823,    79735,  13177,   3069,    220,  37672,  60438,  51069,  63727,  28666,  16008,    61690,   1541,   2154,   1550,  23462,  38171,  26553,  41875,  35137,  19815,    -1710,  -2736,    -28,     12,  -1682,   1008,  -4406,    992,   2696,  -2702,  100.0,    9.7,    2.9,    2.0,   43.2,   69.7,   54.9,   74.7,   45.1,   25.3,  100.0,   16.5,    3.8,    0.3,   47.2,   75.8,   64.0,   79.9,   36.0,   20.1,  100.0,    2.5,    3.5,    2.5,   38.0,   61.9,   43.0,   67.9,   57.0,   32.1,     91,     17,      7,      6,     39,     54,     60,     63,     79,     17,      4,      3,     24,     42,     42,     48,     50,      3,      4,      3,     24,     30,     29,     35,    16.2,    26.8,    24.6,    38.0,    15.1,    26.4,    21.7,    33.7,    23.3,    30.2,    33.8,    44.1,    23.3,    30.2,    33.2,    43.2,    20.3,    31.3,    28.7,    44.1,    17.3,    30.2,    23.6,    39.0,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971014 ,1997-10-14,022651 ,NYME ,01 ,022 ,   143135,  16386,   4183,   2826,  62816,  97601,  82028, 104610,  61107,  38525,    82629,  16196,   1397,   1037,  36769,  61648,  54002,  64082,  28627,  18547,    60506,    444,   3040,   1535,  26047,  35953,  28026,  40528,  32480,  19978,    -1081,  -2343,   -830,   -817,   1131,    485,  -2029,  -1162,    948,     81,  100.0,   11.4,    2.9,    2.0,   43.9,   68.2,   57.3,   73.1,   42.7,   26.9,  100.0,   19.6,    1.7,    1.3,   44.5,   74.6,   65.4,   77.6,   34.6,   22.4,  100.0,    0.7,    5.0,    2.5,   43.0,   59.4,   46.3,   67.0,   53.7,   33.0,     94,     21,      8,      6,     41,     53,     65,     64,     80,     21,      3,      4,     27,     39,     50,     44,     54,      1,      7,      3,     26,     31,     29,     39,    16.3,    25.7,    24.8,    37.3,    14.8,    24.7,    21.2,    32.4,    21.0,    29.7,    30.1,    44.2,    21.0,    29.7,    30.1,    43.5,    20.7,    29.0,    29.9,    42.2,    17.8,    26.2,    24.3,    35.5,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,971007 ,1997-10-07,022651 ,NYME ,01 ,022 ,   144216,  18729,   5013,   3643,  61685,  97116,  84057, 105772,  60159,  38444,    83891,  18814,   3005,    638,  35948,  61831,  55400,  65474,  28491,  18417,    60325,    658,   2751,   2262,  25737,  35285,  28657,  40298,  31668,  20027,    -3218,   4148,  -1090,   -200,  -4387,  -3882,   -439,  -5172,  -2779,   1954,  100.0,   13.0,    3.5,    2.5,   42.8,   67.3,   58.3,   73.3,   41.7,   26.7,  100.0,   22.4,    3.6,    0.8,   42.9,   73.7,   66.0,   78.0,   34.0,   22.0,  100.0,    1.1,    4.6,    3.7,   42.7,   58.5,   47.5,   66.8,   52.5,   33.2,    103,     26,      8,      8,     40,     54,     69,     67,     90,     25,      5,      4,     27,     42,     54,     49,     56,      3,      6,      4,     25,     31,     29,     40,    16.8,    25.1,    25.4,    36.4,    16.4,    24.1,    22.6,    32.1,    21.4,    30.3,    30.2,    44.6,    21.4,    30.3,    30.2,    44.3,    19.7,    27.4,    29.2,    40.0,    17.5,    23.7,    24.9,    33.3,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970930 ,1997-09-30,022651 ,NYME ,01 ,022 ,   147434,  14581,   6103,   3843,  66072, 100998,  84496, 110944,  62938,  36490,    86268,  14708,   3413,    477,  39353,  64224,  54538,  68114,  31730,  18154,    61166,    694,   3511,   2545,  26719,  36774,  29958,  42830,  31208,  18336,    -2930,   7632,  -1225,  -1227,  -5876,   5739,    529,   3287,  -3459,  -6217,  100.0,    9.9,    4.1,    2.6,   44.8,   68.5,   57.3,   75.2,   42.7,   24.8,  100.0,   17.0,    4.0,    0.6,   45.6,   74.4,   63.2,   79.0,   36.8,   21.0,  100.0,    1.1,    5.7,    4.2,   43.7,   60.1,   49.0,   70.0,   51.0,   30.0,    100,     18,     12,      9,     37,     53,     61,     68,     80,     19,      5,      4,     29,     39,     49,     47,     53,      1,      8,      6,     24,     28,     30,     37,    17.0,    26.0,    26.5,    36.6,    16.8,    23.8,    23.8,    31.1,    21.9,    33.0,    31.4,    46.5,    21.9,    32.2,    31.4,    44.7,    19.3,    30.6,    30.5,    42.2,    17.4,    25.2,    26.0,    34.7,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970923 ,1997-09-23,022651 ,NYME ,01 ,022 ,   150364,   6949,   7328,   5070,  71948,  95259,  83967, 107657,  66397,  42707,    89627,   7272,   5854,    638,  47719,  58881,  55629,  65373,  33998,  24254,    60737,    818,   2615,   3291,  24229,  36378,  28338,  42284,  32399,  18453,    -3879,   -965,  -2925,  -1248,  -4338,   1036,  -6551,  -3137,   2672,   -742,  100.0,    4.6,    4.9,    3.4,   47.8,   63.4,   55.8,   71.6,   44.2,   28.4,  100.0,    8.1,    6.5,    0.7,   53.2,   65.7,   62.1,   72.9,   37.9,   27.1,  100.0,    1.3,    4.3,    5.4,   39.9,   59.9,   46.7,   69.6,   53.3,   30.4,     88,      8,     12,      9,     44,     48,     58,     63,     71,      8,      6,      3,     34,     36,     43,     44,     53,      2,      7,      6,     25,     26,     32,     34,    16.9,    23.6,    26.5,    33.4,    15.8,    22.8,    23.4,    29.2,    22.2,    28.9,    31.9,    40.5,    22.2,    28.9,    31.9,    38.3,    17.2,    30.2,    27.4,    41.6,    15.6,    27.1,    24.5,    37.3,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970916 ,1997-09-16,022651 ,NYME ,01 ,022 ,   154243,   7914,  10253,   6318,  76286,  94223,  90518, 110794,  63725,  43449,    94101,   9267,   9170,    916,  50808,  57570,  60991,  67656,  33110,  26445,    60142,   1130,   3566,   2919,  25478,  36653,  29527,  43138,  30615,  17004,     4894,   1580,    399,   -847,   2293,   1724,   3026,   1276,   1868,   3618,  100.0,    5.1,    6.6,    4.1,   49.5,   61.1,   58.7,   71.8,   41.3,   28.2,  100.0,    9.8,    9.7,    1.0,   54.0,   61.2,   64.8,   71.9,   35.2,   28.1,  100.0,    1.9,    5.9,    4.9,   42.4,   60.9,   49.1,   71.7,   50.9,   28.3,     97,     12,     15,      7,     44,     51,     58,     71,     82,     10,     12,      3,     37,     39,     48,     53,     52,      4,      5,      4,     24,     27,     30,     34,    16.6,    22.2,    26.1,    31.3,    15.4,    20.3,    23.1,    26.2,    21.9,    25.6,    31.8,    36.2,    21.9,    24.8,    31.8,    34.2,    18.6,    30.7,    29.9,    44.3,    16.6,    28.3,    26.1,    39.0,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970909 ,1997-09-09,022651 ,NYME ,01 ,022 ,   149349,   6334,   9854,   7165,  73993,  92499,  87492, 109518,  61857,  39831,    93026,   8767,   8525,   1095,  50509,  59244,  60371,  68864,  32655,  24162,    56323,   1025,   4787,   2612,  23484,  33255,  27121,  40654,  29202,  15669,     1309,   -943,  -1464,   1790,   -558,    689,    289,   1015,   1020,    294,  100.0,    4.2,    6.6,    4.8,   49.5,   61.9,   58.6,   73.3,   41.4,   26.7,  100.0,    9.4,    9.2,    1.2,   54.3,   63.7,   64.9,   74.0,   35.1,   26.0,  100.0,    1.8,    8.5,    4.6,   41.7,   59.0,   48.2,   72.2,   51.8,   27.8,     94,      7,     17,     11,     42,     48,     57,     70,     82,      9,     13,      3,     36,     38,     47,     52,     45,      2,      7,      5,     19,     23,     25,     31,    17.1,    23.1,    26.8,    31.6,    16.6,    20.4,    24.8,    27.7,    23.0,    26.6,    31.8,    37.3,    23.0,    26.6,    31.2,    35.1,    18.8,    30.1,    31.6,    44.8,    18.0,    28.3,    28.7,    40.5,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970902 ,1997-09-02,022651 ,NYME ,01 ,022 ,   148040,   7277,  11318,   5375,  74551,  91810,  87203, 108503,  60837,  39537,    96497,  10199,  10380,     83,  53793,  62495,  64075,  72958,  32422,  23539,    51543,    639,   4499,   1731,  20758,  29315,  23128,  35545,  28415,  15998,    -8352,    680,  -2992,   -700,  -4434,  -3975,  -4454,  -7667,  -3898,   -685,  100.0,    4.9,    7.6,    3.6,   50.4,   62.0,   58.9,   73.3,   41.1,   26.7,  100.0,   10.6,   10.8,    0.1,   55.7,   64.8,   66.4,   75.6,   33.6,   24.4,  100.0,    1.2,    8.7,    3.4,   40.3,   56.9,   44.9,   69.0,   55.1,   31.0,     98,     11,     17,      6,     43,     49,     57,     71,     91,     13,     15,      1,     39,     40,     52,     56,     43,      1,      7,      2,     18,     23,     21,     30,    17.4,    23.5,    26.9,    31.8,    17.2,    21.3,    25.0,    27.7,    23.1,    27.1,    31.9,    37.2,    23.1,    24.4,    30.6,    32.7,    17.8,    29.1,    31.0,    42.7,    17.6,    27.6,    28.8,    39.6,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970826 ,1997-08-26,022651 ,NYME ,01 ,022 ,   156392,   6597,  14310,   6075,  78985,  95785,  91657, 116170,  64735,  40222,   106946,   9880,  13434,    123,  59547,  68132,  69550,  81689,  37396,  25257,    49446,    346,   4505,   2323,  19438,  27653,  22107,  34481,  27339,  14965,     9169,  -2356,  12878,  -2465,  13037,  -6079,   8216,   4334,    953,   4835,  100.0,    4.2,    9.2,    3.9,   50.5,   61.2,   58.6,   74.3,   41.4,   25.7,  100.0,    9.2,   12.6,    0.1,   55.7,   63.7,   65.0,   76.4,   35.0,   23.6,  100.0,    0.7,    9.1,    4.7,   39.3,   55.9,   44.7,   69.7,   55.3,   30.3,    100,     10,     19,      6,     46,     50,     60,     73,     94,     13,     16,      1,     42,     43,     55,     60,     43,      1,      7,      2,     18,     23,     21,     30,    16.4,    24.2,    25.1,    32.4,    15.1,    19.5,    22.7,    26.3,    20.7,    29.5,    29.5,    38.9,    18.7,    23.8,    26.0,    31.5,    17.0,    25.5,    30.5,    42.0,    16.4,    24.1,    27.6,    37.2,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970819 ,1997-08-19,022651 ,NYME ,01 ,022 ,   147223,   8953,   1432,   8540,  65948, 101864,  83441, 111836,  63782,  35387,   104283,  13485,   1055,   1848,  50016,  79827,  65349,  82730,  38934,  21553,    42940,    366,   5275,   1794,  15932,  22037,  18092,  29106,  24848,  13834,     -113,    337,   -163,    640,   -433,    675,    544,   1152,   -657,  -1265,  100.0,    6.1,    1.0,    5.8,   44.8,   69.2,   56.7,   76.0,   43.3,   24.0,  100.0,   12.9,    1.0,    1.8,   48.0,   76.5,   62.7,   79.3,   37.3,   20.7,  100.0,    0.9,   12.3,    4.2,   37.1,   51.3,   42.1,   67.8,   57.9,   32.2,     94,     16,      8,     13,     42,     50,     66,     67,     86,     21,      4,      4,     39,     41,     61,     48,     43,      2,      9,      3,     17,     21,     21,     31,    16.5,    28.7,    23.8,    38.7,    16.0,    26.2,    22.4,    34.6,    20.1,    36.2,    27.3,    48.6,    19.8,    33.8,    27.0,    44.2,    16.8,    23.9,    27.0,    39.9,    16.0,    22.3,    24.4,    36.5,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970812 ,1997-08-12,022651 ,NYME ,01 ,022 ,   147336,   8616,   1595,   7900,  66381, 101189,  82897, 110684,  64439,  36652,   105129,  13495,   1248,    869,  50567,  79428,  64931,  81545,  40198,  23584,    42207,    336,   5562,   1816,  15814,  21761,  17966,  29139,  24241,  13068,      234,  -2007,   -290,  -2228,   1967,   2207,  -2268,   -311,   2502,    545,  100.0,    5.8,    1.1,    5.4,   45.1,   68.7,   56.3,   75.1,   43.7,   24.9,  100.0,   12.8,    1.2,    0.8,   48.1,   75.6,   61.8,   77.6,   38.2,   22.4,  100.0,    0.8,   13.2,    4.3,   37.5,   51.6,   42.6,   69.0,   57.4,   31.0,     89,     14,      7,     11,     39,     47,     60,     63,     82,     19,      4,      2,     36,     38,     55,     44,     42,      1,     10,      3,     17,     20,     21,     30,    17.9,    29.8,    24.5,    40.4,    17.4,    27.4,    23.5,    36.5,    20.6,    35.8,    27.6,    49.5,    20.6,    34.0,    27.0,    46.0,    16.7,    27.1,    26.2,    40.8,    15.8,    25.3,    23.9,    37.3,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,970805 ,1997-08-05,022651 ,NYME ,01 ,022 ,   147102,  10623,   1885,  10128,  64414,  98982,  85165, 110995,  61937,  36107,   106024,  15528,   1575,   2248,  49083,  78897,  66859,  82720,  39165,  23304,    41078,    336,   5551,   2639,  15331,  20085,  18306,  28275,  22772,  12803,    -7168,   3392,  -2994,   1529, -10996,  -1688,  -6075,  -3153,  -1093,  -4015,  100.0,    7.2,    1.3,    6.9,   43.8,   67.3,   57.9,   75.5,   42.1,   24.5,  100.0,   14.6,    1.5,    2.1,   46.3,   74.4,   63.1,   78.0,   36.9,   22.0,  100.0,    0.8,   13.5,    6.4,   37.3,   48.9,   44.6,   68.8,   55.4,   31.2,     90,     14,      7,     11,     37,     50,     59,     66,     83,     20,      4,      3,     34,     42,     54,     49,     42,      1,     10,      3,     16,     20,     20,     30,    18.8,    30.0,    27.1,    39.7,    17.9,    26.5,    23.9,    34.9,    22.4,    37.2,    29.7,    49.3,    20.6,    33.3,    26.8,    43.8,    17.8,    25.9,    29.3,    39.6,    16.4,    24.2,    24.7,    35.9,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
