Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200602,2020-06-02,111659,NYME,1,111,363377,80850,27770,55147,204100,264040,340097,346957,23280,16420,363377,80850,27770,55147,204100,264040,340097,346957,23280,16420,0,0,0,0,0,0,0,0,0,0,-18996,-7293,539,-1974,-10459,-16044,-19726,-17479,730,-1517,100,22.2,7.6,15.2,56.2,72.7,93.6,95.5,6.4,4.5,100,22.2,7.6,15.2,56.2,72.7,93.6,95.5,6.4,4.5,0,0,0,0,0,0,0,0,0,0,233,78,37,77,94,100,202,187,233,78,37,77,94,100,202,187,0,0,0,0,0,0,0,0,16.1,18.5,26.3,30.9,14.5,10,20.7,19.1,16.1,18.5,26.3,30.9,14.5,10,20.7,19.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200526,2020-05-26,111659,NYME,1,111,382373,88143,27231,57121,214559,280084,359823,364436,22550,17937,382373,88143,27231,57121,214559,280084,359823,364436,22550,17937,0,0,0,0,0,0,0,0,0,0,2377,-2443,-493,1263,3591,116,2411,886,-34,1491,100,23.1,7.1,14.9,56.1,73.2,94.1,95.3,5.9,4.7,100,23.1,7.1,14.9,56.1,73.2,94.1,95.3,5.9,4.7,0,0,0,0,0,0,0,0,0,0,228,73,39,68,94,102,199,181,228,73,39,68,94,102,199,181,0,0,0,0,0,0,0,0,15.8,19.1,26.3,31.4,14.2,10.5,21.4,18.9,15.8,19.1,26.3,31.4,14.2,10.5,21.4,18.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200519,2020-05-19,111659,NYME,1,111,379996,90586,27724,55858,210968,279968,357412,363550,22584,16446,379996,90586,27724,55858,210968,279968,357412,363550,22584,16446,0,0,0,0,0,0,0,0,0,0,16947,-2758,390,3472,15868,13749,16582,17611,365,-664,100,23.8,7.3,14.7,55.5,73.7,94.1,95.7,5.9,4.3,100,23.8,7.3,14.7,55.5,73.7,94.1,95.7,5.9,4.3,0,0,0,0,0,0,0,0,0,0,238,75,41,73,95,105,202,193,238,75,41,73,95,105,202,193,0,0,0,0,0,0,0,0,15.5,18.3,25.4,29.6,14.4,11,21.3,19.3,15.5,18.3,25.4,29.6,14.4,11,21.3,19.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200512,2020-05-12,111659,NYME,1,111,363049,93344,27334,52386,195100,266219,340830,345939,22219,17110,363049,93344,27334,52386,195100,266219,340830,345939,22219,17110,0,0,0,0,0,0,0,0,0,0,-3579,-10696,-1244,3762,3882,-5314,-3052,-2796,-527,-783,100,25.7,7.5,14.4,53.7,73.3,93.9,95.3,6.1,4.7,100,25.7,7.5,14.4,53.7,73.3,93.9,95.3,6.1,4.7,0,0,0,0,0,0,0,0,0,0,234,75,39,73,95,98,200,186,234,75,39,73,95,98,200,186,0,0,0,0,0,0,0,0,16.2,16.6,25.4,29,15.1,11.7,21.9,20.3,16.2,16.6,25.4,29,15.1,11.7,21.9,20.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200505,2020-05-05,111659,NYME,1,111,366628,104040,28578,48624,191218,271533,343882,348735,22746,17893,366628,104040,28578,48624,191218,271533,343882,348735,22746,17893,0,0,0,0,0,0,0,0,0,0,-3457,-15891,-1290,916,11150,-2486,-3825,-2860,368,-597,100,28.4,7.8,13.3,52.2,74.1,93.8,95.1,6.2,4.9,100,28.4,7.8,13.3,52.2,74.1,93.8,95.1,6.2,4.9,0,0,0,0,0,0,0,0,0,0,227,72,40,64,90,99,188,180,227,72,40,64,90,99,188,180,0,0,0,0,0,0,0,0,16,18.1,25.3,29.6,14.9,12.7,22.3,21,16,18.1,25.3,29.6,14.9,12.7,22.3,21,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200428,2020-04-28,111659,NYME,1,111,370085,119931,29868,47708,180068,274019,347707,351595,22378,18490,370085,119931,29868,47708,180068,274019,347707,351595,22378,18490,0,0,0,0,0,0,0,0,0,0,-19287,-4755,-2273,-4916,-11449,-11599,-21120,-18788,1833,-499,100,32.4,8.1,12.9,48.7,74,94,95,6,5,100,32.4,8.1,12.9,48.7,74,94,95,6,5,0,0,0,0,0,0,0,0,0,0,226,70,43,65,91,101,190,184,226,70,43,65,91,101,190,184,0,0,0,0,0,0,0,0,17.9,19.1,27.4,30.2,15.9,13.9,25,22,17.9,19.1,27.4,30.2,15.9,13.9,25,22,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200421,2020-04-21,111659,NYME,1,111,389372,124686,32141,52624,191517,285618,368827,370383,20545,18989,389372,124686,32141,52624,191517,285618,368827,370383,20545,18989,0,0,0,0,0,0,0,0,0,0,85,1021,646,-1116,2701,1572,2606,1102,-2521,-1017,100,32,8.3,13.5,49.2,73.4,94.7,95.1,5.3,4.9,100,32,8.3,13.5,49.2,73.4,94.7,95.1,5.3,4.9,0,0,0,0,0,0,0,0,0,0,243,75,45,73,94,109,203,199,243,75,45,73,94,109,203,199,0,0,0,0,0,0,0,0,17.1,19.9,26.5,29.8,15.7,14.7,24.2,22.4,17.1,19.9,26.5,29.8,15.7,14.7,24.2,22.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200414,2020-04-14,111659,NYME,1,111,389287,123665,31495,53740,188816,284046,366221,369281,23066,20006,389287,123665,31495,53740,188816,284046,366221,369281,23066,20006,0,0,0,0,0,0,0,0,0,0,21615,-109,-1099,9516,9701,13327,19108,21744,2507,-129,100,31.8,8.1,13.8,48.5,73,94.1,94.9,5.9,5.1,100,31.8,8.1,13.8,48.5,73,94.1,94.9,5.9,5.1,0,0,0,0,0,0,0,0,0,0,240,71,43,72,93,108,200,197,240,71,43,72,93,108,200,197,0,0,0,0,0,0,0,0,18.9,20.7,29.8,32.4,16.8,14.3,25.3,21.7,18.9,20.7,29.8,32.4,16.8,14.3,25.3,21.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200407,2020-04-07,111659,NYME,1,111,367672,123774,32594,44224,179115,270719,347113,347537,20559,20135,367672,123774,32594,44224,179115,270719,347113,347537,20559,20135,0,0,0,0,0,0,0,0,0,0,4685,2423,-658,2183,-398,961,4208,2486,477,2199,100,33.7,8.9,12,48.7,73.6,94.4,94.5,5.6,5.5,100,33.7,8.9,12,48.7,73.6,94.4,94.5,5.6,5.5,0,0,0,0,0,0,0,0,0,0,235,71,46,73,88,101,196,190,235,71,46,73,88,101,196,190,0,0,0,0,0,0,0,0,20.3,21,30.5,32.3,18.5,14.8,27.1,22.1,20.3,21,30.5,32.3,18.5,14.8,27.1,22.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200331,2020-03-31,111659,NYME,1,111,362987,121351,33252,42041,179513,269758,342905,345051,20082,17936,362987,121351,33252,42041,179513,269758,342905,345051,20082,17936,0,0,0,0,0,0,0,0,0,0,-8301,616,2257,-5156,-951,-5379,-5491,-8278,-2810,-23,100,33.4,9.2,11.6,49.5,74.3,94.5,95.1,5.5,4.9,100,33.4,9.2,11.6,49.5,74.3,94.5,95.1,5.5,4.9,0,0,0,0,0,0,0,0,0,0,253,72,51,75,88,110,201,204,253,72,51,75,88,110,201,204,0,0,0,0,0,0,0,0,18.3,20.3,28.6,30.9,17,14.5,25.6,21.3,18.3,20.3,28.6,30.9,17,14.5,25.6,21.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200324,2020-03-24,111659,NYME,1,111,371288,120735,30995,47197,180464,275137,348396,353329,22892,17959,371288,120735,30995,47197,180464,275137,348396,353329,22892,17959,0,0,0,0,0,0,0,0,0,0,4792,4158,-2359,-11678,11776,18541,4256,4504,536,288,100,32.5,8.3,12.7,48.6,74.1,93.8,95.2,6.2,4.8,100,32.5,8.3,12.7,48.6,74.1,93.8,95.2,6.2,4.8,0,0,0,0,0,0,0,0,0,0,253,76,47,76,100,109,215,200,253,76,47,76,100,109,215,200,0,0,0,0,0,0,0,0,16.9,19.3,26.4,30,15.9,14.1,22.4,20.1,16.9,19.3,26.4,30,15.9,14.1,22.4,20.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200317,2020-03-17,111659,NYME,1,111,366496,116577,33354,58875,168688,256596,344140,348825,22356,17671,366496,116577,33354,58875,168688,256596,344140,348825,22356,17671,0,0,0,0,0,0,0,0,0,0,-7050,-6368,-2326,-12017,8666,6945,-9719,-7398,2669,348,100,31.8,9.1,16.1,46,70,93.9,95.2,6.1,4.8,100,31.8,9.1,16.1,46,70,93.9,95.2,6.1,4.8,0,0,0,0,0,0,0,0,0,0,254,79,48,81,99,108,218,203,254,79,48,81,99,108,218,203,0,0,0,0,0,0,0,0,15.4,17.9,24.9,27.5,13.2,12.4,20.2,18.5,15.4,17.9,24.9,27.5,13.2,12.4,20.2,18.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200310,2020-03-10,111659,NYME,1,111,373546,122945,35680,70892,160022,249651,353859,356223,19687,17323,373546,122945,35680,70892,160022,249651,353859,356223,19687,17323,0,0,0,0,0,0,0,0,0,0,-8763,-9167,-3493,5964,-5340,-12079,-8543,-9608,-220,845,100,32.9,9.6,19,42.8,66.8,94.7,95.4,5.3,4.6,100,32.9,9.6,19,42.8,66.8,94.7,95.4,5.3,4.6,0,0,0,0,0,0,0,0,0,0,258,77,46,76,103,116,216,209,258,77,46,76,103,116,216,209,0,0,0,0,0,0,0,0,14.6,15.3,23,25.8,13.4,12.4,20.4,18.7,14.6,15.3,23,25.8,13.4,12.4,20.4,18.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200303,2020-03-03,111659,NYME,1,111,382309,132112,39173,64928,165362,261730,362402,365831,19907,16478,382309,132112,39173,64928,165362,261730,362402,365831,19907,16478,0,0,0,0,0,0,0,0,0,0,-16463,-20749,-1977,-4469,9064,-11253,-16154,-17699,-309,1236,100,34.6,10.2,17,43.3,68.5,94.8,95.7,5.2,4.3,100,34.6,10.2,17,43.3,68.5,94.8,95.7,5.2,4.3,0,0,0,0,0,0,0,0,0,0,267,77,46,76,98,118,211,217,267,77,46,76,98,118,211,217,0,0,0,0,0,0,0,0,14.2,15.6,23.2,26.3,13.7,11.4,20.6,17.9,14.2,15.6,23.2,26.3,13.7,11.4,20.6,17.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200225,2020-02-25,111659,NYME,1,111,398772,152861,41150,69397,156298,272983,378556,383530,20216,15242,398772,152861,41150,69397,156298,272983,378556,383530,20216,15242,0,0,0,0,0,0,0,0,0,0,-1317,-4424,948,-697,5626,810,505,1061,-1822,-2378,100,38.3,10.3,17.4,39.2,68.5,94.9,96.2,5.1,3.8,100,38.3,10.3,17.4,39.2,68.5,94.9,96.2,5.1,3.8,0,0,0,0,0,0,0,0,0,0,281,90,47,84,96,123,222,230,281,90,47,84,96,123,222,230,0,0,0,0,0,0,0,0,14.6,16.3,22,26.8,13.9,13.7,20.3,22.1,14.6,16.3,22,26.8,13.9,13.7,20.3,22.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200218,2020-02-18,111659,NYME,1,111,400089,157285,40202,70094,150672,272173,378051,382469,22038,17620,400089,157285,40202,70094,150672,272173,378051,382469,22038,17620,0,0,0,0,0,0,0,0,0,0,21983,3911,591,9095,7425,12571,20431,22257,1552,-274,100,39.3,10,17.5,37.7,68,94.5,95.6,5.5,4.4,100,39.3,10,17.5,37.7,68,94.5,95.6,5.5,4.4,0,0,0,0,0,0,0,0,0,0,277,90,43,87,92,122,221,225,277,90,43,87,92,122,221,225,0,0,0,0,0,0,0,0,15.8,15.8,23.4,25.6,14.1,13.6,21,21.8,15.8,15.8,23.4,25.6,14.1,13.6,21,21.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200211,2020-02-11,111659,NYME,1,111,378106,153374,39611,60999,143247,259602,357620,360212,20486,17894,378106,153374,39611,60999,143247,259602,357620,360212,20486,17894,0,0,0,0,0,0,0,0,0,0,2376,826,251,6249,-4924,-3621,2151,2879,225,-503,100,40.6,10.5,16.1,37.9,68.7,94.6,95.3,5.4,4.7,100,40.6,10.5,16.1,37.9,68.7,94.6,95.3,5.4,4.7,0,0,0,0,0,0,0,0,0,0,271,94,42,88,93,114,221,221,271,94,42,88,93,114,221,221,0,0,0,0,0,0,0,0,16.5,16.5,24.4,26.2,15,14.8,22.2,22.3,16.5,16.5,24.4,26.2,15,14.8,22.2,22.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200204,2020-02-04,111659,NYME,1,111,375730,152548,39360,54750,148171,263223,355469,357333,20261,18397,375730,152548,39360,54750,148171,263223,355469,357333,20261,18397,0,0,0,0,0,0,0,0,0,0,-22934,6257,-2283,-12705,-16198,-10335,-22646,-25323,-288,2389,100,40.6,10.5,14.6,39.4,70.1,94.6,95.1,5.4,4.9,100,40.6,10.5,14.6,39.4,70.1,94.6,95.1,5.4,4.9,0,0,0,0,0,0,0,0,0,0,262,88,42,81,86,113,212,207,262,88,42,81,86,113,212,207,0,0,0,0,0,0,0,0,17,18.1,25.3,27.9,14.9,15.2,22.7,22.7,17,18.1,25.3,27.9,14.9,15.2,22.7,22.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200128,2020-01-28,111659,NYME,1,111,398664,146291,41643,67455,164369,273558,378115,382656,20549,16008,398664,146291,41643,67455,164369,273558,378115,382656,20549,16008,0,0,0,0,0,0,0,0,0,0,-41071,-25421,-2336,-1919,-10857,-38558,-38197,-42813,-2874,1742,100,36.7,10.4,16.9,41.2,68.6,94.8,96,5.2,4,100,36.7,10.4,16.9,41.2,68.6,94.8,96,5.2,4,0,0,0,0,0,0,0,0,0,0,275,92,50,92,95,111,229,223,275,92,50,92,95,111,229,223,0,0,0,0,0,0,0,0,18,20.6,27.2,29.7,14.1,14.3,21.7,21.3,18,20.6,27.2,29.7,14.1,14.3,21.7,21.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200121,2020-01-21,111659,NYME,1,111,439735,171712,43979,69374,175226,312116,416312,425469,23423,14266,439735,171712,43979,69374,175226,312116,416312,425469,23423,14266,0,0,0,0,0,0,0,0,0,0,21184,5911,2916,6220,7567,12935,19698,22071,1486,-887,100,39,10,15.8,39.8,71,94.7,96.8,5.3,3.2,100,39,10,15.8,39.8,71,94.7,96.8,5.3,3.2,0,0,0,0,0,0,0,0,0,0,284,97,45,84,91,113,228,218,284,97,45,84,91,113,228,218,0,0,0,0,0,0,0,0,17,22.6,26.3,33.7,13.7,16.3,21,23.4,17,22.6,26.3,33.7,13.7,16.3,21,23.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200114,2020-01-14,111659,NYME,1,111,418551,165801,41063,63154,167659,299181,396614,403398,21937,15153,418551,165801,41063,63154,167659,299181,396614,403398,21937,15153,0,0,0,0,0,0,0,0,0,0,27235,305,-10861,13141,17256,25103,30702,27383,-3467,-148,100,39.6,9.8,15.1,40.1,71.5,94.8,96.4,5.2,3.6,100,39.6,9.8,15.1,40.1,71.5,94.8,96.4,5.2,3.6,0,0,0,0,0,0,0,0,0,0,277,96,43,87,83,112,219,218,277,96,43,87,83,112,219,218,0,0,0,0,0,0,0,0,16.8,22.4,26.4,33.9,13.4,15.1,21.1,22.2,16.8,22.4,26.4,33.9,13.4,15.1,21.1,22.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,200107,2020-01-07,111659,NYME,1,111,391316,165496,51924,50013,150403,274078,365912,376015,25404,15301,391316,165496,51924,50013,150403,274078,365912,376015,25404,15301,0,0,0,0,0,0,0,0,0,0,9115,4348,-1411,-4631,8715,15388,8432,9346,683,-231,100,42.3,13.3,12.8,38.4,70,93.5,96.1,6.5,3.9,100,42.3,13.3,12.8,38.4,70,93.5,96.1,6.5,3.9,0,0,0,0,0,0,0,0,0,0,268,91,44,81,81,102,212,202,268,91,44,81,81,102,212,202,0,0,0,0,0,0,0,0,16.4,21.5,26.2,33.4,13.9,15.2,22.2,23.9,16.4,21.5,26.2,33.4,13.9,15.2,22.2,23.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,191231,2019-12-31,111659,NYME,1,111,382201,161148,53335,54644,141688,258690,357480,366669,24721,15532,382201,161148,53335,54644,141688,258690,357480,366669,24721,15532,0,0,0,0,0,0,0,0,0,0,-6516,1875,2793,-4688,-4869,-5414,-7682,-7309,1166,793,100,42.2,14,14.3,37.1,67.7,93.5,95.9,6.5,4.1,100,42.2,14,14.3,37.1,67.7,93.5,95.9,6.5,4.1,0,0,0,0,0,0,0,0,0,0,259,90,46,76,75,94,203,191,259,90,46,76,75,94,203,191,0,0,0,0,0,0,0,0,16.5,19.8,26,32.5,13.9,14.5,22.1,23.6,16.5,19.8,26,32.5,13.9,14.5,22.1,23.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,191224,2019-12-24,111659,NYME,1,111,388717,159273,50542,59332,146557,264104,365162,373978,23555,14739,388717,159273,50542,59332,146557,264104,365162,373978,23555,14739,0,0,0,0,0,0,0,0,0,0,6048,10422,33,-4183,-629,10281,5610,6131,438,-83,100,41,13,15.3,37.7,67.9,93.9,96.2,6.1,3.8,100,41,13,15.3,37.7,67.9,93.9,96.2,6.1,3.8,0,0,0,0,0,0,0,0,0,0,271,98,46,88,82,100,224,204,271,98,46,88,82,100,224,204,0,0,0,0,0,0,0,0,15.5,19.3,24.7,32.1,13.3,14.9,20.9,23.3,15.5,19.3,24.7,32.1,13.3,14.9,20.9,23.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,191217,2019-12-17,111659,NYME,1,111,382669,148851,50509,63515,147186,253823,359552,367847,23117,14822,382669,148851,50509,63515,147186,253823,359552,367847,23117,14822,0,0,0,0,0,0,0,0,0,0,8240,4759,3204,1125,2345,4013,8229,8342,11,-102,100,38.9,13.2,16.6,38.5,66.3,94,96.1,6,3.9,100,38.9,13.2,16.6,38.5,66.3,94,96.1,6,3.9,0,0,0,0,0,0,0,0,0,0,276,93,52,90,85,103,224,211,276,93,52,90,85,103,224,211,0,0,0,0,0,0,0,0,14.8,16.9,23.9,28.9,13.5,14,21,22,14.8,16.9,23.9,28.9,13.5,14,21,22,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,191210,2019-12-10,111659,NYME,1,111,374429,144092,47305,62390,144841,249810,351323,359505,23106,14924,374429,144092,47305,62390,144841,249810,351323,359505,23106,14924,0,0,0,0,0,0,0,0,0,0,12485,4898,-4535,7218,-1456,10718,10660,13401,1825,-916,100,38.5,12.6,16.7,38.7,66.7,93.8,96,6.2,4,100,38.5,12.6,16.7,38.7,66.7,93.8,96,6.2,4,0,0,0,0,0,0,0,0,0,0,262,91,41,81,83,102,210,199,262,91,41,81,83,102,210,199,0,0,0,0,0,0,0,0,15.1,17.3,24,28.5,13.8,14.7,21.2,22.3,15.1,17.3,24,28.5,13.8,14.7,21.2,22.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,191203,2019-12-03,111659,NYME,1,111,361944,139194,51840,55172,146297,239092,340663,346104,21281,15840,361944,139194,51840,55172,146297,239092,340663,346104,21281,15840,0,0,0,0,0,0,0,0,0,0,-35638,-18216,-18966,-6464,-9509,-12360,-34189,-37790,-1449,2152,100,38.5,14.3,15.2,40.4,66.1,94.1,95.6,5.9,4.4,100,38.5,14.3,15.2,40.4,66.1,94.1,95.6,5.9,4.4,0,0,0,0,0,0,0,0,0,0,258,84,44,77,81,104,203,198,258,84,44,77,81,104,203,198,0,0,0,0,0,0,0,0,16.1,16.7,25.3,26.9,14.5,13.7,22.2,21.2,16.1,16.7,25.3,26.9,14.5,13.7,22.2,21.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
