World,Non-OECD,OECD,SaudiArabia,United States,OPEC,Non-OPEC
54219.59,,,3470,9043.3,38959.8846465096,15259.7053534904
52782.998,,,2590,9132.032,38907.4287069809,13875.5692930191
51324.413,,,2420,9021.767,38025.716,13298.697
52353.12,,,2740,8948.71,38736.446,13616.674
52216.159,,,2340,8802.613,38576.4232930191,13639.7357069809
54095.625,,,2980,8953.667,39169.98,14925.645
55779.147,,,3910,8969.935,39352.4866465096,16426.6603534904
56257.011,,,4200,8901.967,39466.426,16790.585
56571.921,,,4680,9029.548,39270.1852930191,17301.7357069809
55650.355,,,4310,9137.032,39475.374,16174.981
55660.371,,,4551,9173.393,38963.639,16696.732
55162.501,,,3972,9013.323,38897.714,16264.787
55266.682,,,4556,8863.9,38293.895,16972.787
56447.749,,,4208,8837.548,39261.908,17185.841
57220.1,,,5068,8623.333,38780.231,18439.869
58359.093,,,5700,8659.613,39201.197,19157.896
59013.237,,,6209,8373.548,39215.341,19797.896
54978.178,,,4651,8328.1,38819.309,16158.869
55334.802,,,4855,8418.839,38920.906,16413.896
56264.428,,,5164,8412.467,39421.532,16842.896
56434.726,,,5164,8352.452,39367.83,17066.896
55634.929,,,4004,8480.258,39301.322,16333.607
54938.329,,,3868,8388.571,39019.285,15919.044
54196.69,,,3300,8464.452,38789.937,15406.753
54870.27,,,4030,8498.167,38788.517,16081.753
55674.963,,,4197,8336.323,38917.043,16757.92
55375.706,,,4238,8278.533,38156.349,17219.357
57939.915,,,4602,8251.032,39203.704,18736.211
58737.602,,,4755,8209.935,39161.391,19576.211
58130.079,,,4653,8205.433,39411.576,18718.503
58325.247,,,4638,8363.613,39492.305,18832.942
57862.849,,,4248,8397.167,39494.448,18368.401
57936.912,,,4612,8317.548,39541.22,18395.692
57137.658,,,4155,8249.774,39638.658,17499
57217.705,,,4322,8374.069,39800.705,17417
57578.918,,,4332,8373.774,39889.918,17689
57890.101,,,4470,8287.633,39676.101,18214
57606.934,,,4484,8228.677,39430.934,18176
57271.737,,,4582,8170.067,38788.737,18483
57695.987,,,4641,8039.645,39122.987,18573
58852.668,,,5177,8079.323,39029.668,19823
59206.876,,,5314,7894.9,38708.876,20498
60890.869,,,6336,8022.71,39241.869,21649
61350.139,,,6532,8023.333,39105.139,22245
61597.285,,,6655,7941.581,39186.285,22411
58706.812,,,4918,7937.285,39080.548,19626.264
58227.577,,,4673,7788.445,38779.313,19448.264
58629.775,,,4515,7574.899,38780.511,19849.264
59059.986,,,4914,7771.554,38575.681,20484.305
58980.947,,,5022,7816.215,38473.642,20507.305
59017.965,,,4825,7624.368,37946.742,21071.223
59536.219,,,4923,7444.069,38388.914,21147.305
60428.657,,,5022,7544.458,38833.434,21595.223
60511.699,,,5219,7547.874,38775.558,21736.141
61081.978,,,5317,7452.779,38995.878,22086.1
61842.351,,,5701,7536.081,39049.128,22793.223
61485.176,,,5696,7336.754,38499.993,22985.183
60921.388,,,5537,7546.173,38696.655,22224.733
61178.881,,,5635.969,7497.242,38252.38,22926.501
62082.423,,,5764.609,7433.341,38962.497,23119.926
61805.933,,,5888.316,7407.173,38744.497,23061.436
61238.41,,,5393.5,7328.342,38337.321,22901.089
60409.37,,,5398.445,7105.838,37733.504,22675.866
60513.802,,,5393.5,7173.263,37594.287,22919.515
56965.632,,,5789.352,7286.634,37693.779,19271.853
59513.976,,,7659.758,7223.82,38030.938,21483.038
59854.228,,,7729.039,7541.889,38361.674,21492.554
60672.389,,,8223.855,7386.585,38441.423,22230.966
60883.958,,,8481.16,7337.517,38205.755,22678.203
60637.251,,,8074.582,7499.93,38695.016,21942.235
60326.57,,,8134.102,7636.997,38497.752,21828.818
