z,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-24,904.895,ae,0,0,0,0,0,FALSE,0.5,0,0,0,-2.2581676272072,-6.39243171713799,-6.72441328568977,3.54753233180428,-0.010312486604391,0.136220062789618,1,0,Index,1,0.5,0.001,0.25,0,0.002028153139028,1,1.23943482990361,2.30809750190067,-0.06664,0.00664,0,0
2024-07-24,66658.742188,bt,235.11,0,0.01,0.01,0.01,FALSE,0.010336023439411,0.008602804202092,0.018602804202092,0.082688187515287,4.49950706650886,-5.91111684313379,-8.48560119980246,13.1977017768133,-0.008805721595648,0.383001737116241,1.085894,0.052631578947369,Index,1,0.005,0.001,75,0,0.002937672685107,1,6.76365034200496,6.43405143480832,-0.35,0.1,2592.1052631579,2537.95056127695
2024-07-24,7148.5,ca,0,0,0,0,0,FALSE,0.3,0,0,0,14.6292008688729,20,16.2723279379254,1.36943718953447,-0.01056164108029,0.6284580202053,0.84023,0,Future,1,0.3,1e-4,3.5,0,7.79070661566e-4,1,2.02359366016162,-0.654156470627144,0.379059,-0.439059,0,0
2024-07-24,8813.2,cc,1565.91,0.12,0.31,0.313110721737622,0.19,TRUE,0.1,0.123110721737622,0.313110721737622,0.384864585720934,16.2712150379385,20,15.965978315224,3.71196422630604,4.08561641745e-4,0.622385913585064,1.085894,0.052631578947369,Future,1,0.1,0.01,4,0,7.29233499108e-4,1,3.02056389636972,0.691400329936321,0.36748,-0.42748,2592.1052631579,1561.79542702867
2024-07-24,78.005,cl,0,0,0,0,0,FALSE,8,0,0,0,1.17675473400323,3.66095582077918,16.7705846681451,-8.64676393245782,-0.00244556814866,0.211016793393132,1.085894,0,Future,1,8,0.01,0.025,0,0.001518799859398,1,-5.94813330659075,-2.69863062586707,0.111555,-0.171555,0,0
2024-07-24,67.662,ct,868.51,-1437.22,-6328.82,-6328.81742990159,-4891.6,TRUE,1062.48429310728,-1437.21742990159,-6328.81742990159,8499.87434485822,-14.8915552704142,2.47759885087171,-2.18841290530956,-20,-0.019204899513523,0.220239516423352,1.085894,0.052631578947369,Future,0.01,600,0.01,0.15,0,0.010065866899113,1,-16.4674720913003,-12.2179111119025,-0.049279,-0.010721,2592.1052631579,2648.13369408891
2024-07-24,102.354,dm,0,0,0,0,0,FALSE,0.01,0,0,0,9.97615378163187,20,-20,13.3015383755092,0.001407872585452,0.01687244159204,1.085894,0,Future,1,0.01,0.01,0.02,0,0.011581031494611,1,8.47804420316183,4.82349417234734,-0.044329,-0.015671,0,0
2024-07-24,5472.78,es,588.26,0,1.188,1.188,1.188,FALSE,0.490766084865874,-0.358590546225145,0.829409453774855,3.92612867892699,4.22507524130122,4.83540307613673,-13.5624580150481,9.99696112452396,-0.010619884088047,0.098249152072695,1.085894,0.052631578947369,Index,1,0.1,0.001,0.5,0,9.2989348095e-4,1,5.48194582852201,4.51501529600196,-0.0833,0.0233,2592.1052631579,9893.61692368596
2024-07-24,102.354,g,0,0,0,0,0,FALSE,0.01,0,0,0,9.97615378163187,20,-20,13.3015383755092,0.001407872585452,0.01687244159204,1.085894,0,Future,1,0.01,0.01,0.02,0,0.011581031494611,1,8.47804420316183,4.82349417234734,-0.044329,-0.015671,0,0
2024-07-24,2430.345,gc,1254.14,1.27,3.93,3.92514355801952,2.66,TRUE,0.761498969937691,1.26514355801952,3.92514355801952,6.09199175950153,12.8862405366769,17.774528232493,-12.8661775199691,14.7274786926406,0.00897510144862,0.142585083810068,1.085894,0.052631578947369,Future,1,0.1,0.01,0.3,0,8.65723549037e-4,1,8.541123793607,6.18635489903365,-0.066575,0.043381,2592.1052631579,6817.25919507141
2024-07-24,252.537,gf,0,0,0,0,0,FALSE,300,0,0,0,4.29697117545163,4.97402634313029,-20,13.242281729037,-0.005977261631292,0.130502388665795,1.085894,0,Future,0.01,300,0.01,0.2,0,0.006068572123243,1,6.04494146932422,7.1973402597128,-0.202637,0.142637,0,0
2024-07-24,132.102,gg,0,0,0,0,0,FALSE,1,0,0,0,-2.82386340373204,-7.88242765861055,-8.24511125362983,4.29861825114414,0.001712264319122,0.055102349261811,1,0,Future,1,1,0.01,0.028,0,0.003846613251093,1,1.9020480471622,2.39657020398194,-0.048173,-0.011827,0,0
2024-07-24,130.335,gx,495.78,0,-26.36,-26.36,-26.36,FALSE,7.75228700223314,-5.00531870245189,-31.3653187024519,62.0182960178651,-10.1148598772906,-13.6974479190004,-8.19560756786012,-2.53995209295728,-5.59938344709e-4,0.144305957820379,1,0.052631578947369,Future,1,1,0.01,0.04,0,0.002126741341165,1,-1.00905666813817,-1.53089542481911,-0.077307,0.017307,2592.1052631579,4041.57730574422
2024-07-24,91.097,he,1873.42,1972.32,8179.79,8179.78617405514,6207.47,TRUE,1061.03545888476,1972.31617405514,8179.78617405514,8488.28367107809,19.2731216133266,5.87156517007932,20,12.7617128993959,0.003067369032278,0.273009255610021,1.085894,0.052631578947369,Future,0.01,800,0.01,0.1,0,0.00402085631709,1,6.554726118832,6.20698678056387,0.681571,-0.741571,2592.1052631579,3560.46344111028
2024-07-24,412.46,hg,0,0,0,0,0,FALSE,200,0,0,0,-4.67268969141207,19.7119594878509,-1.61185285427977,-15.2803062386683,-0.00391996049658,0.20433006593965,1.085894,0,Future,0.01,200,0.1,0.2,0,0.002373099146172,1,-9.01592340118051,-6.26438283748783,-0.043174,-0.016826,0,0
