Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-08-22,913.265,ae,0,0,0,0,0,FALSE,0.5,-0,-0,0,-1.19546613955057,-13.36315646619543,-4.016553738066646,7.323608085501816,0.00629946695294147,0.1198166466538172,1,0,Index,1,0.5,0.001,0.25,0,0.00228468344059203,1,3.083788065787234,5.28604974621484,-0.04925,-0.01075,0,0
2025-08-22,5489.2,ca,0,0,0,0,0,FALSE,0.3,-0,-0,0,-5.832416441148801,8.628167351730404,4.871391270517558,-13.415398101008323,-0.00392727777496659,0.3776795781391892,0.86,0,Future,1,0.3,1e-4,3.5,0,0.00168824505906238,1,-7.767041647254761,-7.564841896754753,0.043593,-0.103593,0,0
2025-08-22,8636.7,cc,408.51,0,0.12,0.12,0.12,FALSE,0.1,-0.03109564687986502,0.08890435312013498,0.36535124102095035,4.866788073400135,9.297295631135068,16.652176167045614,-7.412692386633044,0.01777959598141976,0.4611694545483825,1.17,0.0625,Future,1,0.1,0.01,4,0,0.00100427262059617,1,-3.805801444871665,-4.66584699699467,0.277179,-0.337179,3109.375,1348.473958686172
2025-08-22,64.469,cl,588.21,21.1,41.31,41.31327373443479,20.21,TRUE,13.102286089101751,21.103273734434783,41.31327373443479,87.34857392734503,9.459404287194989,20,14.091659750127226,-6.235082118269341,0.00257820165799849,0.2584117176095686,1.17,0.0625,Future,1,8,0.01,0.025,0,0.00150064122196186,1,-3.2503763063169835,-3.875431828847978,0.115658,-0.175658,3109.375,2406.527868599148
2025-08-22,66.468,ct,648.4,0,-8175.5,-8175.5,-8175.5,FALSE,2352.3029775998825,1403.3797797864454,-6772.120220213555,15682.019850665882,-8.63679587795701,-8.294105339909837,-15.879501358521717,2.21617948869348,0.01181959202905513,0.1396060839662523,1.17,0.0625,Future,0.01,600,0.01,0.15,0,0.01616494766207023,1,1.0485948371088731,1.4841817213979605,-0.118675,0.058675,3109.375,4454.497843735299
2025-08-22,31018,dm,0,0,0,0,0,FALSE,0.01,0,0,0,4.634423840797512,-1.656866116873114,-0.3479282682580228,6.298881582048439,0.00969283612074889,1.3831874093171013,1,0,Index,1,0.01,1e-4,37.8,0,8.810427487116915e-4,1,0.9475365361917047,6.251185271863655,-0.04925,-0.01075,0,0
2025-08-22,1.17244,e7,0,0,0,0,0,FALSE,400,-0,-0,0,-0.8013628737301666,-13.345614350683704,-14.018117387612484,12.766022584885048,0.00958573047933966,0.07799549467078726,1.17,0,Index,1,400,1,10,0,109.35530504074951,1,6.352105197960182,8.237634899051299,-0.03459,0.013734,0,0
2025-08-22,6474.22,es,0,0,0,0,0,FALSE,0.1,0,0,0,5.149082334547484,-14.100305781459896,-8.611671076349579,17.240653954101862,0.01440458638969666,0.12570150327418955,1.17,0,Index,1,0.1,0.001,0.5,0,6.143870877918969e-4,1,9.228569657173072,10.475034861800482,-0.0733,0.0133,0,0
2025-08-22,90.9115,g,0,0,0,0,0,FALSE,1,-0,-0,0,-3.804074336218693,16.593010633423006,-0.12709521794436193,-12.5804712348464,0.00302950415677116,0.07120645565092569,0.86,0,Future,1,1,0.01,0.035,0,0.00540666986231822,1,-7.089189003135254,-7.288492408117774,-0.030362,-0.029638,0,0
2025-08-22,3376.82,gc,0,0,0,0,0,FALSE,0.1,-0,-0,0,-1.3655599531921796,-12.321418164765984,-13.018145252516131,11.10914176213571,0.01142631311816977,0.12938094999934496,1.17,0,Future,1,0.1,0.01,0.3,0,6.866619897903514e-4,1,6.857719111243445,5.838442902625937,-0.060747,0.037372,0,0
2025-08-22,359.324,gf,1197.63,0,2108.93,2108.93,2108.93,FALSE,328.52066260629846,81.20775070865648,2190.1377507086563,2190.1377507086563,20,19.21955160539865,-6.094303520928744,20,0.00557595807353727,0.1849103832997582,1.17,0.0625,Future,0.01,300,0.01,0.2,0,0.00301011072553695,1,19.23388974568673,13.078711621092374,-0.075076,0.015076,3109.375,3363.115628784775
2025-08-22,129.445,gg,0,0,0,0,0,FALSE,1,0,0,0,0.3788248518998625,16.781993730615028,0,-7.958054177421957,0.00270751306420624,0.04912219096233206,1,0,Future,1,1,0.01,0.028,0,0.00440346980208045,1,-4.119259133364295,-4.975659926546513,-0.03,-0.03,0,0
2025-08-22,114.37,gx,0,0,0,0,0,FALSE,1,-0,-0,0,-10.931433653200584,11.56790253408202,0,-18.277018299270253,0.00245119618484768,0.1242214441536595,1,0,Future,1,1,0.01,0.04,0,0.00281547254268168,1,-10.60278694791815,-10.28523396553357,-0.03,-0.03,0,0
2025-08-22,96.767,he,613.07,0,3818.17,3818.17,3818.17,FALSE,1161.8927463986067,782.6745142535692,4600.844514253569,7745.951642657378,11.879352535372073,10.922841977867732,20,-1.8850180913657864,0.01548610202186395,0.19414083669156992,1.17,0.0625,Future,0.01,800,0.01,0.1,0,0.00532299215232221,1,-0.238503396238257,-1.9158029938940704,0.358762,-0.418762,3109.375,3203.215823098404
2025-08-22,445.56,hg,0,0,0,0,0,FALSE,200,0,0,0,0.699624487736217,20,-3.2829972642374017,-7.558930524754194,0.0040931126525523,0.4086585799551809,1.17,0,Future,0.01,200,0.1,0.2,0,0.00109840671397645,1,-4.767378119161567,-3.8713996234146553,-0.083665,0.023665,0,0
2025-08-22,25701.5,hs,0,0,0,0,0,FALSE,0.1,0,0,0,19.054255308099435,13.263026377574326,-1.7094170463016232,15.99948711504872,0.01941175375264237,0.2121922211930475,9.09,0,Index,1,0.1,1e-4,5,0,9.168157698986688e-4,1,8.891057204857358,9.39407092662689,-0.04451,-0.015491,0,0
2025-08-22,387.84,kc,0,0,0,0,0,FALSE,500,0,0,0,16.919011858571125,6.4283051661654005,5.2184082451223155,13.51265684700886,0.03665799312651252,0.3927394913795139,1.17,0,Future,0.01,500,0.01,0.3,0,0.00196953672463175,1,10.45891569213912,4.984120704442435,0.051979,-0.111979,0,0
2025-08-22,594.71,lb,440,0,-4.06,-4.06,-4.06,FALSE,2,-0.44996115011498183,-4.5099611501149814,11.476392502624869,-7.859544973010409,15.64550729840315,-20,-6.80509076121347,-0.00587632933503012,0.21321036872785223,1.17,0.0625,Future,1,2,0.01,1,1,0.00788653867809122,1,-5.494806711865149,-2.2824398723788173,-0.316962,0.256962,3109.375,2916.72025010087
2025-08-22,240.235,le,0,0,0,0,0,FALSE,500,0,0,0,20,19.534236913584344,12.109494725490515,20,0.00666985159097865,0.16896245849903707,1.17,0,Future,0.01,500,0.01,0.09,0,0.0022172568688576,1,14.38993228299466,12.133219355287592,0.051842,-0.111842,0,0
2025-08-22,686.34,lf,0,0,0,0,0,FALSE,1,0,0,0,13.733427306148076,20,9.745475010032695,0.8226079877243109,-0.00212496623252889,0.2611647967266668,1.17,0,Future,1,1,0.01,0.5,0,0.00278943378972107,1,1.450793462028018,-0.5106700474859485,0.071807,-0.131807,0,0
2025-08-22,2.3302,lo,0,0,0,0,0,FALSE,250,0,0,0,14.439936448486035,20,12.13293325927282,0.4363178829190639,-0.00180079798268051,0.2600051391191012,1.17,0,Future,1,250,0.1,0.0028,0,0.00462149940370644,1,1.1589772204137572,-0.6603282113633984,0.096185,-0.156185,0,0
2025-08-22,2.7235,ng,1220.64,0,-1093.8,-1093.8,-1093.8,FALSE,167.1759109967618,-20.706073311745513,-1114.5060733117457,1114.5060733117457,-20,-2.789875688873708,-18.15264380551456,-17.223592293341735,-0.02877245434105901,0.4794122604530065,1.17,0.0625,Future,1,150,0.1,0.003,0,0.00229765457711479,1,-9.759377912841328,-9.924727565263511,-0.378104,0.318104,3109.375,1297.161235326726
2025-08-22,42985.44,ny,0,0,0,0,0,FALSE,1,0,0,0,8.10032625773735,-11.035270341089753,-0.6479272290826515,15.0991145082146,0.00753832669934695,0.18366260076534,172.1,0,Index,1,1,0.01,7,0,8.866575849084377e-4,1,9.49516663298232,7.760964233548654,-0.03476,-0.02524,0,0
2025-08-22,243.385,oj,594.98,0,-456.24,-456.24,-456.24,FALSE,300,-17.256559179781846,-473.49655917978185,953.721408483536,-9.929452248170977,5.943090785424377,0.04749502875737389,-14.343238333571993,0.01717731952653167,0.6269077160075872,1.17,0.0625,Future,0.01,300,0.01,0.6,0,0.00393236503948887,1,-8.7698820385165,-7.622390342708633,-0.028809,-0.031191,3109.375,991.9721581357496
2025-08-22,1134.78,pa,0,0,0,0,0,FALSE,0.6,-0,-0,0,-10.494031760683724,-16.86366374272122,-3.4762813775481605,-1.8232065949324252,0.02481224645800228,0.3175879280458806,1.17,0,Future,1,0.6,0.01,1.49,0,0.00413438207951368,1,-0.1316849283618758,-1.9519797515608956,-0.074161,0.014161,0,0
2025-08-22,1374.3,pl,924.26,1.25,2.83,2.8300828765539716,1.58,TRUE,0.7,1.2500828765539715,2.8300828765539716,3.808249025893501,14.862908687490414,14.355176205033306,-1.9043812422200852,10.760783875725291,0.01861799853217149,0.2780430663046863,1.17,0.0625,Future,1,0.7,0.01,1,0,0.00261701603806623,1,7.18122306834768,5.116815646766939,-0.05118,-0.00882,3109.375,2236.6139471305296
2025-08-22,2.14545,rb,957.93,0,2478.8,2478.8,2478.8,FALSE,482.76302644075383,298.1700169656774,2776.9700169656776,3218.4201762716916,17.25672761710435,20,20,-0.27802558045217396,-3.728126426666422e-4,0.21074526010495656,1.17,0.0625,Future,1,250,0.1,0.0025,0,0.00552921904612239,1,1.7379777224538362,-2.0557212429706064,0.669378,-0.729378,3109.375,2950.8374218726926
2025-08-22,4807.5,rm,651.79,0,0.3503,0.3503,0.3503,FALSE,0.3,0.0833670287419504,0.4336670287419504,0.6684416528770122,12.975463957861454,3.0629294413559887,7.733127670190267,9.431073110354248,0.02628097685741615,0.45283100827350514,1.17,0.0625,Future,1,0.3,1e-4,3,0,0.001378052628016,1,7.885594012656072,2.892775256320211,0.110072,-0.170072,3109.375,1373.3048060710412
2025-08-22,16.44,sb,0,0,0,0,0,FALSE,5000,-0,-0,0,-15.553543818486876,-15.743090935891832,0.32115572717991847,-10.064511045343332,0.00426699824499055,0.2277711210145093,1.17,0,Future,0.01,5000,1,0.04,0,0.01068217082786324,1,-5.878637483792137,-5.6236608537430985,-0.027074,-0.032926,0,0
2025-08-22,39.0155,si,906.57,58.379999999999995,131.01,131.00900046438673,72.63,TRUE,30,58.379000464386735,131.00900046438673,179.73688822132212,14.577864539756192,8.919206773023767,-5.973130057187513,15.187378258946095,0.02362661767594476,0.20751264213785203,1.17,0.0625,Future,1,30,0.01,0.025,0,0.00308786476349821,1,8.785320980951058,8.571682743558766,-0.050869,0.01958,3109.375,2996.805368546579
2025-08-22,486.67,sw,279.13,0,-2.981,-2.981,-2.981,FALSE,2,0.3663468736279092,-2.6146531263720907,13.282782924605268,-3.936905603612116,-14.626745262655636,11.584655935416697,-2.978276026222948,9.250789546433325e-4,0.22511026780064636,1.17,0.0625,Future,1,2,0.001,0.7,0,0.00638951890888541,1,-1.4363110749934274,-1.967432954975656,0.074313,-0.134313,3109.375,2762.5350281699343
2025-08-22,393.67,zc,0,0,0,0,0,FALSE,150,-0,-0,0,-10.510012182925257,12.043671139833476,-18.09943473671144,-8.983560696332741,-0.00142150042974442,0.2019110018164024,1.17,0,Future,0.01,150,0.1,0.9,0,0.01132270534351245,1,-6.217605926220509,-4.049320583874053,-0.176179,0.116179,0,0
2025-08-22,109.023,zf,0,0,0,0,0,FALSE,0.01,0,0,0,8.673264181027148,4.357827527541677,-3.196375205180866,9.331575759993475,0.00416374290039023,0.03354581146362404,1.17,0,Future,1,0.01,0.01,0.02,0,0.00546856735361199,1,5.036525609029147,5.62813240239197,-0.034289,-0.025711,0,0
2025-08-22,54.312,zl,0,0,0,0,0,FALSE,2000,-0,-0,0,-2.5757962254876094,-19.814182636618977,-0.44746836677986873,7.187058386856441,0.01586760458595826,0.2980657626366102,1.17,0,Future,0.01,2000,1,0.09,0,0.00555948573436413,1,4.345996250375203,3.867784763175015,-0.035335,-0.024665,0,0
