Date,Close,Symbol,PositionRisk,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-07-01,7224,ap,91.67,-0.2,-0.200907348937247,-0.17,TRUE,0.026260345000279,-0.030907348937247,0.343414988191633,-0.26,-0.132198593181444,0.525206900005571,-5.03415294734481,10.2612183219549,-13.0323398676445,1.13973788570483,0.003050050888,0.10493280668617,1.65375,0.007407407407407,Index,1,0.05,0.01,2,5,0,2.5,240.740740740741,1147.11856255185
2023-07-01,1020.4,aud,45.17,1.02,1.02,1.02,FALSE,0.254815562610619,-0.061814697874494,0.343414988191633,0.84,0.469509682264796,5.09631125221239,1.84254712488753,-0.719858095809365,1.65474643699203,2.71789928993114,0.005030270765747,0.071773534207388,1.65375,0.006944444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.694444444444,1572.26787657068
2023-07-02,227.45,audhuf,466.39,-8400,-8400,-8400,FALSE,541.992616209441,-34.3414988191633,0.343414988191633,-8500,-9336.20087867983,10839.8523241888,-17.2256975454294,-12.6313108972701,-20,-14.906416139256,-9.22853881058e-4,0.090581774844551,371.074005,0.018518518518519,Cash,1,800,1,1,0.13,0,0.065,601.851851851852,3322.14649627201
2023-07-04,30918.019531,bt,0,0,0,0,FALSE,0.003220014644587,0,0.343414988191633,0,0.004016406819876,0.064400292891731,1.2473256376731,-6.66169126913435,-8.3346130378255,15.2020032087482,0.00966064871743,0.395939197779597,1.091584,0.022222222222222,Cash,1,5,1,3,75,0,37.5,722.222222222222,912.03678023343
2023-07-01,2647.45,ca,890.06,1.8,1.8,1.8,FALSE,0.091286333894784,-0.068682997638327,0.343414988191633,1.6,1.33913489033011,1.82572667789567,14.6696097125951,1.93866296220586,12.951486832749,20,0.020723559637979,0.161232994092986,0.86325,0.027777777777778,Future,1,0.3,0.1,1,3.5,0,1.75,902.777777777778,2799.60619368369
2023-07-01,1039.49,cad,0,0,0,0,FALSE,0.351258140833277,0,0.343414988191633,0,1.32166285049665,7.02516281666554,3.76265400528887,-17.089938872505,0.050935250707783,13.6154506679637,-0.001163355401639,0.044703814516654,1.44644,0.006944444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.694444444444,2524.33094227748
2023-07-01,3348.9,cc,110.47,0.2,0.2,0.2,FALSE,0.081719080876933,0.034341498819163,0.343414988191633,0.3,0.542274478508416,1.63438161753866,6.63583673102087,-1.20652892515295,-2.48702075292767,20,0.024912858407991,0.180045542230754,1.091584,0.027777777777778,Future,1,0.2,0.1,1,4,0,2,902.777777777778,2507.08172663542
2023-07-01,1156.97,chf,0,0,0,0,FALSE,0.239221612723033,0.127063545630904,0.343414988191633,0.37,0.505511689623274,4.78443225446066,2.11315225187679,5.87767325052463,-9.97775158509961,16.2856517984353,0.001929308340332,0.039906585827876,0.97876,0.006944444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.694444444444,2827.784434102
2023-07-02,4.545,chfpln,367.71,-6051,-6051,-6051,FALSE,495.198612751912,-325.90082379386,0.343414988191633,-7000,-7757.57283217154,9903.97225503823,-15.6655786837957,-3.59569559889895,-20,-13.2650228097645,0.001213056687974,0.059802049485115,4.4727,0.018518518518519,Cash,1,500,1,1,0.00294,0,0.00147,601.851851851852,5032.03365966293
2023-07-01,70.356,cl,0,0,0,0,FALSE,1.1256780536771,0,0.343414988191633,0,-5.07786999946399,22.513561073542,-4.51094341128602,8.96173434224309,-2.21302526511448,-10.7515105323827,0.009396444819883,0.311073267373831,1.091584,0.013888888888889,Future,1,8,1,3,25,0,12.5,451.388888888889,725.534683034069
2023-07-01,980.08,cnh,171.69,-40,-40,-40,FALSE,5.25832171919792,-4.80780983468286,0.343414988191633,-54,-63.8574864422981,105.166434383958,-12.1440812967295,-12.9176371813481,-5.7046351571894,-20,-0.002842662195949,0.034633415556998,7.9083,0.013888888888889,Cash,1,0.01,0.01,2,0.3,0,0.15,451.388888888889,6516.66723638646
2023-07-01,84.478,ct,0,0,180,180,TRUE,101.016298943217,-61.8146978744939,0.343414988191633,0,480.838803785105,2020.32597886435,4.76001208533082,-12.7809720359969,16.1962330582862,-5.15001810053149,0.016687146427376,0.230957963283088,1.091584,0.011111111111111,Future,0.01,600,1,3,0.15,0,0.075,361.111111111111,781.768045530634
2023-07-01,4444,es,39.16,-0.09,-0.09,-0.09,FALSE,0.041497921963735,-0.003434149881916,0.343414988191633,-0.1,-0.048064664327004,0.829958439274689,-1.15824267945293,-8.27841324201307,-15.624165818488,18.704203884981,0.010659673286126,0.106872905689732,1.091584,0.011111111111111,Index,1,0.01,0.01,2,0.5,0,0.25,361.111111111111,1689.44181306098
2023-07-01,1014.75,eur,121.55,3.88,3.88,3.88,FALSE,0.360215973210345,0.109892796221323,0.343414988191633,4.2,3.09612418264806,7.2043194642069,8.59518847833022,12.2147769140438,0,18.4342769673146,9.07038483151e-4,0.030872290076118,1,0.006944444444444,Cash,1,0.01,0.01,2,0.25,0,0.125,225.694444444444,3655.29158815198
