Date,Close,Symbol,Position,RequiredTrade,PositionPrevious,PositionDynamic,PositionRaw,ForecastSkew,ForecastCarry,ForecastTrend,Forecast,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-19,7320,ap,0,0,-0.06,0,0.00875356678611912,10.097661662813769,-6.615554967165348,6.544716117597242,0.3198751297375997,0.00712917743929608,0.09804891701745388,1.5913,0.0074074074074074,Index,1,0.05,0.01,2,1,0,0.5,246.85185185185185,1258.8198797132522
2023-06-19,1038.77,aud,0,0,0,0,1.8644678216767836,-3.0708458220336,2.605039197076613,14.892955125914083,6.952617066700581,-9.525963780783188e-4,0.06610034896720053,1.5913,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,231.42361111111111,1750.5475744609546
2023-06-19,234.265,audhuf,-4100,0,-4600,-4099.999999999997,-5150.652838023905,-15.174479308288902,-20,2.8453899403093104,-10.379291954705169,-0.00338784748472775,0.08481517134384418,372.799988,0.01587301587301587,Cash,1,800,1,1,0.13,0,0.065,528.968253968254,3118.3586944828244
2023-06-21,27162.261719,bt,0,0,0,-0.011,-0.01343456814583659,-2.944105811397448,-8.259756298416475,2.064767683275237,-3.5983816570378875,0.01152441781495028,0.3995275260884709,1.094212,0.02222222222222222,Cash,1,5,1,3,75,0,37.5,740.5555555555554,926.789153685956
2023-06-19,2520.95,ca,2.3,0,2.3,2.3000000000000007,1.6535207709450803,3.846985238379473,14.230815052985289,20,15.50010605033059,0.00289993449960324,0.1467383977815061,0.8526,0.02777777777777777,Future,1,0.3,0.1,1,3.5,0,1.75,925.6944444444443,3154.233855758757
2023-06-19,1036.46,cad,5.3,0,3.2,5.3,1.576554278012535,-18.17139918245223,0.45063088303357446,15.424960710521889,4.578159807480319,9.459734095393912e-4,0.04679439602107542,1.4434,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,231.42361111111111,2472.7705749945117
2023-06-17,3231.1,cc,0,0,0,0,0.6728272575767441,-0.38179747760731886,-2.9669704434822464,20,6.478335030498145,-0.0041077966804135,0.1509206136460386,1.094212,0.02777777777777777,Future,1,0.2,0.1,1,4,0,2,925.6944444444443,3066.825737322803
2023-06-19,1151.93,chf,0,0,0,0,0.16484561821366975,9.899801136620349,-10.204097317329383,12.205894556149495,0.7702892774571419,-4.513144610056586e-4,0.04592919740230968,0.9785,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,231.42361111111111,2519.3517870995206
2023-06-19,4.54638,chfpln,-4600,0,-5000,-4599.999999999996,-7218.735085049881,-1.9648766179299384,-20,-17.698299346073405,-17.275807400222355,-0.00454602348176491,0.06204057355399196,4.4562,0.01587301587301587,Cash,1,500,1,1,0.00294,0,0.00147,528.968253968254,4263.083202381337
2023-06-19,71.3695,cl,0,0,0,-1.2000000000000004,-4.453907525481434,7.558227661963124,-2.0748080650100227,-9.653162652431297,-4.142846327281218,-0.00221837421929205,0.3300305274245654,1.094212,0.01388888888888888,Future,1,8,1,3,0.025,0,0.0125,462.84722222222223,701.2188021424996
