Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-11-20,3473.25,ca,0,0,0,0,0,FALSE,0.3,0,0,0,16.8208677564819,1.09700206494205,5.99975109117667,18.8794470972498,-0.02715265999853,0.209307933098557,0.87493,0,Future,1,0.3,1e-4,3.5,0,1.75,18.3834744358442,12.5099885776403,13.2017839987465,19.3650793650794,0,0
2023-11-20,4017.2,cc,756.54,0,0.97,0.97,0.97,FALSE,0.2,-0.066625056694639,0.903374943305362,1.48031395704202,12.2051803809308,-1.98494683750639,-2.89180519783518,18.7119498589118,-0.017226062045094,0.212581746675122,1.094931,0.055555555555556,Future,1,0.2,0.01,4,0,2,17.316234255996,12.2604458759453,14.5904715880238,18.7301587301587,1749.33333333333,2715.56711255284
2023-11-20,78.568,cl,0,-12.43,0,0.720185668000523,12.43,TRUE,8,-11.7098143319995,0.720185668000523,44.7016876095554,0.322218558856635,10.5642196990907,3.48610269094431,-6.59553644987533,0.026203273479607,0.359942925163831,1.094931,0.055555555555556,Future,1,8,0.01,0.025,0,0.0125,-5.52132131194661,-4.41172493519229,-8.66539560118154,-3.57142857142857,1749.33333333333,1603.80982550843
2023-11-20,79.798,ct,750.85,0,-4545.39,-4545.39,-4545.39,FALSE,873.660775768281,118.615142507375,-4426.77485749263,6989.28620614625,-12.6673160232008,-6.33726262272749,-6.30789656674005,-10.5671751028673,-0.003714988668399,0.226661849139817,1.094931,0.055555555555556,Future,0.01,600,0.01,0.15,0,0.075,-9.33162707982123,-6.75463302497087,-6.9733387470493,-12.4603174603175,1749.33333333333,2546.87766022726
2023-11-20,4533.53,es,251.98,0,0.47,0.47,0.47,FALSE,0.269190038330805,0.146750830850211,0.616750830850211,2.15352030664644,5.72783854367868,0.567762065853989,-11.7095093728571,13.2079917117398,0.005119478314494,0.129484502870341,1.094931,0.055555555555556,Index,1,0.01,0.01,0.5,0,0.25,10.4108838099667,8.6730131888403,16.6619201461633,8.65079365079365,1749.33333333333,4458.29413716063
2023-11-20,96.9885,g,0,0,0,0,0,FALSE,0.01,0,0,0,1.26326384523111,-3.01211647056737,-0.588431275654954,3.48462566675265,-0.002800531048027,0.130965166517065,0.87493,0,Future,1,0.01,0.01,0.02,0,0.01,3.27423612212136,1.61918909256936,11.8989673159438,-5.07936507936508,0,0
2023-11-20,1974.54,gc,599.81,0,-3.05,-3.05,-3.05,FALSE,0.733862794439009,0.345925533926477,-2.70407446607352,5.87090235551207,-9.21178484099543,-20,-19.5835450021734,7.50939271309279,-5.06434247213861e-5,0.109051706407751,1.094931,0.055555555555556,Future,1,0.1,0.01,0.3,0,0.15,5.18201556640187,5.37784192256226,4.91989392759428,9.76190476190476,1749.33333333333,5293.63564327469
2023-11-20,223.625,gf,0,0,0,0,0,FALSE,300,0,0,0,-5.74868174042752,15.6312273961862,-18.2092145666102,-6.37591540202469,6.48617237935e-4,0.175458638719021,1.094931,0,Future,0.01,300,0.01,0.2,0,0.1,-5.78637815027137,-3.07983510828047,-11.7717843579644,-0.793650793650794,0,0
2023-11-20,130.853,gg,253.83,0,-22.49,-22.49,-22.49,FALSE,12.7871045778466,10.6771970923447,-11.8128029076553,102.296836622773,-2.30951479980087,-10.048762400925,5.6565630554018,-0.883253393639566,-0.002206149867104,0.086252286984423,1,0.055555555555556,Future,1,1,0.01,0.028,0,0.014,-1.17616665450581,-0.681567104556893,6.82532272535361,-7.93650793650794,1749.33333333333,6692.92398129984
2023-11-20,75.7,he,224.04,0,-1140.73,-1140.73,-1140.73,FALSE,800,-260.811047175455,-1401.54104717546,5878.49069816218,-4.76837038328095,-1.71067756026098,3.14354118721544,-7.07425899118517,-0.00457340975206,0.284080578817241,1.094931,0.055555555555556,Future,0.01,800,0.01,0.1,0,0.05,-6.81600621942096,-4.62127956091231,-0.675069372109877,-11.6666666666667,1749.33333333333,2032.09949234644
2023-11-20,378.34,hg,151.11,366.7,-147.5,-268.074153449181,-634.8,TRUE,256.051002896274,366.72584655081903,-268.074153449181,2048.40802317019,-2.61739019196282,-2.9987752972298,-6.75394067104182,1.38650439485205,0.018136732274259,0.163118992845707,1.094931,0.055555555555556,Future,0.01,200,0.1,0.2,0,0.1,2.3530495535001,0.858919059517855,10.4961694088937,-9.04761904761905,1749.33333333333,3539.01155180651
2023-11-20,17931.6,hs,526.42,0,-0.96,-0.96,-0.96,FALSE,0.26318911604898,0.068361152619671,-0.89163884738033,2.10551292839184,-8.46956421266289,-8.70174401829902,-5.50127504373101,-4.1912427525355,0.015732423531663,0.260849255598529,8.53002,0.055555555555556,Index,1,0.1,0.01,5,0,2.5,-2.10943761054151,-3.42925717516521,3.67270607503652,-12.2222222222222,1749.33333333333,2213.07896269594
2023-11-20,171.8,kc,0,0,0,0,0,FALSE,500,0,0,0,1.92106180746545,-4.5104282755013,1.47684283468156,4.07820846369713,0.022486084852674,0.334259332413284,1.094931,0,Future,0.01,500,0.01,0.3,0,0.15,3.60020347814814,2.23746323762689,6.60075575790347,1.26984126984127,0,0
