Date,Close,Symbol,PositionRisk,Position,PositionPrevious,BufferLow,BufferUp,RequiredTrade,PositionDynamic,PositionRaw,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-24,7089,ap,127.72070658363091,-0.26,-0.26,-0.17723823496161067,-0.07922344273744264,0,-0.2564616776990533,-0.12823083884952666,0.4900739611208403,-5.233121896795004,9.739065723251162,-12.07816778096478,-0.41986144659432545,-0.01365997913626948,0.1122935220470717,1.62051,0.0074074074074074,Index,1,0.05,0.01,2,5,0,2.5,240.74074074074073,1071.9262177912003
2023-06-24,1019.11,aud,52.937871923397424,1.2,1.2,0.2244070521415595,1.247619068390481,0,1.200000000000003,0.7360130602660203,5.1160600812446075,2.8772651164290743,-2.7644185684224145,0,7.884267433178288,-0.00837413714325041,0.07014809558551478,1.62051,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.69444444444443,1608.6997270603676
2023-06-25,227.01,audhuf,480.3751286785012,-8500,-8500,-9853.568839361727,-7723.674748127652,0,-8499.999999999982,-8788.621793744689,10649.470456170377,-16.50527475505132,-14.68005547226135,-20,-12.593173019562965,2.643404720652498e-4,0.0918923730004992,369.115997,0.01851851851851851,Cash,1,800,1,1,0.13,0,0.065,601.8518518518518,3274.764989737409
2023-06-27,30358.277344,bt,0,0,0,-0.00209856103722671,0.00992174590859744,0,4e-4,0.00391159243568536,0.06010153472912074,1.3016614145761891,-4.4131440825081665,-7.607444891671307,13.866745671656648,-0.00625276815090813,0.4337855938480562,1.09589,0.02222222222222222,Cash,1,5,1,3,75,0,37.5,722.2222222222222,832.4645083478704
2023-06-24,2522.75,ca,856.1998604225801,2.1,2.1,1.5264697470901067,1.969318063462791,0,2.0999999999999996,1.7478939052764488,2.21424158186342,15.78774348375744,2.7036253279268045,15.034761901929519,20,0.0024209243081632,0.13889192350508758,0.8594,0.02777777777777777,Future,1,0.3,0.1,1,3.5,0,1.75,902.7777777777776,3249.928991532431
2023-06-24,1042.71,cad,3.2920033912730453,0.1,0.1,1.020970688203457,2.392138439991018,0,0.1,1.7065545640972375,6.855838758937805,4.978397608527302,-17.633156800769836,0,16.854283221510713,1.2468289798395205e-4,0.04546974905913775,1.44021,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.69444444444443,2481.80877522446
2023-06-24,3199,cc,126.399807543755,0.3,0.3,0.4695003597748528,0.8980347675342646,0,0.3000000000000001,0.6837675636545587,2.1426720387970586,6.382381916351887,-0.6646769934336862,-3.1023007686094877,20,0.00143898420050625,0.14433706896855858,1.09589,0.02777777777777777,Future,1,0.2,0.1,1,4,0,2,902.7777777777776,3127.324755272787
2023-06-24,1154.14,chf,27.057403571006176,0.53,0.53,-0.14322851704177908,0.7409513359263331,0,0.5299999999999997,0.298861409442277,4.4208992648405605,1.3520389926960048,7.444565358032289,-9.899773582817984,13.89367312075442,9.275272530118172e-4,0.04337099191290607,0.9805,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.69444444444443,2601.9054959322207
2023-06-25,4.539475,chfpln,467.18975617883285,-7500,-7500,-9325.778707942996,-7393.420890079779,0,-7499.999999999998,-8359.599799011388,9661.789089316086,-17.30445515159372,-3.4429422662755877,-20,-17.400402312415412,-6.177220348255741e-4,0.0606511253198464,4.4199,0.01851851851851851,Cash,1,500,1,1,0.00294,0,0.00147,601.8518518518518,4961.588500443804
2023-06-24,69.414,cl,0,0,0,-7.219368844620883,-2.9175920122826233,0,-0.8,-5.068480428451753,21.5088841616913,-4.712918057812634,7.815232712704887,-2.077763852715045,-11.138898506814002,5.762692331412467e-5,0.3313239852067117,1.09589,0.01388888888888888,Future,1,8,1,3,25,0,12.5,451.38888888888886,681.189574318426
2023-06-24,986.33,cnh,171.28040063928037,-41,-41,-60.65955123732173,-39.0494377913351,0,-41.00000000000002,-49.854494514328415,108.05056722993312,-9.227993113305432,-12.279931133054324,-0,-20,0.00108541847448062,0.03346063352097264,7.9001,0.01388888888888888,Cash,1,0.01,0.01,2,0.3,0,0.15,451.38888888888886,6745.073858299258
2023-06-24,82.793,ct,0,0,0,294.5079248072077,702.3136152885271,0,0,498.4107700478674,2039.0284524065971,4.88870834008824,-11.604227466889336,15.957176488339195,-4.823642893481062,-0.01871427634595246,0.23441797505551823,1.09589,0.01111111111111111,Future,0.01,600,1,3,0.15,0,0.075,361.1111111111111,770.2291409726314
2023-06-24,4346.95,es,42.3138350741493,-0.1,-0.1,-0.16097922332459558,0.00970306556664411,0,-0.10199999999999994,-0.07563807887897574,0.8534114444561985,-1.7726052156981091,-7.462842929423981,-15.62214303425045,16.961876485923785,-0.00834110383225805,0.10667550516893334,1.09589,0.01111111111111111,Index,1,0.01,0.01,2,0.5,0,0.25,361.1111111111111,1692.5680855190174
2023-06-24,1011.16,eur,130.22244970173512,4.2,4.2,2.1373341391423537,3.5931763058928636,0,4.199999999999998,2.8652552225176087,7.27921083375255,7.872433668858371,12.777389573905475,-0,16.486736778669556,-0.002390431514522,0.03066314447474167,1,0.00694444444444444,Cash,1,0.01,0.01,2,0.25,0,0.125,225.69444444444443,3680.223413328614
