Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-05-12,922.375,ae,0,0,0,0,0,FALSE,0.5,0,0,0,3.50151344373697,-10.808486209071642,-2.2706907130745337,10.541318111058196,0.01665507215836648,0.23902418628608035,1,0,Index,1,0.5,0.001,0.25,0,0.00113394146613085,1,5.268854147137618,6.778366551214606,-0.05171,-0.00829,0,0
2025-05-12,6634.2,ca,0,0,0,0,0,FALSE,0.3,0,0,0,7.490082733400822,16.815358157176345,-0.32277824202877237,0.313804594884296,0.00935902519873543,0.4756361489394156,0.85,0,Future,1,0.3,1e-4,3.5,0,0.00110918664084683,1,-0.3671832638148803,0.72581708653979,-0.036141,-0.023859000000000002,0,0
2025-05-12,9248.4,cc,0,0,0,0,0,FALSE,0.1,0,0,0,11.051661293006172,16.617332980520636,3.134670789138141,2.7544681643205218,-0.00761549392123761,0.558152711303074,1.13,0,Future,1,0.1,0.01,4,0,7.748905196332481e-4,1,1.5814017084811007,1.56656190788521,0.039985,-0.099985,0,0
2025-05-12,62.3095,cl,394.21,0,-19.06,-19.06,-19.06,FALSE,10.345477392877951,9.965374427294936,-9.094625572705064,68.96984928585303,-2.6372757565444,-1.3255389355755682,7.122817891424651,-5.912668913975284,0.0131580314354025,0.3750832943821953,1.13,0.0588235294117647,Future,1,8,0.01,0.025,0,0.00106969020879436,1,-3.192785923021739,-3.5645499786643,0.076866,-0.136866,2852.9411764705883,1901.5384177331237
2025-05-12,66.065,ct,446.77,0,-3527.62,-3527.62,-3527.62,FALSE,1689.4798655474565,-237.91652549744455,-3765.536525497445,11263.199103649707,-6.68644226359679,1.0745030865361456,-9.83521065734685,-3.2612945158481224,0.00420165498715707,0.2166247449319746,1.13,0.0588235294117647,Future,0.01,600,0.01,0.15,0,0.01048121803277319,1,-2.226725187706946,-1.500468544690908,-0.115222,0.055222,2852.9411764705883,3292.492251250522
2025-05-12,29773.9,dm,0,0,0,0,0,FALSE,0.01,0,0,0,7.13560352136,-6.074512422587773,-0.21078765612381112,11.29762549233865,0.00143517134931947,2.574866147196034,1,0,Index,1,0.01,1e-4,37.8,0,4.930618683109339e-4,1,1.398629434550439,11.512942556693732,-0.05171,-0.00829,0,0
2025-05-12,1.10965,e7,827.7,-3482,-9417,-9416.67839658513,-5935,TRUE,2434.4035789053955,-3481.67839658513,-9416.67839658513,16229.35719270264,-11.604499531034095,-18.451577420417237,-11.654198883875164,1.7906029738215192,-0.01179427458824911,0.08950636679482753,1.13,0.0588235294117647,Index,1,400,1,10,0,100.68390558377698,1,1.5213343513353157,0.5250690473178495,-0.032167,0.011725,2852.9411764705883,7968.542570301984
2025-05-12,5808.29,es,309.67,0,-0.234,-0.234,-0.234,FALSE,0.16168677731534709,0.10460214297911977,-0.12939785702088025,1.0779118487689805,-2.400898685150514,-20,-4.165696003644374,9.3389637902216,0.01413278925926597,0.2574599776512063,1.13,0.0588235294117647,Index,1,0.1,0.001,0.5,0,3.3435820507385583e-4,1,4.281971439784587,6.391130034754384,-0.0729,0.0129,2852.9411764705883,2770.2763770293727
2025-05-12,91.6645,g,0,0,0,0,0,FALSE,1,-0,-0,0,-1.534420881584349,7.958553841286161,-0.22247797129680516,-5.621661799662506,-0.00700105592079225,0.10439235787985408,0.85,0,Future,1,1,0.01,0.035,0,0.00365761646330794,1,-4.350604564847989,-2.0741517776234457,-0.030929,-0.029071,0,0
2025-05-12,3227.61,gc,389.73,-1.0499999999999998,0.67,0.6691611383918077,1.72,TRUE,0.3678485570036801,-1.0508388616081925,0.6691611383918077,2.4523237133578673,5.457363844315256,2.186666848007475,-8.11555418049625,9.201430916890397,-0.01843414025632483,0.2036490624351841,1.13,0.0588235294117647,Future,1,0.1,0.01,0.3,0,4.564127702992473e-4,1,6.378151936076002,4.137769111798736,-0.059194,0.036109,2852.9411764705883,3502.2763453411444
2025-05-12,301.263,gf,1410.93,0,3707.81,3707.81,3707.81,FALSE,562.296552122232,40.833680814880154,3748.64368081488,3748.64368081488,20,14.127451486986018,-7.674348510135546,20,0.0167495656660277,0.14273198546473792,1.13,0.0588235294117647,Future,0.01,300,0.01,0.2,0,0.00465117727023833,1,15.77819360971549,12.695061444394188,-0.073815,0.013815,2852.9411764705883,4997.024961120944
2025-05-12,129.807,gg,464.99,-60.82,52.49,52.48795861159367,113.31,TRUE,24.154033497886815,-60.82204138840633,52.48795861159367,161.0268899859121,6.51915448608437,18.88246569610108,7.73801031495807,-5.859775735718868,-0.00901117724253186,0.06824428742091454,1,0.0588235294117647,Future,1,1,0.01,0.028,0,0.00316077524261006,1,-4.726904455880366,-1.9699820992269117,-0.008877,-0.051123,2852.9411764705883,10451.208754200648
2025-05-12,119.221,gx,0,0,0,0,0,FALSE,1,-0,-0,0,-4.293404983439199,15.327578840801976,1.3442205266592255,-13.242648236232542,-0.01654566487143061,0.15715427328357867,1,0,Future,1,1,0.01,0.04,0,0.00213491720106174,1,-8.894425960792713,-6.240029166330193,-0.02155,-0.03845,0,0
2025-05-12,94.755,he,501.78,0,2710.19,2710.19,2710.19,FALSE,1155.6879335136148,727.9422810757733,3438.1322810757733,7704.586223424099,8.924897927997453,11.891210339267174,-20,14.254278176649215,0.02190456570666832,0.22079529228859596,1.13,0.0588235294117647,Future,0.01,800,0.01,0.1,0,0.00477978161840013,1,8.389934774588847,7.900668855867401,-0.457903,0.397903,2852.9411764705883,3230.301184073233
2025-05-12,454.46,hg,275.9,0,211.9,211.9,211.9,FALSE,200,-66.39399934189399,145.50600065810602,1095.5706031118796,2.656259674087786,15.1812638370795,-4.52583888750857,-2.2919871329708528,-0.02155021252618283,0.3237466106104789,1.13,0.0588235294117647,Future,0.01,200,0.1,0.2,0,0.00135934314408553,1,-0.9731083002160152,-1.646305566036388,-0.088609,0.028609,2852.9411764705883,2203.0664437620567
2025-05-12,23443.9,hs,1202.3,0,1.228,1.228,1.228,FALSE,0.218543486135066,0.08360251821023601,1.311602518210236,1.4569565742337731,18.004689246143386,20,-2.497749104691477,11.82566226222389,0.02635967986724274,0.3658393864634654,8.76,0.0588235294117647,Index,1,0.1,1e-4,5,0,5.829746684078084e-4,1,6.357359872814676,7.157682712584056,-0.066551,0.006551,2852.9411764705883,1949.5858579154772
2025-05-12,377.48,kc,752.89,0,609.2,609.2,609.2,FALSE,500,206.1227556483775,815.3227556483776,1154.2332794962724,14.127521188857052,18.35781796731905,4.155121352640873,4.8892688415709555,-0.03914633049113192,0.36995911058602055,1.13,0.0588235294117647,Future,0.01,500,0.01,0.3,0,0.00214819440760185,1,2.950139503208145,2.6375963157300903,0.031489,-0.091489,2852.9411764705883,1927.8760103728007
2025-05-12,554.85,lb,485.39,0,-3.84,-3.84,-3.84,FALSE,2,0.5995318714178981,-3.2404681285821018,11.285119739425314,-5.742904290614325,20,-20,-6.563319189273512,0.01103661948860867,0.2574302053970002,1.13,0.0588235294117647,Future,1,2,0.01,1,1,0.00700107784217609,1,-4.321878410998247,-3.179057805314338,-0.262601,0.202601,2852.9411764705883,2770.5967643451927
2025-05-12,217.926,le,0,0,0,0,0,FALSE,500,0,0,0,20,14.565955218981625,8.264905562037644,20,0.00825696991738311,0.1403464312197203,1.13,0,Future,0.01,500,0.01,0.09,0,0.00294260581058946,1,15.724346468562889,12.415356319363124,0.016398,-0.076398,0,0
2025-05-12,619.48,lf,0,0,0,0,0,FALSE,1,0,0,0,0.4757226063535609,5.273686368644546,10.468984481433203,-7.3276524463490915,0.01085811669259939,0.27190316358271144,1.13,0,Future,1,1,0.01,0.5,0,0.00296844122297761,1,-4.191905736331204,-4.182554202353471,0.083862,-0.143862,0,0
2025-05-12,2.1378,lo,0,0,0,0,0,FALSE,250,0,0,0,2.7032431961425583,-3.3944142613174835,20,-5.213372073749763,0.01422740350471452,0.28074441868712496,1.13,0,Future,1,250,0.1,0.0028,0,0.00466530270112373,1,-2.5019666998785732,-3.4561728129783,0.232755,-0.292755,0,0
2025-05-12,3.5695,ng,384.58,0,-234.6,-234.6,-234.6,FALSE,150,-50.05207590583612,-284.6520759058361,870.1611481185989,-6.542514027919789,-4.34570879307971,-20,4.695695507488668,-0.03130210750255013,0.5189603647937193,1.13,0.0588235294117647,Future,1,150,0.1,0.003,0,0.00161949524875644,1,2.9119494198330043,2.4545597315826155,-0.51652,0.45652,2852.9411764705883,1374.35407885369
2025-05-07,36707.95,ny,0,0,0,0,0,FALSE,1,0,0,0,5.228279487026974,3.401259915951609,-0.44143161011742926,4.4952624036851665,-0.00666593020944716,0.27014377146275775,163.56,0,Index,1,1,0.01,7,0,7.058996227576749e-4,1,1.7167100646212428,3.420732682447519,-0.03477,-0.02523,0,0
2025-05-12,237.715,oj,1244.22,0,-996.36,-996.36,-996.36,FALSE,300,-30.13957647855125,-1026.4995764785513,1142.3086137290563,-17.972368660121585,-13.459460404640192,12.379760610076564,-20,-0.01395264609201429,0.5936100245766022,1.13,0.0588235294117647,Future,0.01,300,0.01,0.6,0,0.00425200177357408,1,-17.31007412357256,-8.380439746207056,0.26395,-0.32395,2852.9411764705883,1201.5216465159408
2025-05-12,938.51,pa,0,0,0,0,0,FALSE,0.6,-0,-0,0,-2.504783074701203,0.3929079700581854,-4.130171127055842,-0.993977649731118,-0.0424934612751322,0.30656114748024116,1.13,0,Future,1,0.6,0.01,1.49,0,0.00517881325560948,1,-0.15553570750622236,-0.980438749329341,-0.080646,0.020646,0,0
2025-05-12,971.94,pl,0,0,0,0,0,FALSE,0.7,0,0,0,4.22691549968572,6.56402080277365,-2.1845302973933753,2.6410153183792566,-0.02723044775117333,0.24238620111234427,1.13,0,Future,1,0.7,0.01,1,0,0.00424475523004277,1,1.420612714817168,1.597690506187697,-0.05118,-0.00882,0,0
2025-05-12,2.12555,rb,0,0,0,0,0,FALSE,250,0,0,0,7.144376925108771,14.14972809865766,-5.92194961664425,4.051112959117606,0.00466849852908057,0.2779827770525411,1.13,0,Future,1,250,0.1,0.0025,0,0.00423107568471415,1,3.4027324225310873,1.2271109593176048,-0.095848,0.035848,0,0
2025-05-12,5098.7,rm,0,0,0,0,0,FALSE,0.3,0,0,0,9.492323456693908,20,3.425119917144799,-0.8641902937793633,-0.03331037664580982,0.3430025892288587,1.13,0,Future,1,0.3,1e-4,3,0,0.00171539601494167,1,-2.1541459702368706,1.1664999202033126,0.016993,-0.076993,0,0
2025-05-12,18.241,sb,0,0,0,0,0,FALSE,5000,-0,-0,0,-4.670379934107231,-6.925716599250862,15.825366300610163,-9.787401918230772,0.00219527007650688,0.23424892224182323,1.13,0,Future,0.01,5000,1,0.04,0,0.00936124790860902,1,-5.718222954105308,-5.467379238158432,0.118283,-0.178283,0,0
2025-05-12,32.4725,si,0,0,0,0,0,FALSE,30,0,0,0,8.477580679079539,17.156073022355262,-5.563567368296645,3.89241080620445,-0.00592589777967589,0.26045788683307564,1.13,0,Future,1,30,0.01,0.025,0,0.00295587980607237,1,1.4401846825349949,3.00828481027009,-0.054887,0.027963,0,0
2025-05-12,505.66,sw,652.02,0,-6.848,-6.848,-6.848,FALSE,2.247270925735237,0.6562398180172906,-6.191760181982709,14.981806171568245,-8.265705898309026,-9.114410715190685,8.637217354037013,-9.20792434606205,-0.00260704840345393,0.21277396696993256,1.13,0.0588235294117647,Future,1,2,0.001,0.7,0,0.00650610321838015,1,-5.730898586237057,-4.792443523548145,0.043511,-0.103511,2852.9411764705883,3352.0796941217695
2025-05-12,444.19,zc,0,0,0,0,0,FALSE,150,-0,-0,0,-9.163887093325918,11.4569634798579,-15.400485696485312,-8.501252712630203,0.00870524304008313,0.18494221910481787,1.13,0,Future,0.01,150,0.1,0.9,0,0.01095563785486022,1,-5.831096250493255,-3.8846211353698337,-0.143928,0.083928,0,0
2025-05-12,107.544,zf,0,0,0,0,0,FALSE,0.01,-0,-0,0,-0.5217046172668729,13.382695789335312,-3.787902065584767,-5.39363071018027,-0.00224771375921939,0.04169194378989836,1.13,0,Future,1,0.01,0.01,0.02,0,0.00446058342711312,1,-2.9160937284382373,-3.248055654624929,-0.036318,-0.023683,0,0
2025-05-12,49.161,zl,0,0,0,0,0,FALSE,2000,-0,-0,0,-0.05226526289440725,-15.69320082545276,-5.503533254888678,10.53863531114854,0.02175608100304238,0.2781985551990581,1.13,0,Future,0.01,2000,1,0.09,0,0.00658062178447643,1,5.898223472527258,6.145931168785357,-0.091243,0.031243,0,0
2025-05-12,290.99,zm,0,0,0,0,0,FALSE,2,-0,-0,0,-20,-20,-20,-7.693216419136079,0.01603914179187526,0.16075554256899144,1.13,0,Future,1,2,0.001,0.7,0,0.0149642177766063,1,-4.108936505456614,-4.683310830698906,-0.174819,0.114819,0,0
2025-05-12,354.43,zo,0,0,0,0,0,FALSE,200,-0,-0,0,-3.4278264739812543,-8.232510225742462,2.045333570137732,-0.8239276424619253,0.02525776393508927,0.2835601040670079,1.13,0,Future,0.01,200,0.01,0.9,0,0.00895502716542887,1,0.24978711408483625,-1.1914187054698937,-0.006801,-0.053199,0,0
2025-05-12,12.566,zr,0,0,0,0,0,FALSE,50,-0,-0,0,-20,-14.083861352819609,-3.745079427724466,-20,-0.00230515582381807,0.20986203768648728,1.13,0,Future,1,50,0.01,0.04,0,0.01516802551529551,1,-13.102913689162037,-12.020801652433564,-0.061438,0.001438,0,0
2025-05-12,1059.34,zs,173.73,322.7,112.7,112.65129272761146,-210,TRUE,138.80038760328992,322.65129272761146,112.65129272761143,925.335917355266,2.434819412383428,2.097065900504223,-10.329779180695624,6.899007397105333,0.01904093358175007,0.16443962356663,1.13,0.0588235294117647,Future,0.01,50,0.1,1.5,0,0.00861091721286717,1,4.104064918110659,3.780514964295436,-0.097945,0.037945,2852.9411764705883,4337.368808367822
2025-05-12,103.233,zt,0,0,0,0,0,FALSE,0.01,0,0,0,0.21899000388007583,19.151620131697367,-11.412868068101192,-3.61910174164943,-0.00105530688724009,0.01936848815573639,1.13,0,Future,1,0.01,0.01,0.02,0,0.01000266502113886,1,-1.6883576078607188,-2.4477586683100583,-0.038842,-0.021158,0,0
2025-05-12,508.4,zw,1379.32,0,-1429,-1429,-1429,FALSE,221.67791401049843,-48.85276006998947,-1477.8527600699897,1477.8527600699897,-20,-18.443409136065092,-16.15540080791625,-16.02383642663523,1.7704163475329435e-4,0.2145381622659378,1.13,0.0588235294117647,Future,0.01,80,0.1,0.8,0,0.00733465834757845,1,-8.271759856619882,-10.041196059534666,-0.168638,0.108638,2852.9411764705883,3324.514793007003
