Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-09-17,898.03,ae,0,0,0,0,0,FALSE,0.5,0,0,0,7.4198473069694995,13.925321572590056,-6.723297334105377,4.878813374437087,-9.460685993172292e-4,0.1362426729743741,1,0,Index,1,0.5,0.001,0.25,0,0.00204331822188756,1,1.7795545746066237,3.796232139035762,-0.06664,0.00664,0,0
2024-09-17,60855,bt,406.64,0.011,-0.016,-0.01588201317439571,-0.027,TRUE,0.00559591442197157,0.01111798682560428,-0.01588201317439571,0.03730609614647717,-8.514433197211101,-14.462046475524671,-6.995098191236765,0.997791536568032,0.05086527604107793,0.4646110620822302,1.1125,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0026526225104707,1,0.9473378390172325,0.19299534563194687,-0.35,0.1,2106.9444444444443,1020.3426880871318
2024-09-17,6121.1,ca,0,0,0,0,0,FALSE,0.3,0,0,0,11.819896467088451,19.087227161794548,20,-6.0351604756533295,-0.02186312088266184,0.46711925769630297,0.8427,0,Future,1,0.3,1e-4,3.5,0,0.00122408280589307,1,-2.9427916914707675,-3.954534566418752,0.593613,-0.653613,0,0
2024-09-17,8664.6,cc,1151.36,0,0.28,0.28,0.28,FALSE,0.1,0.0888403848504008,0.3688403848504008,0.3842913680174645,19.195871442714196,16.20581418793965,20,3.835231697703541,-0.01828618461204634,0.5279651051468585,1.1125,0.05555555555555555,Future,1,0.1,0.01,4,0,8.743921567179834e-4,1,2.80130920493705,1.5818127352955678,0.490305,-0.550305,2106.9444444444443,1496.508308909718
2024-09-17,71.4825,cl,0,0,0,0,0,FALSE,8,-0,-0,0,-2.445850427490892,-1.9381243739120624,14.231098462184413,-8.941744675554338,0.01538725041519395,0.2866363415894649,1.1125,0,Future,1,8,0.01,0.025,0,0.00122013819817427,1,-5.426368426618106,-4.792768345443995,0.133166,-0.193166,0,0
2024-09-17,71.618,ct,146.41,1479.4899999999998,-926.32,-926.3191396828188,-2405.81,TRUE,899.8116912472818,1479.4908603171812,-926.3191396828188,5998.744608315212,-3.088376652670939,-1.31622193439327,-1.9630956268322672,-1.8899145367254473,-0.01197801952923782,0.24551784101202184,1.1125,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.00853072641002363,1,0.07222075150682176,-2.2321230791930473,-0.049279,-0.010721,2106.9444444444443,1930.8678263295228
2024-09-17,25800.6,dm,0,0,0,0,0,FALSE,0.01,0,0,0,5.714871067517974,11.57735654889655,-6.53427622984165,4.009741060493091,0.0148850854502136,0.14018385017405333,1,0,Index,1,0.01,1e-4,37.8,0,0.01045114829968979,1,2.6019329178723942,1.9806282941197095,-0.06664,0.00664,0,0
2024-09-17,5632.76,es,588.94,0,0.906,0.906,0.906,FALSE,0.36463938811552465,0.3166832188275718,1.2226832188275718,2.4309292541034977,10.059389566879725,-0.9614983067740356,-10.37878265991457,17.166585702635416,5.220828738661254e-4,0.1283869258719951,1.1125,0.05555555555555555,Index,1,0.1,0.001,0.5,0,6.913977421253829e-4,1,9.04027707722802,10.578678011498171,-0.0833,0.0233,2106.9444444444443,6154.085872064728
2024-09-17,101.5145,g,0,0,0,0,0,FALSE,1,0,0,0,19.818301274571557,5.203591566669297,5.348475210022098,17.373453782593224,-0.00201737966606074,0.07289460728348206,0.8427,0,Future,1,1,0.01,0.035,0,0.0047298194613852,1,10.431559265870844,9.42381648566427,-0.014405,-0.045596,0,0
2024-09-17,2565.59,gc,1027.86,0,3.62,3.62,3.62,FALSE,0.8347966488012187,0.2287423542118021,3.848742354211802,5.565310992008124,13.831185210453317,6.6288500892303475,-15.014712465337052,20,-0.00705529551823325,0.12312257089623203,1.1125,0.05555555555555555,Future,1,0.1,0.01,0.3,0,9.497216212947436e-4,1,14.148590686892042,11.80617117646822,-0.066312,0.043946,2106.9444444444443,6417.2162822409555
