Date,Close,Symbol,ForecastSkew,ForecastCarry,ForecastTrend,Forecast,PositionDynamic,PositionRaw,Position,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-05,7179,ap,0,0,0,0,0,0,0.19,-0.006013364137853,0.104322491761171,1.61974,0.00952380952381,Future,1,0.05,0.01,2,1,0,0.5,1472.08359366075,908.839439453709
2023-06-05,1003.39,aud,0,0,0,0,0,0,0,0.00134634487758,0.066976875496463,1.61974,0.008928571428571,Cash,1,0.01,0.01,2,0.3,0,0.15,2149.59586004155,1327.12401993008
2023-06-07,27238.783203,bt,0,0,0,0,0,0,0,0.055815118567452,0.423971395571263,1.07118,0.028571428571429,Cash,1,0.005,0.001,3,75,0,37.5,1086.66360638202,1014.45471945146
2023-06-05,2366.45,ca,0,0,0,0,0,0,2.2,0.010962273318209,0.132437951100315,0.86149,0.008928571428571,Cash,1,0.3,0.1,1,3.5,0,1.75,1087.09937815832,1261.88275912468
2023-06-05,1022.19,cad,0,0,0,0,0,0,1.63,-0.001378440820672,0.050527533853232,1.44038,0.008928571428571,Cash,1,0.01,0.01,2,0.3,0,0.15,2849.40117409876,1978.22878275092
2023-06-05,3047.4,cc,0,0,0,0,0,0,0,0.008469181135656,0.139714677443511,1.07118,0.008928571428571,Cash,1,0.2,0.1,1,4,0,2,1030.48023958632,962.004742047383
2023-06-05,1149.79,chf,0,0,0,0,0,0,-0.76,0.002952719472684,0.040417687452387,0.97037,0.008928571428571,Cash,1,0.01,0.01,2,0.3,0,0.15,3562.13389138896,3670.90273956219
2023-06-05,71.935,cl,0,0,0,0,0,0,0,5.00577064557e-4,0.342284559219406,1.07118,0.017857142857143,Cash,1,8,1,3,0.025,0,0.0125,841.248665227852,785.347621527523
2023-06-05,1002.46,cnh,0,0,0,0,0,0,-9.7,-0.002102610102842,0.034882907968713,7.6464,0.017857142857143,Cash,1,0.01,0.01,2,0.3,0,0.15,8254.65665963657,1079.54810886647
2023-06-05,86.175,ct,0,0,0,0,0,0,0,-0.007479933369972,0.289711557020681,1.07118,0.008928571428571,Cash,0.01,600,1,3,0.15,0,0.075,496.953645088576,463.931034082578
2023-06-05,4273.43,es,0,0,0,0,0,0,0,-0.00196604027902,0.119204314424559,1.07118,0.014285714285714,Future,1,0.01,0.01,2,0.5,0,0.25,1932.4564213062,1804.04453155044
2023-06-05,999.165,eur,0,0,0,0,0,0,0.77,5.90667471396e-4,0.030355968732009,1,0.008928571428571,Cash,1,0.01,0.01,2,0.25,0,0.125,4742.8304975786,4742.8304975786
2023-06-05,96.65,g,0,0,0,0,0,0,27.6,-0.006476653141648,0.117519010343511,0.86149,0.035714285714286,Future,1,0.01,0.01,3,0.2,0,0.1,4900.42296526754,5688.31090931704
2023-06-05,991.065,gbp,0,0,0,0,0,0,4.8,-0.001356205857048,0.040713412179906,0.86149,0.008928571428571,Cash,1,0.01,0.01,2,0.3,0,0.15,3536.26008180105,4104.81849098777
2023-06-05,1961.7,gc,0,0,0,0,0,0,-1.5,0.00696717211431,0.123492017747548,1.07118,0.028571428571429,Cash,1,0.1,0.1,2,0.3,0,0.15,3730.72117629588,3482.81444416054
2023-06-05,227.246,gf,0,0,0,0,0,0,0,0.006272768106593,0.10904512643695,1.07118,0.035714285714286,Cash,0.01,300,1,3,0.2,0,0.1,5281.23425557985,4930.29580050024
2023-06-05,134.85,gg,0,0,0,0,0,0,0,-0.005022589974767,0.08240484421507,1.07118,0.035714285714286,Future,1,1,1,3,0.2,0,0.1,6988.58013298131,6524.18840249194
2023-06-05,78.995,he,0,0,0,0,0,0,-2947,0.001228680336722,0.347625244426587,1.07118,0.071428571428572,Cash,0.01,800,1,3,0.1,0,0.05,3313.29710011596,3093.12823252484
2023-06-05,375.73,hg,0,0,0,0,0,0,0,0.00833850409693,0.189640572474643,1.07118,0.028571428571429,Cash,0.01,200,1,2,0.2,0,0.1,2429.40779867076,2267.97344859945
2023-06-05,19157.1,hs,0,0,0,0,0,0,0,-7.87909029446e-4,0.230356142373873,8.39521,0.00952380952381,Future,1,0.1,0.1,1,5,0,2.5,666.669562134699,79.410707073998
2023-06-05,16651.1,jpy,0,0,0,0,0,0,0,0.003180819612849,0.075072621481672,149.294006,0.008928571428571,Cash,1,0.01,0.01,2,5,0,2.5,1917.78589110364,12.8456991843573
2023-06-05,182.63,kc,0,0,0,0,0,0,0,0.010347387165076,0.251874420191979,1.07118,0.008928571428571,Cash,0.01,500,1,2,0.3,0,0.15,571.607129362233,533.623788123596
2023-06-05,176.108,le,0,0,0,0,0,0,3300,8.18014542649e-4,0.104700016777178,1.07118,0.035714285714286,Cash,0.01,500,1,3,0.9,0,0.45,5500.40845139948,5134.90585279737
2023-06-05,701.905,lf,0,0,0,0,0,0,0,0.004197397783442,0.312273778616701,1.07118,0.017857142857143,Cash,1,1,1,2,0.05,0,0.025,922.096084554276,860.822723122422
2023-06-05,2.3867,lo,0,0,0,0,0,0,0,0.003525711941846,0.30803521903634,1.07118,0.017857142857143,Cash,1,250,1,4,0.0028,0,0.0014,934.784111609843,872.66762972595
2023-06-05,71388.55,lx,0,0,0,0,0,0,0,-0.011797583365699,0.161892518872331,20.60944,0.028571428571429,Future,1,0.1,0.1,1,10,0,5,2845.80343133462,138.082520987209
2023-06-05,7190.32,mx,0,0,0,0,0,0,-0.1,-0.011774113261181,0.138375394486043,1,0.014285714285714,Future,1,0.05,0.01,2,1,0,0.5,1664.72618714288,1664.72618714288
2023-06-05,2.1755,ng,0,0,0,0,0,0,-1010,0.045612043468043,0.562626190287768,1.07118,0.071428571428572,Cash,1,150,1,3,0.003,0,0.0015,2047.15979129341,1911.12585307176
2023-06-05,836.8,nok,0,0,0,0,0,0,0,5.97532192223582e-5,0.076949167276392,11.82035,0.017857142857143,Cash,1,0.01,0.01,2,0.6,0,0.3,3742.03436844431,316.575597883676
2023-06-05,32126.48,ny,0,0,0,0,0,0,0,0.005201436243864,0.152741028969971,149.294006,0.00952380952381,Future,1,1,1,2,7,0,3.5,1005.43665056506,6.73460829073782
2023-06-05,948.9,nzd,0,0,0,0,0,0,0.81,0.001582028490061,0.074212491373329,1.76444,0.008928571428571,Cash,1,0.01,0.01,2,0.5,0,0.25,1940.01321908803,1099.50648312667
2023-06-05,276.48,oj,0,0,0,0,0,0,950,-0.026342673255421,0.320671373888988,1.07118,0.008928571428571,Cash,1,300,1,2,0.6,0,0.3,448.974327017902,419.139945684107
2023-06-05,1109.38,ow,0,0,0,0,0,0,0,0.006357036052888,0.128702633387938,11.82035,0.014285714285714,Future,1,1,1,2,0.9,0,0.45,1789.84016716112,151.420234355254
2023-06-05,1401.24,pa,0,0,0,0,0,0,-0.75,-0.006721387500329,0.302712407869808,1.07118,0.028571428571429,Cash,1,0.6,0.1,2,1.49,0,0.745,1521.9537545763,1420.81980113174
2023-06-05,1034.05,pl,0,0,0,0,0,0,0,0.027302271741466,0.245809239818323,1.07118,0.028571428571429,Cash,1,0.6,0.1,2,1,0,0.5,1874.27570279619,1749.72992661942
2023-06-05,2.5666,rb,0,0,0,0,0,0,290,0.006959405654577,0.298699261044386,1.07118,0.017857142857143,Cash,1,250,1,4,0.0025,0,0.00125,964.00114136419,899.943185425596
2023-06-05,2645.7,rm,0,0,0,0,0,0,0.5,0.010716016817552,0.20922354164131,1.07118,0.008928571428571,Cash,1,0.3,0.1,1,3,0,1.5,688.131044701176,642.404679606766
2023-06-05,24.707,sb,0,0,0,0,0,0,0,-0.013867060369942,0.21730940785171,1.07118,0.008928571428571,Cash,0.01,5000,1,3,0.04,0,0.02,662.526375222376,618.501442542221
2023-06-05,928.535,sek,0,0,0,0,0,0,0,-0.005006106935011,0.05312395115995,11.62207,0.017857142857143,Cash,1,0.01,0.01,2,0.6,0,0.3,5420.27507902147,466.377769108383
