Date,Close,Symbol,ForecastSkew,ForecastCarry,ForecastTrend,Forecast,PositionDynamic,PositionRaw,Position,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-05,1059.97,sgd,0,0,0,0,0,0,8.2,3.77440392489e-4,0.015524867315023,1.44522,0.017857142857143,Cash,1,0.01,0.01,2,0.3,0,0.15,18547.4324983626,12833.6395139581
2023-06-05,23.5735,si,0,0,0,0,0,0,0,-0.001885933407058,0.207320958039673,1.07118,0.028571428571429,Cash,1,30,1,3,0.025,0,0.0125,2222.22726573608,2074.56007929207
2023-06-05,685.85,sw,0,0,0,0,0,0,2.2,-0.013641314406615,0.192765708857276,1.07118,0.008928571428571,Cash,1,2,1,2,0.7,0,0.35,746.881876134477,697.251513409956
2023-06-05,1197.62,tp,0,0,0,0,0,0,-3,-0.003376001939423,0.108943312546078,1.44038,0.014285714285714,Future,1,0.5,0.1,2,0.8,0,0.4,2114.46795102465,1467.99313446774
2023-06-05,1060.085,usd,0,0,0,0,0,0,0,2.21704911672e-4,0.044090627350218,1.07118,0.008928571428571,Cash,1,0.01,0.01,2,0.25,0,0.125,3265.39273624109,3048.40711760964
2023-06-05,609.36,zc,0,0,0,0,0,0,0,-0.019758864577633,0.210505689190779,1.07118,0.010204081632653,Cash,0.01,150,1,2,0.9,0,0.45,781.64546031537,729.705054533664
2023-06-05,49.072,zl,0,0,0,0,0,0,0,-0.006924940096753,0.312226709117369,1.07118,0.010204081632653,Cash,0.01,2000,1,3,0.09,0,0.045,526.991482540586,491.97285474018
2023-06-05,404.94,zm,0,0,0,0,0,0,0,0.008207641200627,0.185676383525336,1.07118,0.010204081632653,Cash,1,1,1,2,0.7,0,0.35,886.169868254022,827.283806880283
2023-06-05,113.107,zn,0,0,0,0,0,0,0,0.001300499592761,0.065869763745808,1.07118,0.035714285714286,Future,1,0.01,0.01,3,0.3,0,0.15,8742.9015134354,8161.9349814554
2023-06-05,345.58,zo,0,0,0,0,0,0,0,0.01739681936682,0.257894628048428,1.07118,0.010204081632653,Cash,0.01,200,1,2,0.9,0,0.45,638.015679394582,595.619484488678
2023-06-05,18.039,zr,0,0,0,0,0,0,0,0.015925238079414,0.191703993748274,1.07118,0.010204081632653,Cash,1,50,1,3,0.04,0,0.02,858.306669096256,801.272119621591
2023-06-05,1362.57,zs,0,0,0,0,0,0,0,-0.002975233031607,0.185430677188959,1.07118,0.010204081632653,Cash,0.01,50,1,2,0.15,0,0.075,887.344094412486,828.380005612955
2023-06-05,102.1185,zt,0,0,0,0,0,0,-520,7.15111411521e-4,0.027157496898343,1.07118,0.035714285714286,Future,1,0.01,0.01,3,0.15,0,0.075,21205.6677866362,19796.5494003213
2023-06-05,617.82,zw,0,0,0,0,0,0,0,0.007440776454461,0.291844646995997,1.07118,0.010204081632653,Cash,0.01,80,1,2,0.8,0,0.4,563.795903129199,526.33161852275
