Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure,X
2023-12-21,3620.35,ca,0,0,0,0,0,FALSE,0.3,0,0,0,16.7856848184266,5.3402210168586,7.22119951137629,7.22119951137629,16.100202827118,0.003791342579392,0.173904002793666,0.86785,0,Future,1,0.3,1e-4,3.5,0,0.005559143793033,15.8042562966023,13.0506902566608,5.89830291230629,19.3650793650794,0,0
2023-12-21,4297.2,cc,716.76,0,0.97,0.97,0.97,FALSE,0.218062221007116,0.178771575130353,1.14877157513035,1.74449776805693,13.1702269405582,2.02983808748008,-3.2536158116884,3.2536158116884,18.1721914495151,0.002026626361912,0.188942098754121,1.09878,0.0625,Future,1,0.2,0.01,4,0,0.004926581697746,17.5455779241652,13.2974989336181,10.8748402460956,19.3650793650794,1953.125,3411.26331426411
2023-12-21,73.303,cl,157.88,0,-8.06,-8.06,-8.06,FALSE,8.22614195900166,-0.471872757666885,-8.53187275766689,65.8091356720133,-2.59291439419261,6.51104983509848,-2.2456267826845,2.2456267826845,-5.58993071846381,-0.002370896327928,0.293614016845575,1.09878,0.0625,Future,1,8,0.01,0.025,0,0.00116155953766,-6.21566192249293,-5.53388224703173,0.817003939394219,-7.85714285714286,1953.125,2195.16512503212
2023-12-21,78.209,ct,681.93,0,-4666.27,-4666.27,-4666.27,FALSE,1102.58626389439,-479.753433127909,-5146.02343312791,8820.69011115514,-11.6680744211158,-4.86794952306312,-6.96366015347458,6.96366015347458,-9.64162772321885,-0.003777586584444,0.205317242439898,1.09878,0.0625,Future,0.01,600,0.01,0.15,0,0.009341338362282,-8.30533673269806,-7.6145464800862,-4.02863200998686,-12.4603174603175,1953.125,3139.19689520801
2023-12-21,4732.13,es,0,0,0,0,0,FALSE,0.01,0,0,0,7.81805895875204,0.039154693493798,-14.2168113584863,14.2168113584863,17.5129069441656,0.005137717723219,0.106648387023505,1.09878,0,Index,1,0.01,0.01,0.5,0,9.90738513591e-4,16.1265092781369,11.8384845093806,14.7908091994071,16.1111111111111,0,0
2023-12-21,102.6875,g,0,0,0,0,0,FALSE,0.01,0,0,0,7.78664773762838,-3.37860962932044,-0.371916837892322,0.371916837892322,12.2574602171109,-0.002761855114783,0.134179189850093,0.86785,0,Future,1,0.01,0.01,0.02,0,0.001451534122153,11.0260387498012,6.52666049470338,19.1250381799578,4.52380952380953,0,0
2023-12-21,2042.22,gc,127.61,0,-0.44,-0.44,-0.44,FALSE,0.555604760660908,0.393280839719162,-0.046719160280838,4.44483808528726,-0.210217602461074,-3.83498448846804,-13.9197223152129,13.9197223152129,8.59706326522571,0.004879135952518,0.156036517885578,1.09878,0.0625,Future,1,0.1,0.01,0.3,0,9.41439637874e-4,5.72447912235198,3.6494538643834,3.88883802616149,15.6349206349206,1953.125,4130.64363864256
2023-12-21,221.078,gf,0,0,0,0,0,FALSE,300,0,0,0,-1.85588155170838,10.2959160392334,-15.4837445454563,15.4837445454563,0.119405517500291,-0.002656164039287,0.206343109744571,1.09878,0,Future,0.01,300,0.01,0.2,0,0.004384241788334,-1.43866324020539,-0.741408847806887,5.51794310855481,-2.93650793650794,0,0
2023-12-21,137.632,gg,244.98,0,21.98,21.98,21.98,FALSE,14.4571540569502,4.17995648552009,26.1599564855201,115.657232455602,4.52370438581302,-7.77234646834504,-3.16847549315225,3.16847549315225,11.5020168284993,-0.001277955445492,0.080980743122216,1,0.0625,Future,1,1,0.01,0.028,0,0.00251221527952,11.3438468378277,6.58747636977539,18.5086960105086,2.22222222222222,1953.125,7959.06810866469
2023-12-21,71.318,he,387.27,0,-1875.35,-1875.35,-1875.35,FALSE,800,55.5497197691682,-1819.80028023083,6242.32353950071,-5.83052214040283,-2.62247856215324,2.20435678177096,2.20435678177096,-7.56496863034597,0.011082242431271,0.318155393809055,1.09878,0.0625,Future,0.01,800,0.01,0.1,0,0.004407187768341,-7.76401478496257,-6.25351913982555,0.970020321384311,-12.3809523809524,1953.125,2025.8378846999
