Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-08-21,906.405,ae,0,0,0,0,0,FALSE,0.5,0,0,0,9.274266842210135,9.103686447044453,-5.77155081266479,8.933094288193184,0.00575901746882401,0.15870950975428952,1,0,Index,1,0.5,0.001,0.25,0,0.00173785991485075,1,3.860220969416905,5.072873318776279,-0.06664,0.00664,0,0
2024-08-21,59538.273438,bt,683.75,0,-0.029,-0.029,-0.029,FALSE,0.00622956650819096,0.0037968339458039,-0.02520316605419609,0.04983653206552771,-10.114333806797648,-10.78456446789829,-7.366505478690822,-2.483703663045611,0.00721461606976348,0.44118612405859375,1.114082,0.0588235294117647,Index,1,0.005,0.001,75,0,0.00285524370226331,1,-1.6564848812363782,-0.8272187818092329,-0.35,0.1,2611.176470588235,1331.67086144424
2024-08-21,6593.4,ca,0,0,0,0,0,FALSE,0.3,0,0,0,13.340206756913473,20,20,-4.754049420670316,-0.01515739272987737,0.5328034901017686,0.8521,0,Future,1,0.3,1e-4,3.5,0,9.963032788426465e-4,1,-0.436263676927472,-4.317785743742844,0.593613,-0.653613,0,0
2024-08-21,9041.1,cc,1645.38,0,0.36,0.36,0.36,FALSE,0.1,0.06848332305289301,0.428483323052893,0.428483323052893,20,17.11868462815763,20,8.742921868156982,0.0051786869640189,0.5631958529131036,1.114082,0.0588235294117647,Future,1,0.1,0.01,4,0,7.855598350626843e-4,1,5.482957545592407,3.2599643225645747,0.490305,-0.550305,2611.176470588235,1738.6334991739884
2024-08-21,74.646,cl,0,0,0,0,0,FALSE,8,-0,-0,0,-3.5661949562579554,-3.3853429942526683,20,-12.382979881454188,0.00260231672432276,0.2601541248177215,1.114082,0,Future,1,8,0.01,0.025,0,0.00128736812553802,1,-6.6923295216387775,-5.690650359815409,0.185683,-0.245683,0,0
2024-08-21,69.443,ct,631.02,1502.84,-5122.57,-5122.570298605489,-6625.41,TRUE,1192.347034292191,1502.8397013945105,-5122.570298605489,9538.776274337528,-10.740518807191028,2.6685456040755287,-2.4388200366881203,-12.389741420483452,0.00753084179253704,0.19762630811189927,1.114082,0.0588235294117647,Future,0.01,600,0.01,0.15,0,0.01092994626864895,1,-6.970105819486361,-5.419635600997091,-0.049279,-0.010721,2611.176470588235,2972.8567592817267
2024-08-21,24851.05,dm,0,0,0,0,0,FALSE,0.01,-0,-0,0,-5.107973997090043,8.593232610397799,-6.2944315609876575,-6.987085092807977,0.00360190058401777,0.1455254523184093,1,0,Index,1,0.01,1e-4,37.8,0,0.01045220932891677,1,-3.9478842206943376,-3.0392008721136388,-0.06664,0.00664,0,0
2024-08-21,5604.35,es,1070.97,0,1.489,1.489,1.489,FALSE,0.3403489594453195,0.23936728146415165,1.7283672814641518,2.722791675562556,12.695552854641765,-1.167362403409079,-9.35446189251832,19.770115410411428,0.00133378229130443,0.14297989722634177,1.114082,0.0588235294117647,Index,1,0.1,0.001,0.5,0,6.239787129652588e-4,1,10.725869000593809,9.04424640981762,-0.0835,0.0235,2611.176470588235,6848.4534921751765
2024-08-21,99.8855,g,0,0,0,0,0,FALSE,1,0,0,0,8.84112163023562,2.1622930212786375,-1.6238144955019242,9.83489974309521,-2.3023714527603545e-4,0.07639419425286989,0.8521,0,Future,1,1,0.01,0.035,0,0.00458675181814071,1,4.9176593834028495,4.917240359692362,-0.034962,-0.025038,0,0
2024-08-21,2501.365,gc,1596.78,0,4.96,4.96,4.96,FALSE,0.7604051399199586,0.5323427853900942,5.492342785390094,6.083241119359669,18.057291097375497,14.317048888149229,-13.043240665576675,20,-0.00464067569106507,0.14338461184234488,1.114082,0.0588235294117647,Future,1,0.1,0.01,0.3,0,8.364531884793135e-4,1,11.99378480769164,11.32342627594013,-0.067141,0.044808,2611.176470588235,6829.123180576967
