Date,Close,Symbol,PositionRisk,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-09-01,993.45,aud,14.24,-0.33,-0.33,-0.33,FALSE,1.0991235788231923,-0.04956255395090541,0.619531924386318,-0.41,-1.5015486126102089,8.792988630585539,-3.415331636816227,1.0089336872855474,0,-5.944452816515098,-0.00263380264039536,0.07328515626458208,1.68689,0.0119047619047619,Cash,1,0.01,0.01,2,0.3,0,0.15,-4.15864648158808,-4.980721983525091,-2.643319077766008,-6.507936507936508,575,2589.2010015635883
2023-09-01,2947.05,ca,564.38,0.8,0.8,0.8,FALSE,0.09413851390580127,-0.02905604725371834,0.619531924386318,0.7531,0.5319685760909215,0.7531081112464103,14.12728313895071,6.361216043615495,1.5641343098778455,20,-0.00274474097291843,0.20581033097160345,0.85975,0.01666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,19.01718499977697,13.272050610895928,17.292865977595277,19.365079365079367,805,1290.751531985306
2023-09-01,1016.18,cad,76.03,-2.36,-2.36,-2.36,FALSE,1.4724722285872305,-0.14249234260885313,0.619531924386318,-2.59,-1.2929963196973795,11.779777828697844,-2.1952813346740507,9.401955870345423,0,-6.009291192043106,-0.0049376999196502,0.04688279332608111,1.4788,0.0119047619047619,Cash,1,0.01,0.01,2,0.3,0,0.15,-3.1088405792057254,-3.8468613237538754,-6.613789921153498,-4.920634920634921,575,4047.327101016423
2023-09-01,3630,cc,142.35,0.21,0.21,0.21,FALSE,0.09797612198400849,0.01239063848772637,0.619531924386318,0.23,0.40418274704014806,0.7838089758720679,10.31329723139374,-6.424424340567774,-0.07953066467041375,18.89434813496953,-0.00247627035326303,0.2041476714332043,1.093255,0.01666666666666666,Future,1,0.2,0.01,1,4,0,2,15.845015422526194,11.540703187832865,12.33803877684877,18.41269841269841,805,1301.2639239773
2023-09-01,1176.33,chf,193.26,3.44,3.44,3.44,FALSE,1.18210991373396,-0.7620242669951711,0.619531924386318,2.21,2.371549269720674,9.45687930987168,5.015500763016196,-0.1994475830093706,-0,8.409029834112669,0,0.04583415619923496,0.95968,0.01666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,8.143580591508245,6.160089970425761,-3.032907213992704,14.603174603174605,805,5795.895943742368
2023-09-01,85.387,cl,621,25.74,25.74,25.74,FALSE,3.44093445530621,1.1089621446515108,0.619531924386318,27.53,17.19836704548621,27.52747564244968,12.49541895440996,17.944668665646407,6.701135114819406,7.963112197414073,0.01779473662710007,0.308896621920417,1.093255,0.02083333333333333,Future,1,8,0.01,3,0.0025,0,0.00125,6.004750166405354,5.428180250041833,7.195937394887932,5.8730158730158735,1006.25,1074.9955695065885
2023-09-01,989.46,cnh,12.03,-1.7,-1.7,-1.7,FALSE,9.381459533070757,1.0532042714567404,0.619531924386318,0,-21.03411514522569,75.05167626456604,-5.6052352704496435,-16.10411743819074,0,-5.316029424535052,0.00392903940316013,0.05618667927116457,7.8533,0.01666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,-4.250878546218727,-2.1573435034820765,4.019462404000763,-13.968253968253968,805,4727.988972580795
2023-09-01,92.153,ct,796.4,3575.72,3575.72,3575.72,FALSE,596.3658178543308,448.7145821945225,0.619531924386318,4300,3325.596606030808,4770.926542834646,13.941093312473868,-7.05108267479079,14.15689081524904,7.301812670426183,0.01946042895385869,0.2642281450649301,1.093255,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,4.349899729626685,5.3605080899696524,6.566231898931111,6.190476190476191,1610,2010.762327644699
2023-09-01,4531.28,es,338.93,-0.59,-0.59,-0.59,FALSE,0.11560826635030896,0.10532042714567404,0.619531924386318,-0.42,-0.2079793824788121,0.9248661308024716,-4.4975024071506695,-8.012499718898715,-12.61909750688256,10.281159468076762,0.00471839330995571,0.13859945206430815,1.093255,0.01666666666666666,Index,1,0.01,0.01,2,0.5,0,0.25,7.541883445608175,7.679236001479774,4.349725314271564,12.063492063492063,805,1916.6742439698985
2023-09-01,1009.585,eur,267.91,6.49,6.49,6.49,FALSE,1.608824141464216,-1.0717902291883303,0.619531924386318,4.76,2.3775107894521192,12.870593131713727,3.6944851960145098,13.128136202544471,-0.7158782943617159,3.770289144006876,-0.00178626700473039,0.04088823509602049,1,0.01666666666666666,Cash,1,0.01,0.01,2,0.25,0,0.125,2.478638368409743,1.95594189629782,-2.9924207495704125,10.158730158730158,805,6496.978883440602
2023-09-01,95.0775,g,546.64,-33.85,-33.85,-33.85,FALSE,6.85420105126388,5.173091568625756,0.619531924386318,-25.5,-12.748259648570553,54.83360841011104,-4.649797822249406,-18.352482599454483,1.8632384158091753,-5.490590406980192,-0.00359585158910658,0.1460280110647234,0.85975,0.02777777777777777,Future,1,0.01,0.01,3,0.02,0,0.01,-4.386533411439757,-4.38176453831133,5.2075069539145975,-13.333333333333332,1341.6666666666663,3031.9525464450903
