Date,Close,Symbol,PositionRisk,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-08-07,7330.5,ap,0,0,0,0,FALSE,0.085618728260723,-0.05,0.775723259157197,-0.05,-0.07862150827738,0.684949826085783,-2.29568664106891,14.1298244048928,-11.3473642768962,6.82560484311554,0.002116691924096,0.117926063475775,1.66909,0.011904761904762,Index,1,0.05,0.01,2,5,0,2.5,537.5,1504.1204189474
2023-08-07,997.91,aud,13.34,0.24,0.24,0.24,FALSE,0.797958502260639,-0.186173582197727,0.775723259157197,0,-1.18364016981444,6.38366801808512,-3.70833873710587,0.875842358632677,2.15897916967539,-9.09824911359551,0.001494236437533,0.092948094552562,1.66909,0.011904761904762,Cash,1,0.01,0.01,2,0.3,0,0.15,537.5,1908.32314372722
2023-08-07,2687.45,ca,507.34,0.8,0.8,0.8,FALSE,0.097892334842581,0,0.775723259157197,0.8,0.73793248639553,0.783138678740647,18.8455124597393,3.63681917397768,10.2765794738482,17.6542582970941,0.007020062062792,0.203200588806233,0.8611,0.016666666666667,Future,1,0.3,0.1,1,3.5,0,1.75,752.5,1222.06830924489
2023-08-07,1024.14,cad,15.11,0.37,0.373328320165342,1.63,TRUE,1.08584058809364,-1.25667167983466,0.775723259157197,0.01,0.072068687886296,8.68672470474915,0.165928333948225,5.85882002871322,0.648678218527733,-1.99900555709093,0.001837373464521,0.058300092279703,1.46205,0.011904761904762,Cash,1,0.01,0.01,2,0.3,0,0.15,537.5,3042.44801447344
2023-08-07,3472.4,cc,255.87,0.6,0.367283022252841,0.6,CUSTOM,0.097052933269682,-0.232716977747159,0.775723259157197,0.3,0.342854798503955,0.776423466157452,8.83164441695085,-12.1983105559792,-0.080478564857605,17.8695832066516,-0.005886339193427,0.20174316016603,1.095158,0.016666666666667,Future,1,0.2,0.1,1,4,0,2,752.5,1230.89674909243
2023-08-07,1179.05,chf,242.71,3.56,3.5581597810357,5.8,TRUE,0.910581127697707,-2.2418402189643,0.775723259157197,2.91,3.12914276088224,7.28464902158165,8.59105977957697,-1.41694573483582,0,14.6726693996706,-8.90151172525e-4,0.055362617702506,0.95743,0.016666666666667,Cash,1,0.01,0.01,2,0.3,0,0.15,752.5,4485.42735703699
2023-08-07,82.4185,cl,235.68,9,9,9,FALSE,2.96336036163405,-0.775723259157197,0.775723259157197,8,9.23548928529147,23.7068828930724,7.79139908603527,10.8073074857012,1.00650058556193,9.02571254001439,-0.003349214430846,0.347967010674381,1.095158,0.020833333333333,Future,1,8,0.01,3,0.0025,0,0.00125,940.625,892.056546965226
2023-08-07,984.93,cnh,21.93,-3.2,-3.2,-3.2,FALSE,9.0605101788213709,2.48231442930303,0.775723259157197,0,-34.3210108622126,72.484081430571,-9.46994434773574,-16.5186396467107,-5.23957045845614,-5.10411759481171,-9.84356924061e-4,0.055109479353214,7.9218,0.016666666666667,Cash,1,0.01,0.01,2,0.3,0,0.15,752.5,4506.03059427228
2023-08-07,88.903,ct,623.88,2496.3,2496.30186648295,1100,TRUE,496.80358928719,1396.30186648295,0.775723259157197,2900,1816.10880927124,3974.42871429752,9.13896783574461,-14.8128304827725,12.1501285052691,3.7471600486811,0.014901885474765,0.307869089481466,1.095158,0.033333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,1505,1613.18565899711
2023-08-07,4507.76,es,142.52,-0.17,-0.263086791098864,-0.17,CUSTOM,0.080898674290961,-0.093086791098864,0.775723259157197,-0.29,-0.146718492521233,0.647189394327685,-4.53402029783407,-8.42130384339498,-13.1335702862585,10.9655883222818,0.006512187140409,0.133170186162551,1.095158,0.011904761904762,Index,1,0.01,0.01,2,0.5,0,0.25,537.5,1331.94226959697
2023-08-07,1013.365,eur,223.12,5.07,5.07,5.07,FALSE,1.41069724200324,0.938625143580208,0.775723259157197,6.28,3.13961872665155,11.2855779360259,5.56394850923716,12.2016507067002,0,6.22283483872021,-3.89714502066e-4,0.043427090640631,1,0.016666666666667,Cash,1,0.01,0.01,2,0.25,0,0.125,752.5,5718.20484257043
2023-08-07,94.3545,g,610.47,-37.44,-37.44,-37.44,FALSE,6.34576172789673,-1.993608776034,0.775723259157197,-40.01,-22.2211048210069,50.7660938231739,-8.75430948002673,-18.0186054632105,1.8284714637202,-12.3714537638922,-0.007743813193527,0.148804619267296,0.8611,0.027777777777778,Future,1,0.01,0.01,3,0.02,0,0.01,1254.16666666667,2781.33166858591
2023-08-07,1003.82,gbp,176.93,2.55,2.55,2.55,FALSE,0.639110373521833,0.279260373296591,0.775723259157197,2.91,1.61172735042003,5.11288298817466,6.30457358068906,8.33923576638714,3.07385138331928,4.58049946373588,0.002783252413956,0.059518817660742,0.8611,0.011904761904762,Cash,1,0.01,0.01,2,0.3,0,0.15,537.5,2980.14992520583
2023-08-07,1935.32,gc,432.04,-2,-2,-2,FALSE,0.287389262955686,-0.232716977747159,0.775723259157197,-2.3,-1.81089400188519,2.29911410364549,-15.7529719731076,-11.0214592920437,-19.9001293936966,1.37557327661903,-0.003955336215804,0.122240159944413,1.095158,0.016666666666667,Future,1,0.1,0.1,2,0.3,0,0.15,752.5,2031.45185766217
