Date,Close,Symbol,Position,RequiredTrade,PositionPrevious,PositionDynamic,PositionRaw,ForecastSkew,ForecastCarry,ForecastTrend,Forecast,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-07,7111.21,ap,-0.07,-0.0691154350424814,0,0,-0.0794267209755405,12.61738147313656,-12.004863424205128,-3.8761881527030946,-6.291168825870146,-0.00665598806519973,0.10679421786798772,1.60171,0.00952380952380952,Future,1,0.05,0.01,2,1,0,0.5,1438.0125781834354,897.7983393894247
2023-06-07,1011.42,aud,0,0,0,0,0.35933216763071846,-3.008653864050552,3.481326394528893,3.572349421824469,2.8687375795891787,-9.980977679644454e-4,0.07095140530005539,1.60171,0.00892857142857142,Cash,1,0.01,0.01,2,0.3,0,0.15,2029.1805874294907,1266.8838849913473
2023-06-10,26409.720703,bt,0,0,0,0,-0.01815679336555719,-3.2382994836932126,-7.833157888779851,-1.126141045786082,-4.690865311073679,0.00241576414841304,0.42128603136250986,1.069805,0.02857142857142857,Cash,1,5,1,3,75,0,37.5,1093.590224732252,1022.2332338437866
2023-06-07,2396.35,ca,0.4,-0.29620900732492017,0.7,0,0.3080729589779771,3.3950158359715386,-4.328258186155046,20,6.1753724905196306,0.01704514984978544,0.13992141271452002,0.86071,0.00892857142857142,Cash,1,0.3,0.1,1,3.5,0,1.75,1028.9576948416116,1195.475473552778
2023-06-07,1029.49,cad,2.08,2.053715784119447,0,0,0.4633147977890524,-19.676044831006458,-0.24655795244963472,11.34436198973392,2.4468613365681047,0.0032495990924186202,0.05152946750965291,1.4333,0.00892857142857142,Cash,1,0.01,0.01,2,0.3,0,0.15,2793.99771128518,1949.3460624329728
2023-06-07,3080.1,cc,0,0,0,0,0.27448510573668816,-1.0284859150005203,3.7021925377928833,18.631373758415243,9.200797180762487,0.01537686517185221,0.1464599678338864,1.069805,0.00892857142857142,Cash,1,0.2,0.1,1,4,0,2,983.020933399408,918.8786118960072
2023-06-07,1146.02,chf,-0.63,-0.6220389153823326,0,0,-0.4116777514903491,12.90990676077294,-11.085957828763618,7.374427990329418,-1.3022170421727477,-0.00258822546131032,0.04095397141255721,0.97033,0.00892857142857142,Cash,1,0.01,0.01,2,0.3,0,0.15,3515.4884696132194,3622.9823561192784
2023-06-07,72.473,cl,0,0,0,0,-4.533599933746285,6.973920126329514,-2.282054502456877,-9.314570746359967,-4.169463537139475,0.01423017022761286,0.34156064158889615,1.069805,0.01785714285714285,Cash,1,8,1,3,25,0,12.5,843.0316421468785,788.0236511765029
2023-06-07,998.87,cnh,-8.7,-8.590061212422686,0,0,-1.460140666236983,-7.519423175636841,-10.067142753513965,-20,-13.785513694320665,-0.00203023417420933,0.03552686286038408,7.6608,0.01785714285714285,Cash,1,0.01,0.01,2,0.3,0,0.15,8105.033920473651,1057.9879282155457
2023-06-07,86.052,ct,0,1277.648184928156,-1294,0,254.8430926747182,-6.777656447019361,9.437344527829548,1.771325734534034,4.749436913026451,-0.0061979241380552,0.29146429823439,1.069805,0.00892857142857142,Cash,0.01,600,1,3,0.15,0,0.075,493.9651791243872,461.7338478735726
2023-06-07,4267.66,es,0,0,0,0,-0.04545456166197155,-4.337301586830644,-13.824906519256093,15.63443349451236,-1.0924100205061655,-0.00427889663584579,0.12125940943362022,1.069805,0.01428571428571428,Future,1,0.01,0.01,2,0.5,0,0.25,1899.7053006698409,1775.7491324772654
2023-06-07,999.725,eur,1.2,1.184836029299681,0,0,2.503455862344073,18.499071265315852,7.630661565146076,-0.9731216340731402,5.275989255475367,0.00130120379693465,0.0303504483880968,1,0.00892857142857142,Cash,1,0.01,0.01,2,0.25,0,0.125,4743.6931555244955,4743.6931555244955
2023-06-07,96.214,g,-56,-82.54357670787778,27.6,0,-48.92519834562571,-20,2.2911655806624056,-18.75086499742913,-8.354763208640449,-0.00816702863147167,0.1187539662329148,0.86071,0.03571428571428571,Future,1,0.01,0.01,3,0.2,0,0.1,4849.462088814328,5634.257867126359
2023-06-07,992.68,gbp,4.5,4.443135109873804,0,0,3.543650882654854,3.397151278223999,2.6544416241731645,17.12061191017069,8.515180703977258,0.0012700974440607,0.04049100158059772,0.86071,0.00892857142857142,Cash,1,0.01,0.01,2,0.3,0,0.15,3555.6841931690487,4131.105939479092
2023-06-07,1940.01,gc,-1,0.4936816788748671,-1.5,0,-1.197274335892,-20,-10.437030397516423,0.938877425231405,-6.84296422866565,-0.01207111732321841,0.12687430711278774,1.069805,0.02857142857142857,Cash,1,0.1,0.1,2,0.3,0,0.15,3631.2654326831,3394.3246037203976
2023-06-07,223.778,gf,-400,2851.505377181232,-3288,0,-613.1694983220683,-10.667315860647498,-20,20,-3.06673158606475,-0.01829193748626156,0.12031365039739073,1.069805,0.03571428571428571,Cash,0.01,300,1,3,0.2,0,0.1,4786.5961612893325,4474.269760647345
2023-06-07,134.06,gg,0,0,0,0,-4.524631587526519,-13.279634129333337,8.51200705208379,-9.735088461542194,-0.965995271508316,-0.00853426851083583,0.08572936976378066,1.069805,0.03571428571428571,Future,1,1,1,3,0.2,0,0.1,6717.567838532775,6279.245132087413
2023-06-07,82.03,he,-3000,4131.128288824888,-7184,0,-3087.2966233204957,8.072001180394984,-20,1.1275748411569904,-8.741769945497706,-0.01288746307397747,0.37163393848073034,1.069805,0.07142857142857142,Cash,0.01,800,1,3,0.1,0,0.05,3099.247929277685,2897.0213536837887
