Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2024-01-19,3791.95,ca,0,0,0,0,0,FALSE,0.3,0,0,0,18.623732241835416,9.440919774656304,6.011906799033368,17.105229702269053,0.01447683795093723,0.20888472525919977,0.85908,0,Future,1,0.3,1e-4,3.5,0,0.00441874316041476,16.687451425541727,12.877427206621563,11.741215605155656,16.19047619047619,0,0
2024-01-19,4557.2,cc,734.27,0,0.84,0.84,0.84,FALSE,0.2,0.13927471488401433,0.9792747148840144,1.48647298413462,13.17581584510422,3.3457842016188226,-2.9440290524032187,17.36687688553116,0.01804563576704865,0.208810779057422,1.088613,0.0625,Future,1,0.2,0.01,4,0,0.00420348003406447,17.66837934407279,12.72910991578606,12.42301194267352,15.555555555555555,1968.75,3111.369551575395
2024-01-19,73.889,cl,157.34,0,-8.06,-8.06,-8.06,FALSE,8.32024973406288,4.8532175486120694,-3.206782451387931,66.56199787250304,-0.963547535796747,7.4636073495172655,-2.1823251300654904,-3.925371157454883,0.00257473649569561,0.2876086112710275,1.088613,0.0625,Future,1,8,0.01,0.025,0,0.00117640898989914,-3.405860441460697,-3.4443424290741342,3.2588525747014216,-9.603174603174605,1968.75,2258.929234172923
2024-01-19,83.528,ct,275.46,1380.12,-1935.92,-1935.9194371730937,-3316.04,TRUE,1141.496909438329,1380.1205628269065,-1935.9194371730937,9131.975275506633,-4.239870080168807,-3.9334337220652698,-7.709953835901832,0.16853367209180814,0.01934109221467306,0.1854433282521414,1.088613,0.0625,Future,0.01,600,0.01,0.15,0,0.0096838479790409,0.15257207758323013,-0.2872641811534852,10.145636286138425,-9.444444444444445,1968.75,3503.4288163586048
2024-01-19,4798.64,es,0,0,0,0,0,FALSE,0.01,0,0,0,2.784204373397159,-4.869551089978604,-16.09611522144535,14.195105653574856,0.00306806967037864,0.09401958045030127,1.088613,0,Index,1,0.01,0.01,0.5,0,0.0011082392457098,13.616824442104392,11.998067756786138,4.560066113779382,17.539682539682538,0,0
2024-01-19,98.6635,g,0,0,0,0,0,FALSE,0.01,-0,-0,0,-3.818455595714615,-3.975973528528318,-0.4182398333009998,-2.8941674467048273,0.00107493634254751,0.11931790333343338,0.85908,0,Future,1,0.01,0.01,0.02,0,0.00169890018940495,0.06538158791705909,-0.7202292229106172,-7.803605033668793,-1.2698412698412702,0,0
2024-01-19,2027.72,gc,140.75,0,-0.64,-0.64,-0.64,FALSE,0.7385271530309149,0.09232343664883448,-0.5476765633511655,5.908217224247319,-1.8539486364973223,5.786209993076308,-17.8411196635968,3.5555233199304825,0.00188072510226167,0.11807109305466772,1.088613,0.0625,Future,1,0.1,0.01,0.3,0,0.00125305370854911,3.0789316450418673,1.781238777349349,-4.178672801709853,11.269841269841269,1968.75,5502.51109896298
2024-01-19,230.073,gf,0,0,0,0,0,FALSE,300,0,0,0,5.030724032415532,11.098061407313144,-12.131777086612836,7.2244898828705555,7.739669232886826e-4,0.15663072165221703,1.088613,0,Future,0.01,300,0.01,0.2,0,0.00554992854117545,5.088612439518846,3.778501756333447,14.385139378689258,1.031746031746033,0,0
2024-01-19,133.795,gg,338.58,0,-32.44,-32.44,-32.44,FALSE,15.562103748499888,-9.906647391928644,-42.34664739192864,124.4968299879991,-6.8028474935483345,-6.733416657163536,-3.2892416484984377,-4.059134171900126,3.96206884978767e-4,0.0780074945594627,1,0.0625,Future,1,1,0.01,0.028,0,0.00268275997280536,-0.8211276175199376,-0.8412876994399008,-8.886495064777282,-3.095238095238095,1968.75,8328.52668412217
2024-01-19,72.461,he,751.19,0,-3702.96,-3702.96,-3702.96,FALSE,800.6503228733388,-7.70999843418349,-3710.669998434183,6405.202582986711,-11.586425098529572,-6.383905151491942,-20,-2.256614222293459,-4.140072451885857e-5,0.3047690277547068,1.088613,0.0625,Future,0.01,800,0.01,0.1,0,0.0045281921466264,-3.5464798076683643,-2.302131249442942,6.358591262287353,-8.095238095238095,1968.75,2131.737285728721
2024-01-19,373.88,hg,295.65,0,-603.4,-603.4,-603.4,FALSE,331.4876649702166,-180.0715494494466,-783.4715494494466,2651.901319761733,-5.9087534186214725,2.3929588895971468,-7.7222408564641,-5.21369690806182,0.00224923781431662,0.14266532480371896,1.088613,0.0625,Future,0.01,200,0.1,0.2,0,0.00374955157910832,-2.5560851555725828,-3.6624235936163183,-7.020808588834022,-4.285714285714286,1968.75,4553.927178127197
2024-01-19,15256.2,hs,1107.11,0,-2.74,-2.74,-2.74,FALSE,0.4019804014022908,-0.20633249200592416,-2.9463324920059244,3.2158432112183264,-18.32385659678789,-5.1455377726402025,-6.02081163369995,-18.848634092547112,-0.00752916769331157,0.2253941964243204,8.51039,0.0625,Index,1,0.1,0.01,5,0,0.00145405522559426,-15.975465613978129,-11.41861022934572,-16.200772647030593,-19.761904761904763,1968.75,2882.449993419164
2024-01-19,185.12,kc,0,0,0,0,0,FALSE,500,-0,-0,0,-0.4646919550324941,-3.2982974096821267,1.4700453304922083,0.29453676621830044,0.01562489255659915,0.3358049508818303,1.088613,0,Future,0.01,500,0.01,0.3,0,0.00482592777902621,2.1142883041031495,0.15481142783988658,-3.739377641946882,2.460317460317461,0,0
