Date,Close,Symbol,PositionRisk,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-08-29,990.06,aud,14.7,-0.33,-0.33,-0.33,FALSE,1.0416202764393043,0.22324468744297615,0.6764990528575034,0,-2.342284528785006,8.332962211514436,-5.62173323082745,0.7186562179085806,0,-9.549219439189562,-0.00107006945471521,0.07571668332805429,1.68262,0.0119047619047619,Cash,1,0.01,0.01,2,0.3,0,0.15,-6.306435451354762,-7.37345077647583,-7.765819494706276,-7.936507936507937,562.4999999999999,2451.573310412328
2023-08-29,2882.65,ca,560.19,0.8,0.8,0.8,FALSE,0.0927814835763366,-0.039033995349878003,0.6764990528575034,0.7423,0.5144593690358862,0.7422518686106927,13.862123917554392,6.239009757139159,1.545272792657896,19.61219643248349,0.02668277961170595,0.20832244088521135,0.8576,0.01666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,16.02546241178958,12.89218496604214,12.062493049345807,19.365079365079367,787.5,1247.4652221610386
2023-08-29,1016.01,cad,72.43,-2.36,-2.36,-2.36,FALSE,1.5119715768250523,-1.1906383330292063,0.6764990528575034,-4.12,-2.0593277219901873,12.09577261460042,-3.4050370945373745,8.524656625235744,0,-7.806225980537894,-3.050685689860444e-4,0.04433820203801378,1.46772,0.0119047619047619,Cash,1,0.01,0.01,2,0.3,0,0.15,-4.612943606869996,-4.8358941906486255,-10.919525414881246,-3.6507936507936503,562.4999999999999,4186.570304336035
2023-08-29,3566,cc,0,0,0,0,FALSE,0.0979794752237882,0,0.6764990528575034,0,0.3123937760913022,0.7838358017903057,7.9708983789152,-6.344480772168228,-0.08086715999509635,14.97203477456126,0.02125629131804984,0.20077371334648705,1.079739,0.01666666666666666,Future,1,0.2,0.01,1,4,0,2,12.623937215772312,9.54702753933383,5.484136138537781,18.41269841269841,787.5,1294.367652360538
2023-08-29,1178.4,chf,191.9,3.44,3.44,3.44,FALSE,1.1646144367783453,-0.02029497158572497,0.6764990528575034,3.41,2.684261546313239,9.316915494226762,5.762124917793973,-0.1474346634159952,-0,9.64040019551062,-1.6122257660100558e-4,0.04522404301383853,0.9553,0.01666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,9.457480271986231,6.886806683044157,-1.2846917258646258,14.603174603174605,787.5,5746.390253531255
2023-08-29,80.055,cl,382.26,17.14,17.14,17.14,FALSE,3.6413584629371263,5.932896693560305,0.6764990528575034,25.91,12.957277915732494,29.13086770349701,8.895909347854435,17.104205266698873,6.8814525090468,1.9486486267741732,-0.00323005350390914,0.3008024828012255,1.079739,0.02083333333333333,Future,1,8,0.01,3,0.0025,0,0.00125,2.41648144162197,1.5214663144170868,-0.24369312909044227,2.3015873015873023,984.375,1079.923765837602
2023-08-29,986.74,cnh,10.88,-1.7,-1.7,-1.7,FALSE,10.154763147004196,1.1500483898577558,0.6764990528575034,0,-23.164129440377373,81.23810517603357,-5.702774428375301,-16.204552171559435,0,-5.453486004402309,3.953190225276515e-4,0.051254718573648383,7.905,0.01666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,-4.845719164429825,-2.447608898233931,5.7514663641365065,-15.238095238095235,787.5,5070.2648893990745
2023-08-29,89.861,ct,548.23,2496.3,2496.3,2496.3,FALSE,591.655427378928,543.7022887815754,0.6764990528575034,3300,2794.9017787573116,4733.243419031424,11.809668471811827,-8.86595489042067,14.175349111642204,4.18008311940546,0.00274131531852273,0.2638840828920261,1.079739,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,2.809503497628622,3.2402707288348567,3.875512050583846,2.936507936507937,1575,1969.6148183847336
2023-08-29,4431.74,es,472.35,-0.85,-0.85,-0.85,FALSE,0.11691127715334944,0.02705996211430008,0.6764990528575034,-0.81,-0.40696932366828664,0.9352902172267956,-8.702524974012466,-7.938839959476762,-12.918056758867342,3.628072648432593,-8.570836226251544e-4,0.13539188073310127,1.079739,0.01666666666666666,Index,1,0.01,0.01,2,0.5,0,0.25,3.7829216249308617,3.4352491801536047,-4.150108443606892,8.095238095238095,787.5,1919.428244831704
2023-08-29,1010.605,eur,235.59,6.49,6.49,6.49,FALSE,1.7897590676854416,-1.5694778026294085,0.6764990528575034,4.17,2.083071732722315,14.318072541483533,2.909709706648103,13.219941779171068,-0.8149089032760095,2.563166862049083,-0.00119658641071129,0.03591935231328048,1,0.01666666666666666,Cash,1,0.01,0.01,2,0.25,0,0.125,2.4641380921817584,1.568636927409489,-5.669917275557439,9.523809523809524,787.5,7234.957850392982
2023-08-29,93.9925,g,748.18,-44.35,-44.35,-44.35,FALSE,6.418597565419227,5.669062062945881,0.6764990528575034,-35.97,-17.985693891166715,51.34878052335382,-7.005305172919028,-18.082042290773053,1.7676648049395562,-9.364579055012896,-0.00609358613788657,0.1539234131039361,0.8576,0.02777777777777777,Future,1,0.01,0.01,3,0.02,0,0.01,-6.611496120211252,-7.070724837017976,0.7411474302054248,-15.873015873015872,1312.5,2813.899401435013
