Date,Close,Symbol,PositionRisk,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-07-05,7223.3,ap,89.99,-0.2,-0.2,-0.2,FALSE,0.02675234037781097,-0.01273647047322097,0.4245490157740324,-0.23,-0.11481428032204116,0.5350468075562194,-4.291747140645342,11.0535229428311,-13.267030205434102,3.0910391694715,-0.00651315277655939,0.1012782046316322,1.6259,0.0074074074074074,Index,1,0.05,0.01,2,5,0,2.5,240.74074074074073,1188.51208715814
2023-07-05,1019.61,aud,26.03,0.61,0.61,0.61,FALSE,0.2644717175682314,-0.14434666536317098,0.4245490157740324,0.27,0.7252868641114175,5.289434351364628,2.742398585301658,0.4609153219168449,2.3561344428031123,3.7955995792710424,-0.0030553212756903,0.06804110881265041,1.6259,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.69444444444443,1658.515332737219
2023-07-05,233.94,audhuf,439.36,-7041,-7041.4431495230965,-8400,TRUE,482.24679987905466,1358.5568504769035,0.4245490157740324,-5200,-6156.117717192751,9644.935997581091,-12.76549210640004,-11.126516538400455,-20,-4.132101131399983,0.01388148965067781,0.10007923601803514,375.196014,0.01851851851851851,Cash,1,800,1,1,0.13,0,0.065,601.8518518518518,3006.8767298712837
2023-07-08,30505.853516,bt,0,0,0,0,FALSE,0.00339800007447317,0,0.4245490157740324,0,0.00118264402561472,0.06796000148946359,0.3480412006165351,-7.764751156920547,-8.702684003202181,13.6896457947742,-2.724515696712615e-4,0.3791933613567669,1.088495,0.02222222222222222,Cash,1,5,1,3,75,0,37.5,722.2222222222222,952.3139060743129
2023-07-05,2668.95,ca,903.49,1.8,1.8,1.8,FALSE,0.08992948165256337,-0.08490980315480645,0.4245490157740324,1.6,1.3118964688362549,1.7985896330512674,14.588057717319892,0.9758806808772312,12.980939298464335,20,-0.00187164328720523,0.16086717239691875,0.85538,0.02777777777777777,Future,1,0.3,0.1,1,3.5,0,1.75,902.7777777777776,2805.972667780507
2023-07-05,1037.67,cad,0,0,0,0,FALSE,0.3633535960035753,0,0.4245490157740324,0,1.1916299925005762,7.267071920071505,3.279532680031192,-17.066489828320975,0.6428414962264666,11.66190228687514,-0.0026370511124103,0.04306971494921377,1.43903,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.69444444444443,2620.1060851061475
2023-07-05,3350,cc,111.63,0.2,0.2,0.2,FALSE,0.08087243549756361,-0.08490980315480648,0.4245490157740324,0,0.5356919824049199,1.617448709951272,6.623913068885607,-1.4156214769819997,-2.469049566832386,20,-0.013549579487373,0.18135601893746744,1.088495,0.02777777777777777,Future,1,0.2,0.1,1,4,0,2,902.7777777777776,2488.965580152762
2023-07-05,1154.97,chf,0,0,0,0,FALSE,0.2521792343042479,0.21227450788701616,0.4245490157740324,0.5,1.6779705194936263,5.043584686084957,6.653880618374777,5.040276956458253,-0,15.37463230682238,-3.116478404656675e-4,0.03780772651204808,0.97582,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.69444444444443,2984.7661478999935
2023-07-05,4.57612,chfpln,329.13,-5308,-5307.6146733796695,-6051,TRUE,485.3189520013991,743.3853266203307,0.4245490157740324,-4300,-5160.132593118113,9706.379040027983,-10.632456391489193,-3.5293267967712194,-12.838309677043126,-9.650922183226266,0.00658835404586044,0.06005299914042648,4.432,0.01851851851851851,Cash,1,500,1,1,0.00294,0,0.00147,601.8518518518518,5011.005782113363
2023-07-05,71.755,cl,0,0,0,0,FALSE,1.1512481634054534,0,0.4245490157740324,0,-3.820015578208968,23.02496326810906,-3.3181512897350993,9.690249567605784,-2.3148501085105444,-7.824377980601015,0.01126099359127597,0.29738988173318437,1.088495,0.01388888888888888,Future,1,8,1,3,0.0025,0,0.00125,451.38888888888886,758.9176979697498
2023-07-05,983.03,cnh,240.45,-54.06,-54.06067678986436,-45.99,TRUE,5.074292805819244,-8.070676789864354,0.4245490157740324,-65,-74.10570047850976,101.48585611638488,-14.604143535730673,-13.291849918817556,-10.549917087697834,-20,-0.00257036903868534,0.03561525620311696,7.8715,0.01388888888888888,Cash,1,0.01,0.01,2,0.3,0,0.15,451.38888888888886,6337.01588884519
2023-07-05,84.148,ct,0,0,0,0,FALSE,101.68504971779676,0,0.4245490157740324,0,568.847726834985,2033.700994355935,5.59421201458513,-12.8349587065725,16.285855150916323,-3.1630492255394547,-0.01558828390614319,0.2296869869795896,1.088495,0.01111111111111111,Future,0.01,600,1,3,0.15,0,0.075,361.1111111111111,786.0939704503156
2023-07-05,4445.18,es,37.21,-0.09,-0.09,-0.09,FALSE,0.04366778315142129,0,0.4245490157740324,-0.09,-0.0465734376960524,0.8733556630284259,-1.0665400058105887,-8.204577355667745,-16.49216454048763,20,-0.00189688554203115,0.10124808031721395,1.088495,0.01111111111111111,Index,1,0.01,0.01,2,0.5,0,0.25,361.1111111111111,1783.2985572651685
2023-07-05,1011.835,eur,139.67,4.36,4.36,4.36,FALSE,0.3522612363803618,0.2632203897799001,0.4245490157740324,4.98,2.4895627386827455,7.045224727607235,7.0673763717634435,12.217604658333952,-0,14.61403976482512,0.00105309746433412,0.03166039437440512,1,0.00694444444444444,Cash,1,0.01,0.01,2,0.25,0,0.125,225.69444444444443,3564.3024811292335
