Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-02-20,51750.761719,bt,615.98,0,0.04,0.04,0.04,FALSE,0.01181488928623196,0.0062433560840959,0.04624335608409591,0.09451911428985572,9.78497448511512,-0.6653350507302062,-11.506989897048337,19.13279512070943,-5.483017176217686e-4,0.3219782091709641,1.082017,0.05555555555555555,Index,1,0.005,0.001,75,0,0.00450109351865544,1,17.820712379352457,12.050321769917282,16.345644127624716,18.095238095238095,-0.35,0.1,1819.4444444444443,2260.3323984305475
2024-02-20,4800.65,ca,0,0,0,0,0,FALSE,0.3,0,0,0,19.40754236609557,5.460569613356939,6.2928766962312395,20,0.02987537198242407,0.2823742758322599,0.85532,0,Future,1,0.3,1e-4,3.5,0,0.00258192052575541,1,19.60139800178896,13.514539906806736,16.91701720936189,19.365079365079367,0.032349,-0.092349,0,0
2024-02-20,5651.9,cc,1451.03,0,0.8,0.8,0.8,FALSE,0.2,-0.14736898366271067,0.6526310163372894,0.8024971950660025,16.26500429783092,1.4803851617454398,3.067206951045299,19.41287634071252,0.04935916127652717,0.3472361066595244,1.082017,0.05555555555555555,Future,1,0.2,0.01,4,0,0.00203817112229735,1,17.856289599588024,13.050118515012048,14.981878371455087,19.365079365079367,0.00737,-0.06737,1819.4444444444443,2095.916190223231
2024-02-20,77.215,cl,385.73,0,21.25,21.25,21.25,FALSE,10.02340264376786,8.933713779478119,30.18371377947812,80.18722115014289,7.528310208670782,8.271593857677283,3.897900726371847,3.952999652869811,-0.01431139937680559,0.2543642256694598,1.082017,0.05555555555555555,Future,1,8,0.01,0.025,0,0.00127286487362777,1,2.5616980891892767,2.4658095248860414,8.021790938988472,0.23809523809523836,0.004789,-0.064789,1819.4444444444443,2861.1640487664627
2024-02-20,90.298,ct,180.65,0,991.58,991.58,991.58,FALSE,998.7014392487536,160.54705159056095,1152.127051590561,7989.611513990029,2.884062759680255,-5.560136812356426,-9.508020959182542,11.37949589867649,-0.02837604072700639,0.2183026845345168,1.082017,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.0076094637306721,1,11.04797357635394,6.098123412883142,18.088436376995755,3.0158730158730154,-0.102829,0.042829,1819.4444444444443,3333.801319620078
2024-02-20,4978.98,es,475.53,0,1.025,1.025,1.025,FALSE,0.3921783208252574,-0.1608582912983797,0.8641417087016202,3.137426566602059,5.508601972714953,-1.3262461110482866,-15.010337668400624,15.51309452001106,-0.00428885876512552,0.10082051672867194,1.082017,0.05555555555555555,Index,1,0.1,0.001,0.5,0,9.960489995623782e-4,1,15.4302669617345,12.148457557220173,6.074067518430778,18.492063492063497,-0.0831,0.0231,1819.4444444444443,7218.548380746476
2024-02-20,97.9685,g,0,0,0,0,0,FALSE,0.01,-0,-0,0,-5.640659289123854,-4.501007605435265,-0.44541743525635186,-5.04766653181933,0.00764383226973741,0.1120375990025602,0.85532,0,Future,1,0.01,0.01,0.02,0,0.0018221316167957,1,-2.323834619455012,-3.6910576324005486,-7.221895343428836,-3.730158730158731,-0.031751,-0.028249,0,0
2024-02-20,2027.705,gc,310.74,0,-1.73,-1.73,-1.73,FALSE,1.0129406398484404,-0.4504080479827643,-2.1804080479827643,8.103525118787523,-5.381381598799819,2.1117069092273204,-20,1.7689710803199152,0.00566526117996435,0.09584823405797986,1.082017,0.05555555555555555,Future,1,0.1,0.01,0.3,0,0.00154359145933515,1,1.8910658035923336,0.6180267060952233,-2.7534474217774765,6.19047619047619,-0.065194,0.042644,1819.4444444444443,7593.022291235282
2024-02-20,250.142,gf,0,0,0,0,0,FALSE,300,0,0,0,10.45258470655326,11.475466631069926,-12.986796504625472,14.692444545515452,0.00455979601859724,0.14631853200465625,1.082017,0,Future,0.01,300,0.01,0.2,0,0.00546441962612937,1,14.85202347257897,8.823653743237406,15.313865607578236,10.396825396825395,-0.096674,0.036674,0,0
2024-02-20,133.211,gg,498.68,0,-51.6,-51.6,-51.6,FALSE,18.826207129897966,-15.204821837232153,-66.80482183723215,150.60965703918373,-8.8712534309605,-7.819121552325212,-3.5366837911180893,-6.150435236225682,0.00378311139789389,0.07254974296666848,1,0.05555555555555555,Future,1,1,0.01,0.028,0,0.00289722393693696,1,-3.2835421311228226,-4.198159997260348,-9.065045631105582,-4.126984126984127,-0.039003,-0.020997,1819.4444444444443,10031.431511923352
2024-02-20,81.563,he,384.06,1046.1799999999998,-1878.71,-1878.7128515197533,-2924.89,TRUE,890.0109730255335,1046.1771484802466,-1878.7128515197533,7120.087784204268,-5.27721822668431,-7.345200024520971,-20,6.636309043348073,0.00834733498476492,0.27119665649462626,1.082017,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.00452087477663823,1,5.597036752745337,3.880768764667165,13.543401350984386,-0.714285714285714,-0.365,0.305,1819.4444444444443,2683.5794629060947
