Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-12-19,3572.25,ca,0,0,0,0,0,FALSE,0.3,0,0,0,15.87901392367323,5.141284386927374,6.903023212756265,15.149864765055822,-0.00689061477731733,0.18191964032213953,0.86072,0,Future,1,0.3,1e-4,3.5,0,0.00538575521639727,15.2414288177628,12.161581119255429,5.108206826941587,18.41269841269841,0,0
2023-12-19,4244.9,cc,742.67,0,0.97,0.97,0.97,FALSE,0.20708722053140785,0.07615134376520105,1.046151343765201,1.6566977642512626,12.62935661940734,1.7389103063770586,-3.104613356337103,17.52199368418981,-0.00545050098328836,0.19801016404995783,1.097815,0.0625,Future,1,0.2,0.01,4,0,0.00475888318055037,16.96603968818913,12.710260393639048,9.85607831507501,19.365079365079367,1921.875,3202.960580548719
2023-12-19,73.862,cl,334.96,0,-16.33,-16.33,-16.33,FALSE,8,4.919429190726152,-11.410570809273846,61.839569058810255,-3.690378501319192,6.558515831934465,-2.162736689892302,-7.118394239446671,0.01690304159985789,0.30486720971697834,1.097815,0.0625,Future,1,8,0.01,0.025,0,0.00111021791148587,-6.900457665912846,-6.110553446952389,-1.4719200374690462,-9.444444444444445,1921.875,2080.311459499935
2023-12-19,78.766,ct,549.24,0,-3572.95,-3572.95,-3572.95,FALSE,1031.4368927828982,-714.5759234210173,-4287.525923421017,8251.495142263186,-10.392118881488072,-4.72119348969176,-6.673231587687848,-8.158945969960959,0.00586997375335585,0.21425294195362785,1.097815,0.0625,Future,0.01,600,0.01,0.15,0,0.00888844263591201,-7.320353123920017,-6.653952999783835,-2.260246156276964,-11.19047619047619,1921.875,2960.140216591603
2023-12-19,4761.92,es,0,0,0,0,0,FALSE,0.01,0,0,0,8.750637340246659,-0.03691084813144094,-14.99052702157162,19.18123538851374,0.00497041621247795,0.10095375551655147,1.097815,0,Index,1,0.01,0.01,0.5,0,0.00104007684968054,17.211084320233475,12.57194655839169,18.739328970720745,15.952380952380953,0,0
2023-12-19,101.7165,g,0,0,0,0,0,FALSE,0.01,0,0,0,6.896156298116054,-3.5142059032812822,-0.375749808794248,11.139852920192505,0.00591621432487432,0.13281044682400886,0.86072,0,Future,1,0.01,0.01,0.02,0,0.00148049297119816,9.794998898731311,5.996742117621117,17.605523701381482,4.047619047619048,0,0
2023-12-19,2045.805,gc,133.88,0,-0.44,-0.44,-0.44,FALSE,0.5210801619116391,0.21644727351043375,-0.22355272648956623,4.168641295293113,-1.072544796511917,-4.70389417588893,-13.178435175165903,7.511104946844861,0.00888920927717684,0.16328243614651394,1.097815,0.0625,Future,1,0.1,0.01,0.3,0,8.980852168991068e-4,5.305661399687661,3.429171960314486,3.099879813332583,13.412698412698411,1921.875,3884.182309914296
2023-12-19,221.425,gf,0,0,0,0,0,FALSE,300,-0,-0,0,-2.7697858409619736,10.358400600051246,-14.912849117719029,-1.4158235291154069,0.00410914227493641,0.21424236071723105,1.097815,0,Future,0.01,300,0.01,0.2,0,0.00421597471116789,-2.2739320016183795,-1.8432244578021624,3.881895297127857,-4.523809523809523,0,0
2023-12-19,137.1,gg,248.43,14.62,21.98,21.98057412537556,7.36,TRUE,14.028058536983004,14.620574125375558,21.98057412537556,112.22446829586404,3.917251640244241,-8.126853513616158,-3.1123472670834675,10.842602577342134,0.00453250282489925,0.08244115388847412,1,0.0625,Future,1,1,0.01,0.028,0,0.00247728809049258,10.526460646609491,6.014995697053422,18.158234859354533,1.7460317460317452,1921.875,7692.987301681478
2023-12-19,71.051,he,399.11,0,-1875.35,-1875.35,-1875.35,FALSE,800,86.01010163577371,-1789.3398983642262,5960.156919738152,-6.00433821612481,-2.1163635125206963,2.132803444449415,-8.014004254130773,-0.0125318078027119,0.328829176371219,1.097815,0.0625,Future,0.01,800,0.01,0.1,0,0.00428015464419994,-7.923608113392008,-7.173429435613733,0.38143034557830546,-12.22222222222222,1921.875,1928.7179957657504
2023-12-19,387.65,hg,0,0,0,0,0,FALSE,259.07348007624137,249.9042015675823,249.9042015675823,2072.587840609931,2.411518553481809,1.5668989307891148,-6.356473977237555,5.610145594533299,0.01856413232671183,0.1733187304699363,1.097815,0.0625,Future,0.01,200,0.1,0.2,0,0.00297676607879937,4.3887627441745725,3.831244013495339,7.224927080163773,3.412698412698412,1921.875,3659.262609877073
2023-12-19,16738.4,hs,970.3,0,-2.26,-2.26,-2.26,FALSE,0.36930054809086393,0.14319531767003824,-2.1168046823299616,2.9544043847269115,-14.329823589979725,-5.950604760889652,-7.0041858298797814,-12.62903615792158,0.01239548671677681,0.2196036823349675,8.56159,0.0625,Index,1,0.1,0.01,5,0,0.00136024282622429,-9.400820063637532,-8.969739697445425,-5.0323628985974285,-19.047619047619047,1921.875,2888.0150972724073
2023-12-19,195.26,kc,0,0,0,0,0,FALSE,500,0,0,0,6.2730182070487555,-7.726747484945122,1.4818516888552575,11.48647217410994,0.00328306440368209,0.33312949177886186,1.097815,0,Future,0.01,500,0.01,0.3,0,0.00461205935147593,10.198983548802913,7.2418082976737,13.946976432511049,7.222222222222222,0,0
