Date,Close,Open,High,Low,Change..
1979-12-27,515.5,515.5,515.5,515.5,3.31%
1979-12-28,512,512,512,512,-0.68%
1980-01-01,512,512,512,512,0.00%
1980-01-02,559.75,559.75,559.75,559.75,9.33%
1980-01-03,634.25,634.25,634.25,634.25,13.31%
1980-01-04,634.25,634.25,634.25,634.25,0.00%
1980-01-07,634,634,634,634,-0.04%
1980-01-08,610,610,610,610,-3.79%
1980-01-09,607.2,607.2,607.2,607.2,-0.46%
1980-01-10,603.35,603.35,603.35,603.35,-0.63%
1980-01-11,623,623,623,623,3.26%
1980-01-14,660,660,660,660,5.94%
1980-01-15,684,684,684,684,3.64%
1980-01-16,760,760,760,760,11.11%
1980-01-17,750,750,750,750,-1.32%
1980-01-18,835,835,835,835,11.33%
1980-01-21,835,835,835,835,0.00%
1980-01-22,737.5,737.5,737.5,737.5,-11.68%
1980-01-23,695,695,695,695,-5.76%
1980-01-24,717,717,717,717,3.17%
1980-01-25,668,668,668,668,-6.83%
1980-01-28,624,624,624,624,-6.59%
1980-01-29,674.25,674.25,674.25,674.25,8.05%
1980-01-30,691,691,691,691,2.48%
1980-01-31,653,653,653,653,-5.50%
1980-02-01,676.5,676.5,676.5,676.5,3.60%
1980-02-04,669.75,669.75,669.75,669.75,-1.00%
1980-02-05,669.75,669.75,669.75,669.75,0.00%
1980-02-06,709,709,709,709,5.86%
1980-02-07,699.25,699.25,699.25,699.25,-1.38%
1980-02-08,692,692,692,692,-1.04%
1980-02-11,710.5,710.5,710.5,710.5,2.67%
1980-02-12,694.5,694.5,694.5,694.5,-2.25%
1980-02-13,696.75,696.75,696.75,696.75,0.32%
1980-02-14,682,682,682,682,-2.12%
1980-02-15,667,667,667,667,-2.20%
1980-02-18,667,667,667,667,0.00%
1980-02-19,652.25,652.25,652.25,652.25,-2.21%
1980-02-20,652.25,652.25,652.25,652.25,0.00%
1980-02-21,665,665,665,665,1.95%
1980-02-22,630,630,630,630,-5.26%
1980-02-25,616.5,616.5,616.5,616.5,-2.14%
1980-02-26,642.25,642.25,642.25,642.25,4.18%
1980-02-27,636,636,636,636,-0.97%
1980-02-28,646,646,646,646,1.57%
1980-02-29,637,637,637,637,-1.39%
1980-03-03,663.75,663.75,663.75,663.75,4.20%
1980-03-04,631.25,631.25,631.25,631.25,-4.90%
1980-03-05,643.5,643.5,643.5,643.5,1.94%
1980-03-06,643.5,643.5,643.5,643.5,0.00%
1980-03-07,609,609,609,609,-5.36%
1980-03-10,585,585,585,585,-3.94%
1980-03-11,570.25,570.25,570.25,570.25,-2.52%
1980-03-12,585.7,585.7,585.7,585.7,2.71%
1980-03-13,556.5,556.5,556.5,556.5,-4.99%
1980-03-14,523,523,523,523,-6.02%
1980-03-17,484,484,484,484,-7.46%
1980-03-18,481.5,481.5,481.5,481.5,-0.52%
1980-03-19,527,527,527,527,9.45%
1980-03-20,561,561,561,561,6.45%
1980-03-21,561,561,561,561,0.00%
1980-03-24,558.25,558.25,558.25,558.25,-0.49%
1980-03-25,547.25,547.25,547.25,547.25,-1.97%
1980-03-26,508,508,508,508,-7.17%
1980-03-27,485.25,485.25,485.25,485.25,-4.48%
1980-03-28,490,490,490,490,0.98%
1980-03-31,495,495,495,495,1.02%
1980-04-01,509.5,509.5,509.5,509.5,2.93%
1980-04-02,500.5,500.5,500.5,500.5,-1.77%
1980-04-03,485.75,485.75,485.75,485.75,-2.95%
1980-04-04,485.75,485.75,485.75,485.75,0.00%
