Date,Close,Open,High,Low,Change..
1980-04-07,485.75,485.75,485.75,485.75,0.00%
1980-04-08,528,528,528,528,8.70%
1980-04-09,554,554,554,554,4.92%
1980-04-10,526,526,526,526,-5.05%
1980-04-11,530.5,530.5,530.5,530.5,0.86%
1980-04-14,529.75,529.75,529.75,529.75,-0.14%
1980-04-15,497.5,497.5,497.5,497.5,-6.09%
1980-04-16,520,520,520,520,4.52%
1980-04-17,513,513,513,513,-1.35%
1980-04-18,515.6,515.6,515.6,515.6,0.51%
1980-04-21,506,506,506,506,-1.86%
1980-04-22,506,506,506,506,0.00%
1980-04-23,506.5,506.5,506.5,506.5,0.10%
1980-04-24,515.7,515.7,515.7,515.7,1.82%
1980-04-25,551.5,551.5,551.5,551.5,6.94%
1980-04-28,524.25,524.25,524.25,524.25,-4.94%
1980-04-29,513.75,513.75,513.75,513.75,-2.00%
1980-04-30,518,518,518,518,0.83%
1980-05-01,490,490,490,490,-5.41%
1980-05-02,512.5,512.5,512.5,512.5,4.59%
1980-05-05,515,515,515,515,0.49%
1980-05-06,512.5,512.5,512.5,512.5,-0.49%
1980-05-07,512.5,512.5,512.5,512.5,0.00%
1980-05-08,515.75,515.75,515.75,515.75,0.63%
1980-05-09,508.25,508.25,508.25,508.25,-1.45%
1980-05-12,513.25,513.25,513.25,513.25,0.98%
1980-05-13,512,512,512,512,-0.24%
1980-05-14,525,525,525,525,2.54%
1980-05-15,517,517,517,517,-1.52%
1980-05-16,516.5,516.5,516.5,516.5,-0.10%
1980-05-19,514.25,514.25,514.25,514.25,-0.44%
1980-05-20,507.75,507.75,507.75,507.75,-1.26%
1980-05-21,513.5,513.5,513.5,513.5,1.13%
1980-05-22,513.5,513.5,513.5,513.5,0.00%
1980-05-23,511.25,511.25,511.25,511.25,-0.44%
1980-05-26,511.25,511.25,511.25,511.25,0.00%
1980-05-27,514.8,514.8,514.8,514.8,0.69%
1980-05-28,526.5,526.5,526.5,526.5,2.27%
1980-05-29,519.6,519.6,519.6,519.6,-1.31%
1980-05-30,535.5,535.5,535.5,535.5,3.06%
1980-06-02,561.5,561.5,561.5,561.5,4.86%
1980-06-03,552.5,552.5,552.5,552.5,-1.60%
1980-06-04,571.5,571.5,571.5,571.5,3.44%
1980-06-05,581.75,581.75,581.75,581.75,1.79%
1980-06-06,581.75,581.75,581.75,581.75,0.00%
1980-06-09,623.75,623.75,623.75,623.75,7.22%
1980-06-10,604,604,604,604,-3.17%
1980-06-11,596,596,596,596,-1.32%
1980-06-12,590,590,590,590,-1.01%
1980-06-13,608.4,608.4,608.4,608.4,3.12%
1980-06-16,590,590,590,590,-3.02%
1980-06-17,591.75,591.75,591.75,591.75,0.30%
1980-06-18,602.5,602.5,602.5,602.5,1.82%
1980-06-19,599,599,599,599,-0.58%
1980-06-20,602.5,602.5,602.5,602.5,0.58%
1980-06-23,602.5,602.5,602.5,602.5,0.00%
1980-06-24,603,603,603,603,0.08%
1980-06-25,622.5,622.5,622.5,622.5,3.23%
1980-06-26,624.5,624.5,624.5,624.5,0.32%
1980-06-27,637.5,637.5,637.5,637.5,2.08%
1980-06-30,653.5,653.5,653.5,653.5,2.51%
1980-07-01,660,660,660,660,0.99%
1980-07-02,661.5,661.5,661.5,661.5,0.23%
1980-07-03,663.5,663.5,663.5,663.5,0.30%
1980-07-04,663.5,663.5,663.5,663.5,0.00%
1980-07-07,667.5,667.5,667.5,667.5,0.60%
1980-07-08,687.5,687.5,687.5,687.5,3.00%
1980-07-09,671,671,671,671,-2.40%
1980-07-10,656.5,656.5,656.5,656.5,-2.16%
1980-07-11,666.7,666.7,666.7,666.7,1.55%
1980-07-14,650,650,650,650,-2.50%
1980-07-15,619.5,619.5,619.5,619.5,-4.69%
1980-07-16,624.75,624.75,624.75,624.75,0.85%
1980-07-17,627.25,627.25,627.25,627.25,0.40%
1980-07-18,606,606,606,606,-3.39%
1980-07-21,617.5,617.5,617.5,617.5,1.90%
1980-07-22,613,613,613,613,-0.73%
1980-07-23,631.25,631.25,631.25,631.25,2.98%
1980-07-24,643,643,643,643,1.86%
1980-07-25,651.75,651.75,651.75,651.75,1.36%
1980-07-28,643.5,643.5,643.5,643.5,-1.27%
1980-07-29,646.75,646.75,646.75,646.75,0.51%
1980-07-30,629,629,629,629,-2.74%
1980-07-31,614.25,614.25,614.25,614.25,-2.34%
1980-08-01,622,622,622,622,1.26%
1980-08-04,630.75,630.75,630.75,630.75,1.41%
1980-08-05,630.5,630.5,630.5,630.5,-0.04%
1980-08-06,627.75,627.75,627.75,627.75,-0.44%
1980-08-07,629.5,629.5,629.5,629.5,0.28%
1980-08-08,630,630,630,630,0.08%
1980-08-11,617,617,617,617,-2.06%
1980-08-12,605,605,605,605,-1.94%
1980-08-13,615.25,615.25,615.25,615.25,1.69%
1980-08-14,626,626,626,626,1.75%
1980-08-15,624.5,624.5,624.5,624.5,-0.24%
1980-08-18,612.5,612.5,612.5,612.5,-1.92%
1980-08-19,624,624,624,624,1.88%
1980-08-20,634.75,634.75,634.75,634.75,1.72%
1980-08-21,645.25,645.25,645.25,645.25,1.65%
1980-08-22,639.2,639.2,639.2,639.2,-0.94%
1980-08-25,634.75,634.75,634.75,634.75,-0.70%
1980-08-26,628.85,628.85,628.85,628.85,-0.93%
1980-08-27,633.85,633.85,633.85,633.85,0.80%
1980-08-28,635.3,635.3,635.3,635.3,0.23%
1980-08-29,631.25,631.25,631.25,631.25,-0.64%
1980-09-01,631.25,631.25,631.25,631.25,0.00%
1980-09-02,640,640,640,640,1.39%
1980-09-03,636.75,636.75,636.75,636.75,-0.51%
1980-09-04,647.25,647.25,647.25,647.25,1.65%
1980-09-05,651,651,651,651,0.58%
1980-09-08,672,672,672,672,3.23%
1980-09-09,670.5,670.5,670.5,670.5,-0.22%
1980-09-10,686.5,686.5,686.5,686.5,2.39%
1980-09-11,674,674,674,674,-1.82%
1980-09-12,685.5,685.5,685.5,685.5,1.71%
1980-09-15,666.5,666.5,666.5,666.5,-2.77%
1980-09-16,668,668,668,668,0.23%
1980-09-17,673,673,673,673,0.75%
1980-09-18,672.25,672.25,672.25,672.25,-0.11%
1980-09-19,674,674,674,674,0.26%
1980-09-22,710,710,710,710,5.34%
1980-09-23,711,711,711,711,0.14%
1980-09-24,710.5,710.5,710.5,710.5,-0.07%
1980-09-25,697.75,697.75,697.75,697.75,-1.79%
1980-09-26,698.25,698.25,698.25,698.25,0.07%
1980-09-29,679.25,679.25,679.25,679.25,-2.72%
1980-09-30,666.75,666.75,666.75,666.75,-1.84%
1980-10-01,682,682,682,682,2.29%
1980-10-02,665.75,665.75,665.75,665.75,-2.38%
1980-10-03,660.5,660.5,660.5,660.5,-0.79%
1980-10-06,675.8,675.8,675.8,675.8,2.32%
1980-10-07,678.15,678.15,678.15,678.15,0.35%
1980-10-08,677,677,677,677,-0.17%
1980-10-09,690,690,690,690,1.92%
1980-10-10,685.25,685.25,685.25,685.25,-0.69%
1980-10-13,685.25,685.25,685.25,685.25,0.00%
1980-10-14,668.5,668.5,668.5,668.5,-2.44%
1980-10-15,678.3,678.3,678.3,678.3,1.47%
1980-10-16,674,674,674,674,-0.63%
1980-10-17,670.5,670.5,670.5,670.5,-0.52%
1980-10-20,657,657,657,657,-2.01%
1980-10-21,652.5,652.5,652.5,652.5,-0.68%
1980-10-22,660,660,660,660,1.15%
1980-10-23,634.5,634.5,634.5,634.5,-3.86%
1980-10-24,633,633,633,633,-0.24%
1980-10-27,637.25,637.25,637.25,637.25,0.67%
1980-10-28,631.75,631.75,631.75,631.75,-0.86%
1980-10-29,644,644,644,644,1.94%
1980-10-30,642.8,642.8,642.8,642.8,-0.19%
1980-10-31,629,629,629,629,-2.15%
1980-11-03,640.5,640.5,640.5,640.5,1.83%
1980-11-04,640.5,640.5,640.5,640.5,0.00%
1980-11-05,652,652,652,652,1.80%
1980-11-06,632,632,632,632,-3.07%
1980-11-07,596,596,596,596,-5.70%
1980-11-10,612.8,612.8,612.8,612.8,2.82%
1980-11-11,598.5,598.5,598.5,598.5,-2.33%
1980-11-12,619.5,619.5,619.5,619.5,3.51%
1980-11-13,622,622,622,622,0.40%
1980-11-14,612.5,612.5,612.5,612.5,-1.53%
1980-11-17,611.75,611.75,611.75,611.75,-0.12%
1980-11-18,619,619,619,619,1.19%
1980-11-19,629.75,629.75,629.75,629.75,1.74%
1980-11-20,630.5,630.5,630.5,630.5,0.12%
1980-11-21,634.75,634.75,634.75,634.75,0.67%
1980-11-24,631,631,631,631,-0.59%
1980-11-25,616.35,616.35,616.35,616.35,-2.32%
1980-11-26,623,623,623,623,1.08%
1980-11-27,623,623,623,623,0.00%
1980-11-28,623,623,623,623,0.00%
1980-12-01,635.3,635.3,635.3,635.3,1.97%
1980-12-02,627,627,627,627,-1.31%
1980-12-03,627.5,627.5,627.5,627.5,0.08%
1980-12-04,631.5,631.5,631.5,631.5,0.64%
1980-12-05,617,617,617,617,-2.30%
1980-12-08,617.25,617.25,617.25,617.25,0.04%
1980-12-09,604,604,604,604,-2.15%
1980-12-10,579,579,579,579,-4.14%
1980-12-11,558,558,558,558,-3.63%
1980-12-12,562.75,562.75,562.75,562.75,0.85%
1980-12-15,579.3,579.3,579.3,579.3,2.94%
1980-12-16,561,561,561,561,-3.16%
1980-12-17,575.75,575.75,575.75,575.75,2.63%
1980-12-18,573.5,573.5,573.5,573.5,-0.39%
1980-12-19,575,575,575,575,0.26%
1980-12-22,594.75,594.75,594.75,594.75,3.43%
1980-12-23,602.5,602.5,602.5,602.5,1.30%
1980-12-24,601,601,601,601,-0.25%
1980-12-25,601,601,601,601,0.00%
1980-12-26,601,601,601,601,0.00%
1980-12-29,593.75,593.75,593.75,593.75,-1.21%
1980-12-30,589.25,589.25,589.25,589.25,-0.76%
1980-12-31,586,586,586,586,-0.55%
1981-01-01,586,586,586,586,0.00%
1981-01-02,586,586,586,586,0.00%
1981-01-05,597.5,597.5,597.5,597.5,1.96%
1981-01-06,599.25,599.25,599.25,599.25,0.29%
1981-01-07,585,585,585,585,-2.38%
1981-01-08,574.75,574.75,574.75,574.75,-1.75%
1981-01-09,577.75,577.75,577.75,577.75,0.52%
1981-01-12,562,562,562,562,-2.73%
1981-01-13,562.75,562.75,562.75,562.75,0.13%
1981-01-14,556.5,556.5,556.5,556.5,-1.11%
1981-01-15,571.5,571.5,571.5,571.5,2.70%
1981-01-16,560.75,560.75,560.75,560.75,-1.88%
1981-01-19,566.75,566.75,566.75,566.75,1.07%
1981-01-20,562,562,562,562,-0.84%
1981-01-21,578,578,578,578,2.85%
1981-01-22,564,564,564,564,-2.42%
1981-01-23,553,553,553,553,-1.95%
1981-01-26,528.5,528.5,528.5,528.5,-4.43%
1981-01-27,524,524,524,524,-0.85%
1981-01-28,523.5,523.5,523.5,523.5,-0.10%
1981-01-29,493.75,493.75,493.75,493.75,-5.68%
1981-01-30,506.5,506.5,506.5,506.5,2.58%
1981-02-02,493.5,493.5,493.5,493.5,-2.57%
1981-02-03,486.25,486.25,486.25,486.25,-1.47%
1981-02-04,505,505,505,505,3.86%
1981-02-05,498.5,498.5,498.5,498.5,-1.29%
1981-02-06,500.5,500.5,500.5,500.5,0.40%
1981-02-09,512.5,512.5,512.5,512.5,2.40%
1981-02-10,519.5,519.5,519.5,519.5,1.37%
1981-02-11,501,501,501,501,-3.56%
1981-02-12,490.25,490.25,490.25,490.25,-2.15%
1981-02-13,491.5,491.5,491.5,491.5,0.25%
1981-02-16,491.5,491.5,491.5,491.5,0.00%
1981-02-17,500.75,500.75,500.75,500.75,1.88%
1981-02-18,505,505,505,505,0.85%
1981-02-19,503.25,503.25,503.25,503.25,-0.35%
1981-02-20,511.5,511.5,511.5,511.5,1.64%
1981-02-23,501.5,501.5,501.5,501.5,-1.96%
1981-02-24,503,503,503,503,0.30%
1981-02-25,500.5,500.5,500.5,500.5,-0.50%
1981-02-26,492,492,492,492,-1.70%
1981-02-27,489,489,489,489,-0.61%
1981-03-02,465.5,465.5,465.5,465.5,-4.81%
1981-03-03,471,471,471,471,1.18%
1981-03-04,465.5,465.5,465.5,465.5,-1.17%
1981-03-05,461.5,461.5,461.5,461.5,-0.86%
1981-03-06,467,467,467,467,1.19%
1981-03-09,475.25,475.25,475.25,475.25,1.77%
1981-03-10,487.25,487.25,487.25,487.25,2.52%
1981-03-11,476.25,476.25,476.25,476.25,-2.26%
1981-03-12,478,478,478,478,0.37%
1981-03-13,492,492,492,492,2.93%
1981-03-16,499.75,499.75,499.75,499.75,1.58%
1981-03-17,493.25,493.25,493.25,493.25,-1.30%
1981-03-18,506,506,506,506,2.58%
1981-03-19,510,510,510,510,0.79%
1981-03-20,516.75,516.75,516.75,516.75,1.32%
1981-03-23,526,526,526,526,1.79%
1981-03-24,536.25,536.25,536.25,536.25,1.95%
1981-03-25,528,528,528,528,-1.54%
1981-03-26,539.5,539.5,539.5,539.5,2.18%
1981-03-27,538.75,538.75,538.75,538.75,-0.14%
1981-03-30,526.5,526.5,526.5,526.5,-2.27%
1981-03-31,513.75,513.75,513.75,513.75,-2.42%
1981-04-01,514.25,514.25,514.25,514.25,0.10%
1981-04-02,519.5,519.5,519.5,519.5,1.02%
1981-04-03,523,523,523,523,0.67%
1981-04-06,533.75,533.75,533.75,533.75,2.06%
1981-04-07,514.25,514.25,514.25,514.25,-3.65%
1981-04-08,508.5,508.5,508.5,508.5,-1.12%
1981-04-09,503,503,503,503,-1.08%
1981-04-10,493.5,493.5,493.5,493.5,-1.89%
1981-04-13,473.75,473.75,473.75,473.75,-4.00%
1981-04-14,483,483,483,483,1.95%
1981-04-15,476.25,476.25,476.25,476.25,-1.40%
1981-04-16,482.5,482.5,482.5,482.5,1.31%
1981-04-17,482.5,482.5,482.5,482.5,0.00%
1981-04-20,477,477,477,477,-1.14%
1981-04-21,481,481,481,481,0.84%
1981-04-22,501,501,501,501,4.16%
1981-04-23,488.5,488.5,488.5,488.5,-2.50%
1981-04-24,494.5,494.5,494.5,494.5,1.23%
1981-04-27,483,483,483,483,-2.33%
1981-04-28,482.75,482.75,482.75,482.75,-0.05%
1981-04-29,477.25,477.25,477.25,477.25,-1.14%
1981-04-30,482.75,482.75,482.75,482.75,1.15%
1981-05-01,487.5,487.5,487.5,487.5,0.98%
1981-05-04,481.5,481.5,481.5,481.5,-1.23%
1981-05-05,476.25,476.25,476.25,476.25,-1.09%
1981-05-06,482,482,482,482,1.21%
1981-05-07,477.75,477.75,477.75,477.75,-0.88%
1981-05-08,485.75,485.75,485.75,485.75,1.67%
1981-05-11,493,493,493,493,1.49%
1981-05-12,484,484,484,484,-1.83%
1981-05-13,484.25,484.25,484.25,484.25,0.05%
1981-05-14,476.5,476.5,476.5,476.5,-1.60%
1981-05-15,485,485,485,485,1.78%
1981-05-18,481.75,481.75,481.75,481.75,-0.67%
1981-05-19,481.5,481.5,481.5,481.5,-0.05%
1981-05-20,479.75,479.75,479.75,479.75,-0.36%
1981-05-21,475,475,475,475,-0.99%
1981-05-22,472.75,472.75,472.75,472.75,-0.47%
1981-05-25,472.75,472.75,472.75,472.75,0.00%
1981-05-26,466.5,466.5,466.5,466.5,-1.32%
1981-05-27,466.75,466.75,466.75,466.75,0.05%
1981-05-28,479,479,479,479,2.62%
1981-05-29,479.25,479.25,479.25,479.25,0.05%
1981-06-01,483.25,483.25,483.25,483.25,0.83%
1981-06-02,474,474,474,474,-1.91%
1981-06-03,475.5,475.5,475.5,475.5,0.32%
1981-06-04,462.5,462.5,462.5,462.5,-2.73%
1981-06-05,460,460,460,460,-0.54%
1981-06-08,473.5,473.5,473.5,473.5,2.93%
1981-06-09,460.5,460.5,460.5,460.5,-2.75%
1981-06-10,465.25,465.25,465.25,465.25,1.03%
1981-06-11,464.25,464.25,464.25,464.25,-0.21%
1981-06-12,472,472,472,472,1.67%
1981-06-15,471.75,471.75,471.75,471.75,-0.05%
1981-06-16,461.5,461.5,461.5,461.5,-2.17%
1981-06-17,461.75,461.75,461.75,461.75,0.05%
1981-06-18,459,459,459,459,-0.60%
1981-06-19,458.25,458.25,458.25,458.25,-0.16%
1981-06-22,462,462,462,462,0.82%
1981-06-23,466.5,466.5,466.5,466.5,0.97%
1981-06-24,462,462,462,462,-0.96%
1981-06-25,446.5,446.5,446.5,446.5,-3.35%
1981-06-26,442,442,442,442,-1.01%
1981-06-29,428.75,428.75,428.75,428.75,-3.00%
1981-06-30,426,426,426,426,-0.64%
1981-07-01,422,422,422,422,-0.94%
1981-07-02,414.5,414.5,414.5,414.5,-1.78%
1981-07-03,414.5,414.5,414.5,414.5,0.00%
1981-07-06,403.75,403.75,403.75,403.75,-2.59%
1981-07-07,405,405,405,405,0.31%
1981-07-08,397.75,397.75,397.75,397.75,-1.79%
1981-07-09,406.25,406.25,406.25,406.25,2.14%
1981-07-10,416.5,416.5,416.5,416.5,2.52%
1981-07-13,413,413,413,413,-0.84%
1981-07-14,402.25,402.25,402.25,402.25,-2.60%
1981-07-15,412.25,412.25,412.25,412.25,2.49%
1981-07-16,418.25,418.25,418.25,418.25,1.46%
1981-07-17,415,415,415,415,-0.78%
1981-07-20,412.5,412.5,412.5,412.5,-0.60%
1981-07-21,406,406,406,406,-1.58%
1981-07-22,411.5,411.5,411.5,411.5,1.35%
1981-07-23,407.75,407.75,407.75,407.75,-0.91%
1981-07-24,407.5,407.5,407.5,407.5,-0.06%
1981-07-27,408.75,408.75,408.75,408.75,0.31%
1981-07-28,401.5,401.5,401.5,401.5,-1.77%
1981-07-29,404.2,404.2,404.2,404.2,0.67%
1981-07-30,402.25,402.25,402.25,402.25,-0.48%
1981-07-31,406,406,406,406,0.93%
1981-08-03,392.5,392.5,392.5,392.5,-3.33%
1981-08-04,391.25,391.25,391.25,391.25,-0.32%
1981-08-05,392.4,392.4,392.4,392.4,0.29%
1981-08-06,393.25,393.25,393.25,393.25,0.22%
1981-08-07,397.25,397.25,397.25,397.25,1.02%
1981-08-10,393.75,393.75,393.75,393.75,-0.88%
1981-08-11,401,401,401,401,1.84%
1981-08-12,417.5,417.5,417.5,417.5,4.11%
1981-08-13,407.25,407.25,407.25,407.25,-2.46%
1981-08-14,413,413,413,413,1.41%
1981-08-17,441.5,441.5,441.5,441.5,6.90%
1981-08-18,420,420,420,420,-4.87%
1981-08-19,431.5,431.5,431.5,431.5,2.74%
1981-08-20,429,429,429,429,-0.58%
1981-08-21,429.5,429.5,429.5,429.5,0.12%
1981-08-24,422,422,422,422,-1.75%
1981-08-25,409.75,409.75,409.75,409.75,-2.90%
1981-08-26,414,414,414,414,1.04%
1981-08-27,411.75,411.75,411.75,411.75,-0.54%
1981-08-28,425,425,425,425,3.22%
1981-08-31,427,427,427,427,0.47%
1981-09-01,421.5,421.5,421.5,421.5,-1.29%
1981-09-02,430,430,430,430,2.02%
1981-09-03,436.5,436.5,436.5,436.5,1.51%
1981-09-04,439.5,439.5,439.5,439.5,0.69%
1981-09-07,439.5,439.5,439.5,439.5,0.00%
1981-09-08,439,439,439,439,-0.11%
1981-09-09,436.75,436.75,436.75,436.75,-0.51%
1981-09-10,451.5,451.5,451.5,451.5,3.38%
1981-09-11,448.25,448.25,448.25,448.25,-0.72%
1981-09-14,451.25,451.25,451.25,451.25,0.67%
1981-09-15,456,456,456,456,1.05%
1981-09-16,449,449,449,449,-1.54%
1981-09-17,459,459,459,459,2.23%
1981-09-18,447,447,447,447,-2.61%
1981-09-21,463.5,463.5,463.5,463.5,3.69%
1981-09-22,462,462,462,462,-0.32%
1981-09-23,456.5,456.5,456.5,456.5,-1.19%
1981-09-24,446.25,446.25,446.25,446.25,-2.25%
1981-09-25,450.5,450.5,450.5,450.5,0.95%
1981-09-28,421.5,421.5,421.5,421.5,-6.44%
1981-09-29,431.75,431.75,431.75,431.75,2.43%
1981-09-30,428.75,428.75,428.75,428.75,-0.69%
1981-10-01,436.75,436.75,436.75,436.75,1.87%
1981-10-02,435,435,435,435,-0.40%
1981-10-05,441.25,441.25,441.25,441.25,1.44%
1981-10-06,443,443,443,443,0.40%
1981-10-07,445.5,445.5,445.5,445.5,0.56%
1981-10-08,443.25,443.25,443.25,443.25,-0.51%
1981-10-09,453.5,453.5,453.5,453.5,2.31%
1981-10-12,453.5,453.5,453.5,453.5,0.00%
1981-10-13,443.25,443.25,443.25,443.25,-2.26%
1981-10-14,444.25,444.25,444.25,444.25,0.23%
1981-10-15,446.65,446.65,446.65,446.65,0.54%
1981-10-16,443.75,443.75,443.75,443.75,-0.65%
1981-10-19,436.7,436.7,436.7,436.7,-1.59%
1981-10-20,437.3,437.3,437.3,437.3,0.14%
1981-10-21,429,429,429,429,-1.90%
1981-10-22,433.75,433.75,433.75,433.75,1.11%
1981-10-23,432.5,432.5,432.5,432.5,-0.29%
1981-10-26,426,426,426,426,-1.50%
1981-10-27,427.4,427.4,427.4,427.4,0.33%
1981-10-28,430.8,430.8,430.8,430.8,0.80%
1981-10-29,424.5,424.5,424.5,424.5,-1.46%
1981-10-30,427,427,427,427,0.59%
1981-11-02,430,430,430,430,0.70%
1981-11-03,428.25,428.25,428.25,428.25,-0.41%
1981-11-04,431.25,431.25,431.25,431.25,0.70%
1981-11-05,428.5,428.5,428.5,428.5,-0.64%
1981-11-06,428.25,428.25,428.25,428.25,-0.06%
1981-11-09,429.75,429.75,429.75,429.75,0.35%
1981-11-10,418.5,418.5,418.5,418.5,-2.62%
1981-11-11,412,412,412,412,-1.55%
1981-11-12,411.5,411.5,411.5,411.5,-0.12%
1981-11-13,412.5,412.5,412.5,412.5,0.24%
1981-11-16,404.25,404.25,404.25,404.25,-2.00%
1981-11-17,398.75,398.75,398.75,398.75,-1.36%
1981-11-18,403.75,403.75,403.75,403.75,1.25%
1981-11-19,401,401,401,401,-0.68%
1981-11-20,401.5,401.5,401.5,401.5,0.12%
1981-11-23,396.75,396.75,396.75,396.75,-1.18%
1981-11-24,399.25,399.25,399.25,399.25,0.63%
1981-11-25,409.5,409.5,409.5,409.5,2.57%
1981-11-26,409.5,409.5,409.5,409.5,0.00%
1981-11-27,409.5,409.5,409.5,409.5,0.00%
1981-11-30,414.5,414.5,414.5,414.5,1.22%
1981-12-01,402.5,402.5,402.5,402.5,-2.90%
1981-12-02,406.75,406.75,406.75,406.75,1.06%
1981-12-03,416.5,416.5,416.5,416.5,2.40%
1981-12-04,426,426,426,426,2.28%
1981-12-07,416.75,416.75,416.75,416.75,-2.17%
1981-12-08,415.25,415.25,415.25,415.25,-0.36%
1981-12-09,410.25,410.25,410.25,410.25,-1.20%
1981-12-10,405.5,405.5,405.5,405.5,-1.16%
1981-12-11,409.75,409.75,409.75,409.75,1.05%
1981-12-14,417.5,417.5,417.5,417.5,1.89%
1981-12-15,413.25,413.25,413.25,413.25,-1.02%
1981-12-16,416.75,416.75,416.75,416.75,0.85%
1981-12-17,416.25,416.25,416.25,416.25,-0.12%
1981-12-18,415.75,415.75,415.75,415.75,-0.12%
1981-12-21,410.5,410.5,410.5,410.5,-1.26%
1981-12-22,399.6,399.6,399.6,399.6,-2.66%
1981-12-23,400.4,400.4,400.4,400.4,0.20%
1981-12-24,400.4,400.4,400.4,400.4,0.00%
1981-12-25,400.4,400.4,400.4,400.4,0.00%
1981-12-28,396,396,396,396,-1.10%
1981-12-29,395,395,395,395,-0.25%
1981-12-30,397.5,397.5,397.5,397.5,0.63%
1981-12-31,401,401,401,401,0.88%
1982-01-01,401,401,401,401,0.00%
1982-01-04,395,395,395,395,-1.50%
1982-01-05,403.5,403.5,403.5,403.5,2.15%
1982-01-06,401.5,401.5,401.5,401.5,-0.50%
1982-01-07,396.5,396.5,396.5,396.5,-1.25%
1982-01-08,400.25,400.25,400.25,400.25,0.95%
1982-01-11,388.25,388.25,388.25,388.25,-3.00%
1982-01-12,389,389,389,389,0.19%
1982-01-13,380,380,380,380,-2.31%
1982-01-14,374.75,374.75,374.75,374.75,-1.38%
1982-01-15,379.25,379.25,379.25,379.25,1.20%
1982-01-18,373.75,373.75,373.75,373.75,-1.45%
1982-01-19,375.25,375.25,375.25,375.25,0.40%
1982-01-20,371.5,371.5,371.5,371.5,-1.00%
1982-01-21,376,376,376,376,1.21%
1982-01-22,377.25,377.25,377.25,377.25,0.33%
1982-01-25,372,372,372,372,-1.39%
1982-01-26,376.5,376.5,376.5,376.5,1.21%
