Date,US_2y
1990-06-25,99.13
1990-06-26,99.14
1990-06-27,99.23
1990-06-28,99.34
1990-06-29,99.45
1990-07-02,99.44
1990-07-03,99.52
1990-07-05,99.46
1990-07-06,99.25
1990-07-09,99.17
1990-07-10,99.14
1990-07-11,99.19
1990-07-12,99.48
1990-07-13,99.48
1990-07-16,99.76
1990-07-17,99.61
1990-07-18,99.59
1990-07-19,99.62
1990-07-20,99.7
1990-07-23,99.75
1990-07-24,99.62
1990-07-25,99.66
1990-07-26,99.67
1990-07-27,99.84
1990-07-30,100.31
1990-07-31,100.69
1990-08-01,100.22
1990-08-02,100.06
1990-08-03,100.14
1990-08-06,100.04
1990-08-07,99.86
1990-08-08,99.81
1990-08-09,99.89
1990-08-10,99.98
1990-08-13,100.02
1990-08-14,100.01
1990-08-15,100
1990-08-16,99.75
1990-08-17,99.7
1990-08-20,99.69
1990-08-21,99.58
1990-08-22,99.5
1990-08-23,99.47
1990-08-24,99.41
1990-08-27,99.58
1990-08-28,99.5
1990-08-29,99.64
1990-08-30,99.69
1990-08-31,99.78
1990-09-04,99.76
1990-09-05,99.85
1990-09-06,99.84
1990-09-07,99.88
1990-09-10,99.79
1990-09-11,99.78
1990-09-12,99.88
1990-09-13,99.92
1990-09-14,99.92
1990-09-17,99.92
1990-09-18,99.94
1990-09-19,99.81
1990-09-20,99.73
1990-09-21,99.69
1990-09-24,99.59
1990-09-25,99.59
1990-09-26,99.58
1990-09-27,99.81
1990-09-28,99.92
1990-10-01,99.97
1990-10-02,100.09
1990-10-03,100.12
1990-10-04,100.19
1990-10-05,100.31
1990-10-08,100.28
1990-10-09,100.05
1990-10-10,99.97
1990-10-11,99.98
1990-10-12,100.06
1990-10-15,100.09
1990-10-16,100.09
1990-10-17,100.09
1990-10-18,100.09
1990-10-19,100.19
1990-10-22,100.23
1990-10-23,100.23
1990-10-24,100.26
1990-10-25,100.34
1990-10-26,100.36
1990-10-29,100.31
1990-10-30,100.31
1990-10-31,100.41
1990-11-01,100.55
1990-11-02,100.56
1990-11-05,100.61
1990-11-06,100.59
1990-11-07,100.53
1990-11-08,100.55
1990-11-09,100.67
1990-11-12,100.77
1990-11-13,100.74
1990-11-14,100.74
1990-11-15,100.7
1990-11-16,100.74
1990-11-19,100.69
1990-11-20,100.66
1990-11-21,100.86
1990-11-23,100.81
1990-11-26,100.81
1990-11-27,100.78
1990-11-28,100.66
1990-11-29,100.62
1990-12-03,100.72
1990-12-04,100.8
1990-12-05,100.82
1990-12-06,100.81
1990-12-07,101.05
1990-12-10,101.12
1990-12-11,101.12
1990-12-12,101.19
1990-12-13,101.15
1990-12-14,100.94
1990-12-17,101.04
1990-12-18,101.12
1990-12-19,101.22
1990-12-20,101.03
1990-12-21,101.09
1990-12-24,101
1990-12-26,101.08
1990-12-27,101.16
1990-12-28,101.13
1990-12-31,101.27
1991-01-02,101.48
1991-01-03,101.48
1991-01-04,101.31
1991-01-07,101.23
1991-01-08,101.3
1991-01-09,101.27
1991-01-10,101.36
1991-01-11,101.33
1991-01-14,101.31
1991-01-15,101.3
1991-01-16,101.22
1991-01-17,101.28
1991-01-18,101.36
1991-01-21,101.38
1991-01-22,101.35
1991-01-23,101.53
1991-01-24,101.45
1991-01-25,101.41
1991-01-28,101.39
1991-01-29,101.42
1991-01-30,101.44
1991-01-31,101.49
1991-02-01,101.81
1991-02-04,101.88
1991-02-05,101.88
1991-02-06,101.86
1991-02-07,101.86
1991-02-08,101.88
1991-02-11,101.95
1991-02-12,101.95
1991-02-13,102
1991-02-14,102.02
1991-02-15,101.91
1991-02-19,101.77
1991-02-20,101.73
1991-02-21,101.74
1991-02-22,101.59
1991-02-25,101.6
1991-02-26,101.55
1991-02-27,101.54
1991-02-28,101.51
1991-03-01,101.25
1991-03-04,101.32
1991-03-05,101.39
1991-03-06,101.38
1991-03-07,101.43
1991-03-08,101.51
1991-03-11,101.55
1991-03-12,101.57
1991-03-13,101.69
1991-03-14,101.73
1991-03-15,101.66
1991-03-18,101.57
1991-03-19,101.34
1991-03-20,100.96
1991-03-21,101.08
1991-03-22,101.09
1991-03-25,101.11
1991-03-26,101.06
1991-03-27,101.17
1991-03-28,101.28
1991-04-01,101.28
1991-04-02,101.37
1991-04-03,101.34
1991-04-04,101.41
1991-04-05,101.45
1991-04-08,101.5
1991-04-09,101.46
1991-04-10,101.26
1991-04-11,101.33
1991-04-12,101.48
1991-04-15,101.47
1991-04-16,101.42
1991-04-17,101.46
1991-04-18,101.3
1991-04-19,101.23
1991-04-22,101.19
1991-04-23,101.27
1991-04-24,101.38
1991-04-25,101.47
1991-04-26,101.5
1991-04-29,101.52
1991-04-30,101.65
1991-05-01,101.64
1991-05-02,101.7
1991-05-03,101.66
1991-05-06,101.64
1991-05-07,101.67
1991-05-08,101.62
1991-05-09,101.61
1991-05-10,101.58
1991-05-13,101.65
1991-05-14,101.66
1991-05-15,101.69
1991-05-16,101.67
1991-05-17,101.69
1991-05-20,101.66
1991-05-21,101.72
1991-05-22,101.81
1991-05-23,101.88
1991-05-24,101.92
1991-05-28,101.98
1991-05-29,101.94
1991-05-30,102.02
1991-05-31,101.89
1991-06-03,101.73
1991-06-04,101.75
1991-06-05,101.66
1991-06-06,101.56
1991-06-07,101.42
1991-06-10,101.44
1991-06-11,101.42
1991-06-12,101.3
1991-06-13,101.36
1991-06-14,101.47
1991-06-17,101.48
1991-06-18,101.46
1991-06-19,101.47
1991-06-20,100.97
1991-06-21,100.91
1991-06-24,100.84
1991-06-25,100.84
1991-06-26,100.91
1991-06-27,100.98
1991-06-28,101.19
1991-07-01,101.07
1991-07-02,101.02
1991-07-03,101.05
1991-07-05,100.94
1991-07-08,101.02
1991-07-09,101.05
1991-07-10,101.14
1991-07-11,101.22
1991-07-12,101.27
1991-07-15,101.32
1991-07-16,101.31
1991-07-17,101.25
1991-07-18,101.25
1991-07-19,101.34
1991-07-22,101.34
1991-07-23,101.31
1991-07-24,101.45
1991-07-25,101.51
1991-07-26,101.59
1991-07-29,101.63
1991-07-30,101.64
1991-07-31,101.72
1991-08-01,101.63
1991-08-02,102.03
1991-08-05,101.99
1991-08-06,102.19
1991-08-07,102.27
1991-08-08,102.31
1991-08-09,102.37
1991-08-12,102.41
1991-08-13,102.45
1991-08-14,102.63
1991-08-15,102.64
1991-08-16,102.74
1991-08-19,102.88
1991-08-20,103
1991-08-21,102.81
1991-08-22,102.82
1991-08-23,102.58
1991-08-26,102.48
1991-08-27,102.6
1991-08-28,102.76
1991-08-29,102.89
1991-08-30,102.74
1991-09-03,102.78
1991-09-04,102.83
1991-09-05,102.84
1991-09-06,102.94
1991-09-09,102.99
1991-09-10,103.02
1991-09-11,103
1991-09-12,103.06
1991-09-13,103.12
1991-09-16,103.14
1991-09-17,103.13
1991-09-18,103.15
1991-09-19,103.09
1991-09-20,102.61
1991-09-23,102.62
1991-09-24,102.66
1991-09-25,102.7
1991-09-26,102.83
1991-09-27,102.92
1991-09-30,102.97
1991-10-01,102.97
1991-10-02,102.95
1991-10-03,103.02
1991-10-04,103.2
1991-10-07,103.19
1991-10-08,103.21
1991-10-09,103.13
1991-10-10,103.07
1991-10-11,103.22
1991-10-14,103.28
1991-10-15,103.31
1991-10-16,103.33
1991-10-17,103.2
1991-10-18,103.22
1991-10-21,103.14
1991-10-22,103.1
1991-10-23,103.09
1991-10-24,103.25
1991-10-25,103.26
1991-10-28,103.35
1991-10-29,103.54
1991-10-30,103.58
1991-10-31,103.66
1991-11-01,103.73
1991-11-04,103.77
1991-11-05,103.67
1991-11-06,103.79
1991-11-07,103.84
1991-11-08,103.81
1991-11-11,103.8
1991-11-12,103.8
1991-11-13,103.8
1991-11-14,103.92
1991-11-15,104.05
1991-11-18,104.03
1991-11-19,104.12
1991-11-20,104.11
1991-11-21,104.17
1991-11-22,104.15
1991-11-25,104.12
1991-11-26,104.25
1991-11-27,104.28
1991-11-29,104.39
1991-12-02,104.49
1991-12-03,104.57
1991-12-04,104.72
1991-12-05,104.69
1991-12-06,104.73
1991-12-09,104.95
1991-12-10,104.95
1991-12-11,105.01
1991-12-12,105.04
1991-12-13,104.96
1991-12-16,105.06
1991-12-17,105.14
1991-12-18,105
1991-12-19,105.09
1991-12-20,104.92
1991-12-23,105.03
1991-12-24,104.96
1991-12-26,104.96
1991-12-27,104.96
1991-12-30,105.08
1991-12-31,105.16
1992-01-02,105.14
1992-01-03,105.07
1992-01-06,105.16
1992-01-07,105.33
1992-01-08,105.33
1992-01-09,105.19
1992-01-10,105.05
1992-01-13,104.83
1992-01-14,104.64
1992-01-15,104.47
1992-01-16,104.48
1992-01-17,104.67
1992-01-20,104.78
