"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-01",2.238045,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-02",2.262873,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-03",2.080744,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-04",1.78482,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-05",1.835688,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-06",2.810526,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-07",3.331352,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-08",3.784419,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-09",4.838993,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-10",4.732872,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-11",4.205523,
"AUT","PPI","TOT_MKT","AGRWTH","M","2000-12",3.029663,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-01",2.277904,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-02",1.931818,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-03",1.473923,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-04",1.585504,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-05",1.127396,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-06",0.7856341,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-07",0.5611672,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-08",-0.1118568,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-09",-1.216814,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-10",-1.659292,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-11",-1.99115,
"AUT","PPI","TOT_MKT","AGRWTH","M","2001-12",-2.108768,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-01",-1.670379,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-02",-2.006689,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-03",-1.22905,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-04",-1.337793,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-05",-1.337793,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-06",-1.670379,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-07",-1.5625,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-08",-1.119821,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-09",-0.7838746,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-10",-0.4499438,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-11",-0.5643341,
"AUT","PPI","TOT_MKT","AGRWTH","M","2002-12",-0.1133787,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-01",0.2265006,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-02",1.365188,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-03",0.7918552,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-04",-0.4519774,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-05",-0.4519774,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-06",-0.2265006,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-07",-0.3401361,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-08",-0.4530011,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-09",-0.9029346,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-10",-0.7909604,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-11",-0.2270148,
"AUT","PPI","TOT_MKT","AGRWTH","M","2003-12",-0.3405221,
"AUT","PPI","TOT_MKT","AGRWTH","M","2004-01",-0.2259887,
"AUT","PPI","TOT_MKT","AGRWTH","M","2004-02",-0.8978676,
"AUT","PPI","TOT_MKT","AGRWTH","M","2004-03",-0.5611672,
"AUT","PPI","TOT_MKT","AGRWTH","M","2004-04",0.7945517,
"AUT","PPI","TOT_MKT","AGRWTH","M","2004-05",1.475596,
