Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,491.8,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-16,487.81714285714287,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008131501409205377,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-17,483.8342857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008198165171182659,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-18,479.8514285714286,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008265931021672834,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-19,475.86857142857144,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00833482651829609,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-20,471.8857142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008404880145167937,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-21,467.90285714285716,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008476121352168242,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-22,463.92,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008548580596213995,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-23,464.92285714285714,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0021593696389619055,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
2021-02-24,465.9257142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0021547168071034406,NA,1.068262,0.016666666666666666,Future,1,2,0.001,2,0.7,0,0.35,NA,NA,NA,NA,857.5,NA
