Date,Propane
Mar-2010,1.136
Apr-2010,1.137
May-2010,1.082
Jun-2010,1.037
Jul-2010,1.01
Aug-2010,1.072
Sep-2010,1.132
Oct-2010,1.234
Nov-2010,1.254
Dec-2010,1.296
Jan-2011,1.348
Feb-2011,1.379
Mar-2011,1.397
Apr-2011,1.454
May-2011,1.521
Jun-2011,1.52
Jul-2011,1.528
Aug-2011,1.528
Sep-2011,1.56
Oct-2011,1.472
Nov-2011,1.458
Dec-2011,1.395
Jan-2012,1.294
Feb-2012,1.22
Mar-2012,1.261
Apr-2012,1.196
May-2012,0.954
Jun-2012,0.788
Jul-2012,0.874
Aug-2012,0.901
Sep-2012,0.91
Oct-2012,0.962
Nov-2012,0.89
Dec-2012,0.797
Jan-2013,0.838
Feb-2013,0.862
Mar-2013,0.895
Apr-2013,0.939
May-2013,0.932
Jun-2013,0.863
Jul-2013,0.92
Aug-2013,1.061
Sep-2013,1.107
Oct-2013,1.136
Nov-2013,1.181
Dec-2013,1.275
Jan-2014,1.395
Feb-2014,1.443
Mar-2014,1.064
Apr-2014,1.101
May-2014,1.043
Jun-2014,1.046
Jul-2014,1.036
Aug-2014,1.018
Sep-2014,1.062
Oct-2014,0.936
Nov-2014,0.802
Dec-2014,0.558
Jan-2015,0.478
Feb-2015,0.573
Mar-2015,0.542
Apr-2015,0.548
May-2015,0.47
Jun-2015,0.369
Jul-2015,0.409
Aug-2015,0.374
Sep-2015,0.453
Oct-2015,0.451
Nov-2015,0.43
Dec-2015,0.387
Jan-2016,0.336
Feb-2016,0.375
Mar-2016,0.452
Apr-2016,0.457
May-2016,0.516
Jun-2016,0.507
Jul-2016,0.478
Aug-2016,0.449
Sep-2016,0.495
Oct-2016,0.573
Nov-2016,0.538
Dec-2016,0.637
Jan-2017,0.747
Feb-2017,0.768
Mar-2017,0.615
Apr-2017,0.651
May-2017,0.64
Jun-2017,0.59
Jul-2017,0.647
Aug-2017,0.758
Sep-2017,0.883
Oct-2017,0.934
Nov-2017,0.98
Dec-2017,0.957
Jan-2018,0.904
Feb-2018,0.827
Mar-2018,0.788
Apr-2018,0.821
May-2018,0.917
Jun-2018,0.88
Jul-2018,0.938
Aug-2018,0.974
Sep-2018,1.057
Oct-2018,0.959
Nov-2018,0.745
Dec-2018,0.677
Jan-2019,0.665
Feb-2019,0.673
Mar-2019,0.67
Apr-2019,0.642
May-2019,0.577
Jun-2019,0.449
Jul-2019,0.487
Aug-2019,0.405
Sep-2019,0.448
Oct-2019,0.466
Nov-2019,0.533
Dec-2019,0.496
Jan-2020,0.43
Feb-2020,0.397
Mar-2020,0.292
Apr-2020,0.327
May-2020,0.417
Jun-2020,0.496
Jul-2020,0.491
Aug-2020,0.506
Sep-2020,0.495
Oct-2020,0.526
Nov-2020,0.545
Dec-2020,0.644
Jan-2021,0.863
Feb-2021,0.905
Mar-2021,0.922
Apr-2021,0.823
May-2021,0.816
Jun-2021,0.965
Jul-2021,1.09
Aug-2021,1.115
Sep-2021,1.291
Oct-2021,1.454
Nov-2021,1.252
Dec-2021,1.033
Jan-2022,1.169
Feb-2022,1.283
Mar-2022,1.448
Apr-2022,1.302
May-2022,1.223
Jun-2022,1.219
Jul-2022,1.142
Aug-2022,1.093
Sep-2022,0.991
Oct-2022,0.859
