Date,Close,Symbol
2025-04-17,1.06947,ui
2025-04-16,1.07372,ui
2025-04-15,1.07556,ui
2025-04-14,1.0766,ui
2025-04-11,1.07925,ui
2025-04-10,1.08453,ui
2025-04-09,1.09022,ui
2025-04-08,1.0766,ui
2025-04-07,1.08058,ui
2025-04-04,1.07943,ui
2025-04-03,1.09223,ui
2025-04-02,1.09611,ui
2025-04-01,1.10135,ui
2025-03-31,1.10012,ui
2025-03-28,1.0998,ui
2025-03-27,1.09841,ui
2025-03-26,1.09928,ui
2025-03-25,1.09952,ui
2025-03-24,1.09737,ui
2025-03-21,1.09409,ui
2025-03-20,1.0947,ui
2025-03-19,1.09326,ui
2025-03-18,1.09312,ui
2025-03-17,1.09694,ui
2025-03-14,1.10029,ui
2025-03-13,1.10292,ui
2025-03-12,1.1031,ui
2025-03-11,1.10185,ui
2025-03-10,1.10171,ui
2025-03-07,1.10457,ui
2025-03-06,1.10425,ui
2025-03-05,1.1063,ui
2025-03-04,1.10719,ui
2025-03-03,1.10826,ui
2025-02-28,1.1089,ui
2025-02-27,1.10731,ui
2025-02-26,1.10698,ui
2025-02-25,1.10807,ui
2025-02-24,1.10752,ui
2025-02-21,1.10705,ui
2025-02-20,1.1107,ui
2025-02-19,1.11213,ui
2025-02-18,1.11359,ui
2025-02-17,1.1082,ui
2025-02-14,1.10867,ui
2025-02-13,1.11282,ui
2025-02-12,1.11297,ui
2025-02-11,1.11326,ui
2025-02-10,1.11285,ui
2025-02-07,1.10834,ui
2025-02-06,1.10728,ui
2025-02-05,1.10509,ui
2025-02-04,1.1069,ui
2025-02-03,1.10617,ui
2025-01-31,1.10167,ui
2025-01-30,1.10196,ui
2025-01-29,1.10125,ui
2025-01-28,1.1034,ui
2025-01-27,1.10537,ui
2025-01-24,1.10609,ui
2025-01-23,1.10753,ui
2025-01-22,1.10744,ui
2025-01-21,1.10466,ui
2025-01-20,1.10629,ui
2025-01-17,1.1092,ui
2025-01-16,1.10797,ui
2025-01-15,1.10887,ui
2025-01-14,1.10543,ui
2025-01-13,1.10635,ui
2025-01-10,1.10618,ui
2025-01-09,1.10641,ui
2025-01-08,1.10818,ui
2025-01-07,1.10582,ui
2025-01-06,1.10683,ui
2025-01-03,1.1074,ui
2025-01-02,1.10885,ui
2024-12-31,1.10581,ui
2024-12-30,1.10316,ui
2024-12-27,1.1035,ui
2024-12-26,1.10623,ui
2024-12-24,1.10336,ui
2024-12-23,1.10624,ui
2024-12-20,1.10537,ui
2024-12-19,1.10798,ui
2024-12-18,1.10562,ui
2024-12-17,1.10139,ui
2024-12-16,1.10189,ui
2024-12-13,1.10377,ui
2024-12-12,1.10394,ui
2024-12-11,1.10113,ui
2024-12-10,1.0997,ui
2024-12-09,1.09804,ui
2024-12-06,1.09609,ui
2024-12-05,1.09629,ui
2024-12-04,1.09914,ui
2024-12-03,1.10282,ui
2024-12-02,1.09996,ui
2024-11-29,1.09972,ui
2024-11-28,1.10363,ui
2024-11-27,1.1022,ui
2024-11-26,1.10989,ui
2024-11-25,1.11268,ui
2024-11-22,1.11428,ui
2024-11-21,1.11117,ui
2024-11-20,1.10706,ui
2024-11-19,1.10479,ui
2024-11-18,1.10436,ui
2024-11-15,1.1022,ui
2024-11-14,1.10333,ui
2024-11-13,1.10302,ui
2024-11-12,1.10241,ui
2024-11-11,1.10235,ui
2024-11-08,1.10286,ui
2024-11-07,1.10854,ui
2024-11-06,1.10646,ui
2024-11-05,1.10498,ui
2024-11-04,1.10253,ui
2024-11-01,1.10007,ui
2024-10-31,1.10125,ui
2024-10-30,1.1003,ui
2024-10-29,1.0983,ui
2024-10-28,1.10072,ui
2024-10-25,1.10488,ui
2024-10-24,1.10383,ui
2024-10-23,1.10475,ui
2024-10-22,1.10561,ui
2024-10-21,1.10408,ui
2024-10-18,1.1045,ui
2024-10-17,1.10504,ui
2024-10-16,1.10065,ui
2024-10-15,1.10197,ui
2024-10-14,1.10342,ui
2024-10-11,1.10494,ui
2024-10-10,1.1059,ui
2024-10-09,1.10814,ui
2024-10-08,1.09912,ui
2024-10-07,1.1033,ui
2024-10-04,1.10322,ui
2024-10-03,1.10104,ui
2024-10-02,1.09944,ui
2024-10-01,1.09599,ui
2024-09-30,1.08892,ui
2024-09-27,1.08852,ui
2024-09-26,1.08979,ui
2024-09-25,1.08964,ui
2024-09-24,1.08708,ui
2024-09-23,1.09113,ui
2024-09-20,1.09136,ui
2024-09-19,1.0922,ui
2024-09-18,1.08939,ui
2024-09-17,1.09255,ui
2024-09-16,1.0888,ui
2024-09-13,1.08878,ui
2024-09-12,1.08735,ui
2024-09-11,1.08759,ui
2024-09-10,1.0818,ui
2024-09-09,1.08397,ui
2024-09-06,1.08024,ui
2024-09-05,1.08303,ui
2024-09-04,1.08485,ui
2024-09-03,1.08505,ui
2024-09-02,1.08978,ui
2024-08-30,1.08248,ui
2024-08-29,1.08635,ui
2024-08-28,1.08651,ui
2024-08-27,1.08659,ui
2024-08-26,1.09159,ui
2024-08-23,1.09009,ui
2024-08-22,1.09244,ui
2024-08-21,1.09532,ui
2024-08-20,1.0963,ui
2024-08-19,1.10105,ui
2024-08-16,1.10164,ui
2024-08-15,1.10477,ui
2024-08-14,1.10041,ui
2024-08-13,1.09167,ui
2024-08-12,1.09366,ui
2024-08-09,1.09554,ui
2024-08-08,1.09655,ui
2024-08-07,1.08758,ui
2024-08-06,1.09026,ui
2024-08-05,1.09391,ui
2024-08-02,1.09286,ui
2024-08-01,1.09283,ui
2024-07-31,1.09937,ui
2024-07-30,1.10739,ui
2024-07-29,1.11477,ui
2024-07-26,1.11212,ui
2024-07-25,1.11057,ui
2024-07-24,1.1098,ui
2024-07-23,1.11065,ui
2024-07-22,1.11098,ui
2024-07-19,1.11244,ui
2024-07-18,1.10928,ui
2024-07-17,1.10633,ui
2024-07-16,1.11306,ui
2024-07-15,1.11278,ui
2024-07-12,1.10877,ui
2024-07-11,1.10889,ui
2024-07-10,1.10955,ui
2024-07-09,1.10042,ui
2024-07-08,1.09989,ui
2024-07-05,1.09819,ui
2024-07-04,1.0995,ui
2024-07-03,1.09871,ui
2024-07-02,1.0969,ui
2024-07-01,1.09613,ui
2024-06-28,1.09499,ui
2024-06-27,1.09269,ui
2024-06-26,1.09287,ui
2024-06-25,1.08596,ui
2024-06-24,1.0869,ui
2024-06-21,1.08543,ui
2024-06-20,1.08761,ui
2024-06-19,1.08808,ui
2024-06-18,1.08335,ui
2024-06-17,1.07853,ui
2024-06-14,1.07705,ui
2024-06-13,1.07567,ui
2024-06-12,1.07731,ui
2024-06-11,1.07519,ui
2024-06-10,1.07866,ui
2024-06-07,1.07748,ui
2024-06-06,1.07546,ui
2024-06-05,1.07343,ui
2024-06-04,1.07643,ui
2024-06-03,1.08019,ui
2024-05-31,1.08285,ui
2024-05-30,1.08482,ui
2024-05-29,1.08105,ui
2024-05-28,1.08287,ui
2024-05-27,1.08204,ui
2024-05-24,1.0828,ui
2024-05-23,1.08317,ui
2024-05-22,1.08577,ui
2024-05-21,1.09423,ui
2024-05-20,1.09215,ui
2024-05-17,1.0912,ui
2024-05-16,1.09094,ui
2024-05-15,1.09332,ui
2024-05-14,1.09699,ui
2024-05-13,1.09837,ui
2024-05-10,1.09696,ui
2024-05-09,1.09696,ui
2024-05-08,1.09587,ui
2024-05-07,1.09912,ui
2024-05-06,1.1025,ui
2024-05-03,1.09966,ui
2024-05-02,1.10129,ui
2024-05-01,1.09999,ui
2024-04-30,1.0994,ui
2024-04-29,1.0986,ui
2024-04-26,1.09988,ui
2024-04-25,1.09587,ui
2024-04-24,1.09461,ui
2024-04-23,1.09352,ui
2024-04-22,1.08952,ui
2024-04-19,1.09006,ui
2024-04-18,1.08797,ui
2024-04-17,1.0875,ui
2024-04-16,1.08852,ui
2024-04-15,1.09117,ui
2024-04-12,1.08838,ui
2024-04-11,1.09008,ui
2024-04-10,1.09,ui
2024-04-09,1.09384,ui
2024-04-08,1.09491,ui
2024-04-05,1.09412,ui
2024-04-04,1.09335,ui
2024-04-03,1.09248,ui
2024-04-02,1.09153,ui
2024-04-01,1.09018,ui
2024-03-29,1.09096,ui
2024-03-28,1.09092,ui
2024-03-27,1.08826,ui
2024-03-26,1.08818,ui
2024-03-25,1.08941,ui
2024-03-22,1.08702,ui
2024-03-21,1.08708,ui
2024-03-20,1.08308,ui
2024-03-19,1.07927,ui
2024-03-18,1.07792,ui
2024-03-15,1.07802,ui
2024-03-14,1.07346,ui
2024-03-13,1.07544,ui
2024-03-12,1.07408,ui
2024-03-11,1.07179,ui
2024-03-08,1.07244,ui
2024-03-07,1.07229,ui
2024-03-06,1.07095,ui
2024-03-05,1.06877,ui
2024-03-04,1.06827,ui
2024-03-01,1.06861,ui
2024-02-29,1.06747,ui
2024-02-28,1.06544,ui
2024-02-27,1.06054,ui
2024-02-26,1.05949,ui
2024-02-23,1.05912,ui
2024-02-22,1.05801,ui
2024-02-21,1.06023,ui
2024-02-20,1.06227,ui
2024-02-19,1.06358,ui
2024-02-16,1.06656,ui
2024-02-15,1.06845,ui
2024-02-14,1.06669,ui
2024-02-13,1.06505,ui
2024-02-12,1.06532,ui
2024-02-09,1.06093,ui
2024-02-08,1.06492,ui
2024-02-07,1.06677,ui
2024-02-06,1.06995,ui
2024-02-05,1.07083,ui
2024-02-02,1.07391,ui
2024-02-01,1.06975,ui
2024-01-31,1.07351,ui
2024-01-30,1.07606,ui
2024-01-29,1.07799,ui
2024-01-26,1.08011,ui
2024-01-25,1.07767,ui
2024-01-24,1.07631,ui
2024-01-23,1.07844,ui
2024-01-22,1.08104,ui
2024-01-19,1.0788,ui
2024-01-18,1.07491,ui
2024-01-17,1.07156,ui
2024-01-16,1.07274,ui
2024-01-15,1.07439,ui
2024-01-12,1.07156,ui
2024-01-11,1.07285,ui
2024-01-10,1.07589,ui
2024-01-09,1.07176,ui
2024-01-08,1.07499,ui
2024-01-05,1.07548,ui
2024-01-04,1.0757,ui
2024-01-03,1.07767,ui
2024-01-02,1.08157,ui
2024-01-01,1.07815,ui
2023-12-29,1.07801,ui
2023-12-28,1.07855,ui
2023-12-27,1.0799,ui
2023-12-26,1.07873,ui
2023-12-25,1.08,ui
2023-12-22,1.07995,ui
2023-12-21,1.08043,ui
2023-12-20,1.07741,ui
2023-12-19,1.07872,ui
2023-12-18,1.0795,ui
2023-12-15,1.07923,ui
2023-12-14,1.07941,ui
2023-12-13,1.0788,ui
2023-12-12,1.06952,ui
2023-12-11,1.07275,ui
2023-12-08,1.07466,ui
