Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-11-18,10.242,zr,0,0,0,0,0,0,98.41575322770342,0,0,0,-984.1575322770342,984.1575322770342,-20,-3.0778851707872157,-11.67058759547097,-18.713817251928035,-0.005064288190204103,0.19395338764934344,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.02013621549415927,1,-12.851913661716258,-8.535306054772924,-0.120542,0.060542,4250,4382.496280687559
2025-11-17,10.294,zr,0,0,0,0,0,0,96.16347338830045,0,0,0,-961.6347338830045,961.6347338830045,-20,-2.663437769247795,-11.461399109750243,-17.78911039041897,-0.004942109966943775,0.1974933407627688,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.019675390974588328,1,-12.233038593518993,-8.097373281245542,-0.120542,0.060542,4250,4303.942587213761
2025-11-14,10.345,zr,0,0,0,0,0,0,93.93731573659123,0,0,0,-939.3731573659122,939.3731573659122,-20,-2.270349217862316,-11.251540077559483,-17.564796528208095,0.011472029373630566,0.20117690417461281,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.019219911148151657,1,-12.010033611197622,-8.064019563897343,-0.120542,0.060542,4250,4225.137092587114
2025-11-13,10.227,zr,0,0,0,0,0,0,94.60688604672616,0,0,0,-946.0688604672616,946.0688604672616,-20,-1.806238359936737,-11.202484054984565,-19.287514021352138,-0.016004997544422306,0.20205786403175727,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.019356907631043717,1,-12.966326063759931,-9.076547103499657,-0.120542,0.060542,4250,4206.715754782037
2025-11-12,10.392,zr,0,0,0,0,0,0,94.28988079851698,0,0,0,-942.8988079851697,942.8988079851697,-20,-1.1511168278998716,-11.345079804654588,-16.836613480919162,-0.004416713852923415,0.19951820868384942,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.01929204722220296,1,-11.409247467886136,-7.832596510307192,-0.120542,0.060542,4250,4260.26278807908
2025-11-11,10.438,zr,0,0,0,0,0,0,92.08702731922945,0,0,0,-920.8702731922946,920.8702731922946,-20,-1.258022141069085,-11.129075189800288,-18.026242276276484,0.02120426059114955,0.20339066466857247,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.018841335512885825,1,-12.040343164751981,-8.561076579564002,-0.120542,0.060542,4250,4179.149526774423
2025-11-10,10.219,zr,0,0,0,0,0,0,97.86838366357992,0,0,0,-978.6838366357993,978.6838366357993,-20,-1.302548217954494,-11.579615672646009,-20,0.007760734467034958,0.1954771267018023,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.020024221721448583,1,-15.522364361423644,-11.175285110456315,-0.120542,0.060542,4250,4348.334837644014
2025-11-07,10.14,zr,0,0,0,0,0,0,97.33754185804503,0,0,0,-973.3754185804503,973.3754185804503,-20,-1.4358074013320559,-11.427774443631547,-20,0.002666273243003836,0.19807443795510224,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.019915609587323795,1,-17.02401975571344,-12.029150058536404,-0.120542,0.060542,4250,4291.315975828595
2025-11-06,10.113,zr,0,0,0,0,0,0,95.57772543878164,0,0,0,-955.7772543878164,955.7772543878164,-20,-1.5340596813140166,-11.191286878243773,-20,0.00436032798655539,0.20226002823682546,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.019555544846809547,1,-17.607514775132053,-12.1370337734783,-0.120542,0.060542,4250,4202.5110320104295
2025-11-05,10.069,zr,0,0,0,0,0,0,94.13695980967108,0,0,0,-941.3695980967109,941.3695980967109,-20,-1.6112660886230257,-10.97462879863343,-20,-0.024816142793057328,0.20625298964843886,1.15,0.07692307692307693,Future,1,50,0.01,0.04,0,0.019260759040341913,1,-17.503169645416747,-11.796858241842592,-0.120542,0.060542,4250,4121.152384015558
