Date,Close,Period
2021-02-15,47.891,Weekly
2021-02-16,48.31742857142857,Weekly
2021-02-17,48.74385714285714,Weekly
2021-02-18,49.17028571428571,Weekly
2021-02-19,49.596714285714285,Weekly
2021-02-20,50.02314285714286,Weekly
2021-02-21,50.449571428571424,Weekly
2021-02-22,50.876,Weekly
2021-02-23,51.13014285714286,Weekly
2021-02-24,51.38428571428571,Weekly
2021-02-25,51.63842857142857,Weekly
2021-02-26,51.89257142857143,Weekly
2021-02-27,52.14671428571429,Weekly
2021-02-28,52.40085714285714,Weekly
2021-03-01,52.655,Weekly
2021-03-02,53.155857142857144,Weekly
2021-03-03,53.65671428571429,Weekly
2021-03-04,54.15757142857143,Weekly
2021-03-05,54.65842857142857,Weekly
2021-03-06,55.159285714285716,Weekly
2021-03-07,55.66014285714286,Weekly
2021-03-08,56.161,Weekly
2021-03-09,55.92628571428572,Weekly
2021-03-10,55.69157142857143,Weekly
2021-03-11,55.456857142857146,Weekly
2021-03-12,55.222142857142856,Weekly
2021-03-13,54.98742857142857,Weekly
2021-03-14,54.75271428571428,Weekly
2021-03-15,54.518,Weekly
2021-03-16,54.307,Weekly
2021-03-17,54.096,Weekly
2021-03-18,53.885,Weekly
2021-03-19,53.674,Weekly
2021-03-20,53.463,Weekly
2021-03-21,53.251999999999995,Weekly
2021-03-22,53.041,Weekly
2021-03-23,53.01742857142857,Weekly
2021-03-24,52.99385714285714,Weekly
2021-03-25,52.97028571428571,Weekly
2021-03-26,52.946714285714286,Weekly
2021-03-27,52.92314285714286,Weekly
2021-03-28,52.89957142857143,Weekly
2021-03-29,52.876,Weekly
2021-03-30,52.919714285714285,Weekly
2021-03-31,52.96342857142857,Weekly
2021-04-01,53.00714285714286,Weekly
2021-04-02,53.05085714285714,Weekly
2021-04-03,53.09457142857143,Weekly
2021-04-04,53.138285714285715,Weekly
2021-04-05,53.182,Weekly
2021-04-06,53.67628571428572,Weekly
2021-04-07,54.17057142857143,Weekly
2021-04-08,54.664857142857144,Weekly
2021-04-09,55.15914285714286,Weekly
2021-04-10,55.65342857142858,Weekly
2021-04-11,56.14771428571429,Weekly
2021-04-12,56.642,Weekly
2021-04-13,57.32714285714286,Weekly
2021-04-14,58.01228571428572,Weekly
2021-04-15,58.697428571428574,Weekly
2021-04-16,59.38257142857143,Weekly
2021-04-17,60.06771428571429,Weekly
2021-04-18,60.752857142857145,Weekly
2021-04-19,61.438,Weekly
2021-04-20,61.92628571428572,Weekly
2021-04-21,62.41457142857143,Weekly
2021-04-22,62.902857142857144,Weekly
2021-04-23,63.39114285714285,Weekly
